"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"10.01.2023 13:00 - 10.01.2023 14:00","11580","11287"
"10.01.2023 14:00 - 10.01.2023 15:00","11581","11282"
"10.01.2023 15:00 - 10.01.2023 16:00","11701","11406"
"10.01.2023 16:00 - 10.01.2023 17:00","11732","11364"
"10.01.2023 17:00 - 10.01.2023 18:00","11699","11250"
"10.01.2023 18:00 - 10.01.2023 19:00","11640","11152"
"10.01.2023 19:00 - 10.01.2023 20:00","11472","10939"
"10.01.2023 20:00 - 10.01.2023 21:00","11053","10484"
"10.01.2023 21:00 - 10.01.2023 22:00","11048","10515"
"10.01.2023 22:00 - 10.01.2023 23:00","10820","10281"
"10.01.2023 23:00 - 11.01.2023 00:00","10461","9857"
"11.01.2023 00:00 - 11.01.2023 01:00","9739","9523"
"11.01.2023 01:00 - 11.01.2023 02:00","9632","9409"
"11.01.2023 02:00 - 11.01.2023 03:00","9598","9366"
"11.01.2023 03:00 - 11.01.2023 04:00","9661","9328"
"11.01.2023 04:00 - 11.01.2023 05:00","9932","9575"
"11.01.2023 05:00 - 11.01.2023 06:00","10531","10208"
"11.01.2023 06:00 - 11.01.2023 07:00","10890","10528"
"11.01.2023 07:00 - 11.01.2023 08:00","11091","10689"
"11.01.2023 08:00 - 11.01.2023 09:00","11032","10630"
"11.01.2023 09:00 - 11.01.2023 10:00","11102","10516"
"11.01.2023 10:00 - 11.01.2023 11:00","11115","10562"
"11.01.2023 11:00 - 11.01.2023 12:00","11105","10519"
"11.01.2023 12:00 - 11.01.2023 13:00","11066","10471"
"11.01.2023 13:00 - 11.01.2023 14:00","11043","10341"
"11.01.2023 14:00 - 11.01.2023 15:00","11056","10442"
"11.01.2023 15:00 - 11.01.2023 16:00","11199","10573"
"11.01.2023 16:00 - 11.01.2023 17:00","11254","10630"
"11.01.2023 17:00 - 11.01.2023 18:00","11247","10607"
"11.01.2023 18:00 - 11.01.2023 19:00","11237","10642"
"11.01.2023 19:00 - 11.01.2023 20:00","11056","10413"
"11.01.2023 20:00 - 11.01.2023 21:00","10653","10036"
"11.01.2023 21:00 - 11.01.2023 22:00","10677","10062"
"11.01.2023 22:00 - 11.01.2023 23:00","10479","9736"
"11.01.2023 23:00 - 12.01.2023 00:00","10033","9412"
"12.01.2023 00:00 - 12.01.2023 01:00","9259","9238"
"12.01.2023 01:00 - 12.01.2023 02:00","9181","9043"
"12.01.2023 02:00 - 12.01.2023 03:00","9145","8971"
"12.01.2023 03:00 - 12.01.2023 04:00","9252","9048"
"12.01.2023 04:00 - 12.01.2023 05:00","9510","9300"
"12.01.2023 05:00 - 12.01.2023 06:00","10148","9921"
"12.01.2023 06:00 - 12.01.2023 07:00","10512","10311"
"12.01.2023 07:00 - 12.01.2023 08:00","10701","10540"
"12.01.2023 08:00 - 12.01.2023 09:00","10669","10509"
"12.01.2023 09:00 - 12.01.2023 10:00","10788","10366"
"12.01.2023 10:00 - 12.01.2023 11:00","10806","10419"
"12.01.2023 11:00 - 12.01.2023 12:00","10814","10390"
"12.01.2023 12:00 - 12.01.2023 13:00","10771","10322"
"12.01.2023 13:00 - 12.01.2023 14:00","10740","10252"
"12.01.2023 14:00 - 12.01.2023 15:00","10750","10248"
"12.01.2023 15:00 - 12.01.2023 16:00","10877","10400"
"12.01.2023 16:00 - 12.01.2023 17:00","10965","10374"
"12.01.2023 17:00 - 12.01.2023 18:00","10969","10306"
"12.01.2023 18:00 - 12.01.2023 19:00","10936","10253"
"12.01.2023 19:00 - 12.01.2023 20:00","10767","10041"
"12.01.2023 20:00 - 12.01.2023 21:00","10363","9659"
"12.01.2023 21:00 - 12.01.2023 22:00","10398","9739"
"12.01.2023 22:00 - 12.01.2023 23:00","10215","9524"
"12.01.2023 23:00 - 13.01.2023 00:00","9838","9097"
"13.01.2023 00:00 - 13.01.2023 01:00","9024","8935"
"13.01.2023 01:00 - 13.01.2023 02:00","8964","8865"
"13.01.2023 02:00 - 13.01.2023 03:00","8906","8848"
"13.01.2023 03:00 - 13.01.2023 04:00","9016","8980"
"13.01.2023 04:00 - 13.01.2023 05:00","9283","9223"
"13.01.2023 05:00 - 13.01.2023 06:00","9974","9853"
"13.01.2023 06:00 - 13.01.2023 07:00","10391","10331"
"13.01.2023 07:00 - 13.01.2023 08:00","10574","10604"
"13.01.2023 08:00 - 13.01.2023 09:00","10551","10520"
"13.01.2023 09:00 - 13.01.2023 10:00","10665","10413"
"13.01.2023 10:00 - 13.01.2023 11:00","10695","10425"
"13.01.2023 11:00 - 13.01.2023 12:00","10702","10405"
"13.01.2023 12:00 - 13.01.2023 13:00","10654","10273"
"13.01.2023 13:00 - 13.01.2023 14:00","10600","10183"
"13.01.2023 14:00 - 13.01.2023 15:00","10628","10191"
"13.01.2023 15:00 - 13.01.2023 16:00","10785","10494"
"13.01.2023 16:00 - 13.01.2023 17:00","10882","10486"
"13.01.2023 17:00 - 13.01.2023 18:00","10844","10458"
"13.01.2023 18:00 - 13.01.2023 19:00","10725","10330"
"13.01.2023 19:00 - 13.01.2023 20:00","10521","10067"
"13.01.2023 20:00 - 13.01.2023 21:00","10087","9692"
"13.01.2023 21:00 - 13.01.2023 22:00","10216","9755"
"13.01.2023 22:00 - 13.01.2023 23:00","9985","9479"
"13.01.2023 23:00 - 14.01.2023 00:00","9471","9056"
"14.01.2023 00:00 - 14.01.2023 01:00","8916","8749"
"14.01.2023 01:00 - 14.01.2023 02:00","8866","8509"
"14.01.2023 02:00 - 14.01.2023 03:00","8794","8387"
"14.01.2023 03:00 - 14.01.2023 04:00","8810","8366"
"14.01.2023 04:00 - 14.01.2023 05:00","8868","8442"
"14.01.2023 05:00 - 14.01.2023 06:00","9143","8662"
"14.01.2023 06:00 - 14.01.2023 07:00","9240","8778"
"14.01.2023 07:00 - 14.01.2023 08:00","9457","8946"
"14.01.2023 08:00 - 14.01.2023 09:00","9544","9018"
"14.01.2023 09:00 - 14.01.2023 10:00","9577","9129"
"14.01.2023 10:00 - 14.01.2023 11:00","9654","9201"
"14.01.2023 11:00 - 14.01.2023 12:00","9681","9264"
"14.01.2023 12:00 - 14.01.2023 13:00","9670","9248"
"14.01.2023 13:00 - 14.01.2023 14:00","9682","9268"
"14.01.2023 14:00 - 14.01.2023 15:00","9798","9443"
"14.01.2023 15:00 - 14.01.2023 16:00","10125","9696"
"14.01.2023 16:00 - 14.01.2023 17:00","10355","9877"
"14.01.2023 17:00 - 14.01.2023 18:00","10420","9975"
"14.01.2023 18:00 - 14.01.2023 19:00","10341","9858"
"14.01.2023 19:00 - 14.01.2023 20:00","10053","9618"
"14.01.2023 20:00 - 14.01.2023 21:00","9646","9273"
"14.01.2023 21:00 - 14.01.2023 22:00","9752","9452"
"14.01.2023 22:00 - 14.01.2023 23:00","9639","9290"
"14.01.2023 23:00 - 15.01.2023 00:00","9175","8985"
"15.01.2023 00:00 - 15.01.2023 01:00","8613","8769"
"15.01.2023 01:00 - 15.01.2023 02:00","8472","8605"
"15.01.2023 02:00 - 15.01.2023 03:00","8379","8485"
"15.01.2023 03:00 - 15.01.2023 04:00","8422","8438"
"15.01.2023 04:00 - 15.01.2023 05:00","8463","8513"
"15.01.2023 05:00 - 15.01.2023 06:00","8632","8669"
"15.01.2023 06:00 - 15.01.2023 07:00","8753","8774"
"15.01.2023 07:00 - 15.01.2023 08:00","8948","9007"
"15.01.2023 08:00 - 15.01.2023 09:00","9048","9147"
"15.01.2023 09:00 - 15.01.2023 10:00","9456","9246"
"15.01.2023 10:00 - 15.01.2023 11:00","9560","9415"
"15.01.2023 11:00 - 15.01.2023 12:00","9599","9547"
"15.01.2023 12:00 - 15.01.2023 13:00","9577","9568"
"15.01.2023 13:00 - 15.01.2023 14:00","9583","9562"
"15.01.2023 14:00 - 15.01.2023 15:00","9681","9642"
"15.01.2023 15:00 - 15.01.2023 16:00","9889","9842"
"15.01.2023 16:00 - 15.01.2023 17:00","10017","9849"
"15.01.2023 17:00 - 15.01.2023 18:00","10063","9807"
"15.01.2023 18:00 - 15.01.2023 19:00","10037","9789"
"15.01.2023 19:00 - 15.01.2023 20:00","9847","9603"
"15.01.2023 20:00 - 15.01.2023 21:00","9527","9312"
"15.01.2023 21:00 - 15.01.2023 22:00","9673","9484"
"15.01.2023 22:00 - 15.01.2023 23:00","9579","9176"
"15.01.2023 23:00 - 16.01.2023 00:00","9291","8898"
"16.01.2023 00:00 - 16.01.2023 01:00","8775","8572"
"16.01.2023 01:00 - 16.01.2023 02:00","8696","8396"
"16.01.2023 02:00 - 16.01.2023 03:00","8633","8302"
"16.01.2023 03:00 - 16.01.2023 04:00","8703","8352"
"16.01.2023 04:00 - 16.01.2023 05:00","8959","8678"
"16.01.2023 05:00 - 16.01.2023 06:00","9716","9369"
"16.01.2023 06:00 - 16.01.2023 07:00","10114","9949"
"16.01.2023 07:00 - 16.01.2023 08:00","10358","10234"
"16.01.2023 08:00 - 16.01.2023 09:00","10329","10216"
"16.01.2023 09:00 - 16.01.2023 10:00","10476","10164"
"16.01.2023 10:00 - 16.01.2023 11:00","10488","10154"
"16.01.2023 11:00 - 16.01.2023 12:00","10489","10171"
"16.01.2023 12:00 - 16.01.2023 13:00","10427","10069"
"16.01.2023 13:00 - 16.01.2023 14:00","10379","10052"
"16.01.2023 14:00 - 16.01.2023 15:00","10376","10106"
"16.01.2023 15:00 - 16.01.2023 16:00","10479","10273"
"16.01.2023 16:00 - 16.01.2023 17:00","10572","10336"
"16.01.2023 17:00 - 16.01.2023 18:00","10514","10256"
"16.01.2023 18:00 - 16.01.2023 19:00","10472","10239"
"16.01.2023 19:00 - 16.01.2023 20:00","10298","10044"
"16.01.2023 20:00 - 16.01.2023 21:00","9952","9647"
"16.01.2023 21:00 - 16.01.2023 22:00","10022","9711"
"16.01.2023 22:00 - 16.01.2023 23:00","9866","9504"
"16.01.2023 23:00 - 17.01.2023 00:00","9471","9081"
"17.01.2023 00:00 - 17.01.2023 01:00","8873","8807"
"17.01.2023 01:00 - 17.01.2023 02:00","8789","8673"
"17.01.2023 02:00 - 17.01.2023 03:00","8735","8572"
"17.01.2023 03:00 - 17.01.2023 04:00","8825","8620"
"17.01.2023 04:00 - 17.01.2023 05:00","9118","8853"
"17.01.2023 05:00 - 17.01.2023 06:00","9784","9570"
"17.01.2023 06:00 - 17.01.2023 07:00","10177","10027"
"17.01.2023 07:00 - 17.01.2023 08:00","10402","10325"
"17.01.2023 08:00 - 17.01.2023 09:00","10372","10260"
"17.01.2023 09:00 - 17.01.2023 10:00","10482","10213"
"17.01.2023 10:00 - 17.01.2023 11:00","10550","10191"
"17.01.2023 11:00 - 17.01.2023 12:00","10544","10203"
"17.01.2023 12:00 - 17.01.2023 13:00","10521","10153"
"17.01.2023 13:00 - 17.01.2023 14:00","10511","10214"
"17.01.2023 14:00 - 17.01.2023 15:00","10538","10275"
"17.01.2023 15:00 - 17.01.2023 16:00","10702","10533"
"17.01.2023 16:00 - 17.01.2023 17:00","10795","10549"
"17.01.2023 17:00 - 17.01.2023 18:00","10797","10552"
"17.01.2023 18:00 - 17.01.2023 19:00","10780","10542"
"17.01.2023 19:00 - 17.01.2023 20:00","10615","10373"
"17.01.2023 20:00 - 17.01.2023 21:00","10185","9979"
"17.01.2023 21:00 - 17.01.2023 22:00","10217","9972"
"17.01.2023 22:00 - 17.01.2023 23:00","9997","9756"
"17.01.2023 23:00 - 18.01.2023 00:00","9564","9340"
"18.01.2023 00:00 - 18.01.2023 01:00","9051","9010"
"18.01.2023 01:00 - 18.01.2023 02:00","8932","8882"
"18.01.2023 02:00 - 18.01.2023 03:00","8867","8760"
"18.01.2023 03:00 - 18.01.2023 04:00","8924","8793"
"18.01.2023 04:00 - 18.01.2023 05:00","9199","9019"
"18.01.2023 05:00 - 18.01.2023 06:00","9858","9762"
"18.01.2023 06:00 - 18.01.2023 07:00","10261","10234"
"18.01.2023 07:00 - 18.01.2023 08:00","10415","10518"
"18.01.2023 08:00 - 18.01.2023 09:00","10377","10404"
"18.01.2023 09:00 - 18.01.2023 10:00","10497","10239"
"18.01.2023 10:00 - 18.01.2023 11:00","10531","10271"
"18.01.2023 11:00 - 18.01.2023 12:00","10505","10285"
"18.01.2023 12:00 - 18.01.2023 13:00","10446","10133"
"18.01.2023 13:00 - 18.01.2023 14:00","10402","10006"
"18.01.2023 14:00 - 18.01.2023 15:00","10396","10100"
"18.01.2023 15:00 - 18.01.2023 16:00","10530","10241"
