"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Finland (FI)","Actual Total Load [MW] - Finland (FI)"
"01.10.2023 12:45 - 01.10.2023 13:00","7636","7751"
"01.10.2023 13:00 - 01.10.2023 13:15","7621","7784"
"01.10.2023 13:15 - 01.10.2023 13:30","7613","7754"
"01.10.2023 13:30 - 01.10.2023 13:45","7610","7773"
"01.10.2023 13:45 - 01.10.2023 14:00","7608","7789"
"01.10.2023 14:00 - 01.10.2023 14:15","7609","7751"
"01.10.2023 14:15 - 01.10.2023 14:30","7612","7777"
"01.10.2023 14:30 - 01.10.2023 14:45","7619","7798"
"01.10.2023 14:45 - 01.10.2023 15:00","7629","7765"
"01.10.2023 15:00 - 01.10.2023 15:15","7644","7775"
"01.10.2023 15:15 - 01.10.2023 15:30","7659","7836"
"01.10.2023 15:30 - 01.10.2023 15:45","7676","7882"
"01.10.2023 15:45 - 01.10.2023 16:00","7694","7912"
"01.10.2023 16:00 - 01.10.2023 16:15","7713","7808"
"01.10.2023 16:15 - 01.10.2023 16:30","7736","7831"
"01.10.2023 16:30 - 01.10.2023 16:45","7765","7855"
"01.10.2023 16:45 - 01.10.2023 17:00","7790","7962"
"01.10.2023 17:00 - 01.10.2023 17:15","7809","7989"
"01.10.2023 17:15 - 01.10.2023 17:30","7847","7985"
"01.10.2023 17:30 - 01.10.2023 17:45","7892","8006"
"01.10.2023 17:45 - 01.10.2023 18:00","7969","8149"
"01.10.2023 18:00 - 01.10.2023 18:15","8103","8203"
"01.10.2023 18:15 - 01.10.2023 18:30","8167","8313"
"01.10.2023 18:30 - 01.10.2023 18:45","8187","8289"
"01.10.2023 18:45 - 01.10.2023 19:00","8187","8185"
"01.10.2023 19:00 - 01.10.2023 19:15","8151","8076"
"01.10.2023 19:15 - 01.10.2023 19:30","8115","8069"
"01.10.2023 19:30 - 01.10.2023 19:45","8081","8002"
"01.10.2023 19:45 - 01.10.2023 20:00","8005","7955"
"01.10.2023 20:00 - 01.10.2023 20:15","7862","7916"
"01.10.2023 20:15 - 01.10.2023 20:30","7794","7809"
"01.10.2023 20:30 - 01.10.2023 20:45","7765","7749"
"01.10.2023 20:45 - 01.10.2023 21:00","7775","7636"
"01.10.2023 21:00 - 01.10.2023 21:15","7859","7832"
"01.10.2023 21:15 - 01.10.2023 21:30","7877","7961"
"01.10.2023 21:30 - 01.10.2023 21:45","7856","7971"
"01.10.2023 21:45 - 01.10.2023 22:00","7829","7871"
"01.10.2023 22:00 - 01.10.2023 22:15","7785","7829"
"01.10.2023 22:15 - 01.10.2023 22:30","7733","7823"
"01.10.2023 22:30 - 01.10.2023 22:45","7679","7703"
"01.10.2023 22:45 - 01.10.2023 23:00","7588","7535"
"01.10.2023 23:00 - 01.10.2023 23:15","7437","7474"
"01.10.2023 23:15 - 01.10.2023 23:30","7356","7460"
"01.10.2023 23:30 - 01.10.2023 23:45","7321","7404"
"01.10.2023 23:45 - 02.10.2023 00:00","7300","7307"
"02.10.2023 00:00 - 02.10.2023 00:15","7123","7253"
"02.10.2023 00:15 - 02.10.2023 00:30","7118","7199"
"02.10.2023 00:30 - 02.10.2023 00:45","7110","7200"
"02.10.2023 00:45 - 02.10.2023 01:00","7093","7131"
"02.10.2023 01:00 - 02.10.2023 01:15","7060","7143"
"02.10.2023 01:15 - 02.10.2023 01:30","7039","7070"
"02.10.2023 01:30 - 02.10.2023 01:45","7027","7105"
"02.10.2023 01:45 - 02.10.2023 02:00","7012","7085"
"02.10.2023 02:00 - 02.10.2023 02:15","6993","7012"
"02.10.2023 02:15 - 02.10.2023 02:30","6986","7050"
"02.10.2023 02:30 - 02.10.2023 02:45","6989","7007"
"02.10.2023 02:45 - 02.10.2023 03:00","6994","7009"
"02.10.2023 03:00 - 02.10.2023 03:15","6999","7108"
"02.10.2023 03:15 - 02.10.2023 03:30","7020","7120"
"02.10.2023 03:30 - 02.10.2023 03:45","7059","7174"
"02.10.2023 03:45 - 02.10.2023 04:00","7094","7137"
"02.10.2023 04:00 - 02.10.2023 04:15","7112","7291"
"02.10.2023 04:15 - 02.10.2023 04:30","7185","7345"
"02.10.2023 04:30 - 02.10.2023 04:45","7290","7370"
"02.10.2023 04:45 - 02.10.2023 05:00","7451","7451"
"02.10.2023 05:00 - 02.10.2023 05:15","7704","7667"
"02.10.2023 05:15 - 02.10.2023 05:30","7878","7898"
"02.10.2023 05:30 - 02.10.2023 05:45","8006","7981"
"02.10.2023 05:45 - 02.10.2023 06:00","8133","8164"
"02.10.2023 06:00 - 02.10.2023 06:15","8248","8151"
"02.10.2023 06:15 - 02.10.2023 06:30","8344","8150"
"02.10.2023 06:30 - 02.10.2023 06:45","8424","8210"
"02.10.2023 06:45 - 02.10.2023 07:00","8479","8202"
"02.10.2023 07:00 - 02.10.2023 07:15","8503","8223"
"02.10.2023 07:15 - 02.10.2023 07:30","8536","8307"
"02.10.2023 07:30 - 02.10.2023 07:45","8571","8392"
"02.10.2023 07:45 - 02.10.2023 08:00","8598","8391"
"02.10.2023 08:00 - 02.10.2023 08:15","8620","8354"
"02.10.2023 08:15 - 02.10.2023 08:30","8634","8430"
"02.10.2023 08:30 - 02.10.2023 08:45","8643","8491"
"02.10.2023 08:45 - 02.10.2023 09:00","8635","8417"
"02.10.2023 09:00 - 02.10.2023 09:15","8601","8370"
"02.10.2023 09:15 - 02.10.2023 09:30","8591","8339"
"02.10.2023 09:30 - 02.10.2023 09:45","8594","8321"
"02.10.2023 09:45 - 02.10.2023 10:00","8606","8310"
"02.10.2023 10:00 - 02.10.2023 10:15","8635","8291"
"02.10.2023 10:15 - 02.10.2023 10:30","8649","8327"
"02.10.2023 10:30 - 02.10.2023 10:45","8652","8401"
"02.10.2023 10:45 - 02.10.2023 11:00","8656","8355"
"02.10.2023 11:00 - 02.10.2023 11:15","8662","8260"
"02.10.2023 11:15 - 02.10.2023 11:30","8656","8282"
"02.10.2023 11:30 - 02.10.2023 11:45","8644","8270"
"02.10.2023 11:45 - 02.10.2023 12:00","8621","8178"
"02.10.2023 12:00 - 02.10.2023 12:15","8581","8209"
"02.10.2023 12:15 - 02.10.2023 12:30","8553","8250"
"02.10.2023 12:30 - 02.10.2023 12:45","8531","8182"
"02.10.2023 12:45 - 02.10.2023 13:00","8506","8104"
"02.10.2023 13:00 - 02.10.2023 13:15","8477","8124"
"02.10.2023 13:15 - 02.10.2023 13:30","8456","8078"
"02.10.2023 13:30 - 02.10.2023 13:45","8439","8054"
"02.10.2023 13:45 - 02.10.2023 14:00","8426","7976"
"02.10.2023 14:00 - 02.10.2023 14:15","8419","8002"
"02.10.2023 14:15 - 02.10.2023 14:30","8411","8018"
"02.10.2023 14:30 - 02.10.2023 14:45","8404","7959"
"02.10.2023 14:45 - 02.10.2023 15:00","8398","7941"
"02.10.2023 15:00 - 02.10.2023 15:15","8391","7949"
"02.10.2023 15:15 - 02.10.2023 15:30","8389","8017"
"02.10.2023 15:30 - 02.10.2023 15:45","8391","8047"
"02.10.2023 15:45 - 02.10.2023 16:00","8396","8093"
"02.10.2023 16:00 - 02.10.2023 16:15","8403","8061"
"02.10.2023 16:15 - 02.10.2023 16:30","8413","8038"
"02.10.2023 16:30 - 02.10.2023 16:45","8427","8011"
"02.10.2023 16:45 - 02.10.2023 17:00","8441","7994"
"02.10.2023 17:00 - 02.10.2023 17:15","8449","7919"
"02.10.2023 17:15 - 02.10.2023 17:30","8474","7941"
"02.10.2023 17:30 - 02.10.2023 17:45","8506","8019"
"02.10.2023 17:45 - 02.10.2023 18:00","8561","8157"
"02.10.2023 18:00 - 02.10.2023 18:15","8659","8242"
"02.10.2023 18:15 - 02.10.2023 18:30","8709","8333"
"02.10.2023 18:30 - 02.10.2023 18:45","8725","8384"
"02.10.2023 18:45 - 02.10.2023 19:00","8736","8326"
"02.10.2023 19:00 - 02.10.2023 19:15","8743","8273"
"02.10.2023 19:15 - 02.10.2023 19:30","8719","8313"
"02.10.2023 19:30 - 02.10.2023 19:45","8680","8268"
"02.10.2023 19:45 - 02.10.2023 20:00","8592","8231"
"02.10.2023 20:00 - 02.10.2023 20:15","8422","8273"
"02.10.2023 20:15 - 02.10.2023 20:30","8333","8189"
"02.10.2023 20:30 - 02.10.2023 20:45","8286","8101"
"02.10.2023 20:45 - 02.10.2023 21:00","8273","7994"
"02.10.2023 21:00 - 02.10.2023 21:15","8331","8087"
"02.10.2023 21:15 - 02.10.2023 21:30","8325","8236"
"02.10.2023 21:30 - 02.10.2023 21:45","8281","8192"
"02.10.2023 21:45 - 02.10.2023 22:00","8229","8142"
"02.10.2023 22:00 - 02.10.2023 22:15","8162","8187"
"02.10.2023 22:15 - 02.10.2023 22:30","8085","8054"
"02.10.2023 22:30 - 02.10.2023 22:45","8008","7885"
"02.10.2023 22:45 - 02.10.2023 23:00","7890","7745"
"02.10.2023 23:00 - 02.10.2023 23:15","7700","7654"
"02.10.2023 23:15 - 02.10.2023 23:30","7597","7642"
"02.10.2023 23:30 - 02.10.2023 23:45","7552","7514"
"02.10.2023 23:45 - 03.10.2023 00:00","7524","7451"
"03.10.2023 00:00 - 03.10.2023 00:15","7243","7415"
"03.10.2023 00:15 - 03.10.2023 00:30","7239","7248"
"03.10.2023 00:30 - 03.10.2023 00:45","7231","7254"
"03.10.2023 00:45 - 03.10.2023 01:00","7213","7206"
"03.10.2023 01:00 - 03.10.2023 01:15","7181","7211"
"03.10.2023 01:15 - 03.10.2023 01:30","7161","7228"
"03.10.2023 01:30 - 03.10.2023 01:45","7149","7181"
"03.10.2023 01:45 - 03.10.2023 02:00","7134","7086"
"03.10.2023 02:00 - 03.10.2023 02:15","7113","7104"
"03.10.2023 02:15 - 03.10.2023 02:30","7107","7123"
"03.10.2023 02:30 - 03.10.2023 02:45","7113","7104"
"03.10.2023 02:45 - 03.10.2023 03:00","7121","7077"
"03.10.2023 03:00 - 03.10.2023 03:15","7130","7010"
"03.10.2023 03:15 - 03.10.2023 03:30","7155","7032"
"03.10.2023 03:30 - 03.10.2023 03:45","7198","7085"
"03.10.2023 03:45 - 03.10.2023 04:00","7243","7065"
"03.10.2023 04:00 - 03.10.2023 04:15","7282","7178"
"03.10.2023 04:15 - 03.10.2023 04:30","7360","7234"
"03.10.2023 04:30 - 03.10.2023 04:45","7457","7295"
"03.10.2023 04:45 - 03.10.2023 05:00","7603","7448"
"03.10.2023 05:00 - 03.10.2023 05:15","7830","7714"
"03.10.2023 05:15 - 03.10.2023 05:30","7980","7940"
"03.10.2023 05:30 - 03.10.2023 05:45","8084","8112"
"03.10.2023 05:45 - 03.10.2023 06:00","8174","8244"
"03.10.2023 06:00 - 03.10.2023 06:15","8234","8374"
"03.10.2023 06:15 - 03.10.2023 06:30","8297","8348"
"03.10.2023 06:30 - 03.10.2023 06:45","8360","8342"
"03.10.2023 06:45 - 03.10.2023 07:00","8406","8304"
"03.10.2023 07:00 - 03.10.2023 07:15","8433","8155"
"03.10.2023 07:15 - 03.10.2023 07:30","8469","8206"
"03.10.2023 07:30 - 03.10.2023 07:45","8505","8276"
"03.10.2023 07:45 - 03.10.2023 08:00","8543","8302"
"03.10.2023 08:00 - 03.10.2023 08:15","8593","8276"
"03.10.2023 08:15 - 03.10.2023 08:30","8619","8299"
"03.10.2023 08:30 - 03.10.2023 08:45","8630","8320"
"03.10.2023 08:45 - 03.10.2023 09:00","8622","8289"
"03.10.2023 09:00 - 03.10.2023 09:15","8583","8288"
"03.10.2023 09:15 - 03.10.2023 09:30","8567","8335"
"03.10.2023 09:30 - 03.10.2023 09:45","8563","8430"
"03.10.2023 09:45 - 03.10.2023 10:00","8561","8435"
"03.10.2023 10:00 - 03.10.2023 10:15","8569","8442"
"03.10.2023 10:15 - 03.10.2023 10:30","8568","8423"
"03.10.2023 10:30 - 03.10.2023 10:45","8562","8353"
"03.10.2023 10:45 - 03.10.2023 11:00","8554","8374"
"03.10.2023 11:00 - 03.10.2023 11:15","8543","8370"
"03.10.2023 11:15 - 03.10.2023 11:30","8533","8356"
"03.10.2023 11:30 - 03.10.2023 11:45","8524","8328"
"03.10.2023 11:45 - 03.10.2023 12:00","8514","8339"
"03.10.2023 12:00 - 03.10.2023 12:15","8507","8328"
"03.10.2023 12:15 - 03.10.2023 12:30","8495","8284"
"03.10.2023 12:30 - 03.10.2023 12:45","8483","8260"
"03.10.2023 12:45 - 03.10.2023 13:00","8465","8270"
"03.10.2023 13:00 - 03.10.2023 13:15","8439","8296"
"03.10.2023 13:15 - 03.10.2023 13:30","8422","8227"
"03.10.2023 13:30 - 03.10.2023 13:45","8411","8294"
"03.10.2023 13:45 - 03.10.2023 14:00","8402","8312"
"03.10.2023 14:00 - 03.10.2023 14:15","8396","8244"
"03.10.2023 14:15 - 03.10.2023 14:30","8392","8217"
"03.10.2023 14:30 - 03.10.2023 14:45","8389","8153"
"03.10.2023 14:45 - 03.10.2023 15:00","8391","8199"
"03.10.2023 15:00 - 03.10.2023 15:15","8397","8125"
"03.10.2023 15:15 - 03.10.2023 15:30","8401","8105"
"03.10.2023 15:30 - 03.10.2023 15:45","8406","8244"
"03.10.2023 15:45 - 03.10.2023 16:00","8409","8274"
"03.10.2023 16:00 - 03.10.2023 16:15","8410","8225"
"03.10.2023 16:15 - 03.10.2023 16:30","8417","8198"
"03.10.2023 16:30 - 03.10.2023 16:45","8432","8138"
"03.10.2023 16:45 - 03.10.2023 17:00","8444","8148"
"03.10.2023 17:00 - 03.10.2023 17:15","8450","8181"
"03.10.2023 17:15 - 03.10.2023 17:30","8476","8164"
"03.10.2023 17:30 - 03.10.2023 17:45","8508","8260"
"03.10.2023 17:45 - 03.10.2023 18:00","8573","8411"
"03.10.2023 18:00 - 03.10.2023 18:15","8696","8486"
"03.10.2023 18:15 - 03.10.2023 18:30","8749","8576"
"03.10.2023 18:30 - 03.10.2023 18:45","8758","8565"
"03.10.2023 18:45 - 03.10.2023 19:00","8750","8574"
"03.10.2023 19:00 - 03.10.2023 19:15","8714","8517"
"03.10.2023 19:15 - 03.10.2023 19:30","8667","8452"
"03.10.2023 19:30 - 03.10.2023 19:45","8618","8370"
"03.10.2023 19:45 - 03.10.2023 20:00","8521","8364"
"03.10.2023 20:00 - 03.10.2023 20:15","8349","8437"
"03.10.2023 20:15 - 03.10.2023 20:30","8258","8397"
"03.10.2023 20:30 - 03.10.2023 20:45","8209","8183"
"03.10.2023 20:45 - 03.10.2023 21:00","8202","8150"
"03.10.2023 21:00 - 03.10.2023 21:15","8274","8251"
"03.10.2023 21:15 - 03.10.2023 21:30","8274","8339"
"03.10.2023 21:30 - 03.10.2023 21:45","8232","8271"
"03.10.2023 21:45 - 03.10.2023 22:00","8181","8259"
"03.10.2023 22:00 - 03.10.2023 22:15","8106","8144"
"03.10.2023 22:15 - 03.10.2023 22:30","8030","8128"
"03.10.2023 22:30 - 03.10.2023 22:45","7958","7940"
"03.10.2023 22:45 - 03.10.2023 23:00","7848","7801"
"03.10.2023 23:00 - 03.10.2023 23:15","7675","7798"
"03.10.2023 23:15 - 03.10.2023 23:30","7581","7702"
"03.10.2023 23:30 - 03.10.2023 23:45","7539","7614"
"03.10.2023 23:45 - 04.10.2023 00:00","7513","7511"
"04.10.2023 00:00 - 04.10.2023 00:15","7410","7519"
"04.10.2023 00:15 - 04.10.2023 00:30","7402","7511"
"04.10.2023 00:30 - 04.10.2023 00:45","7389","7421"
"04.10.2023 00:45 - 04.10.2023 01:00","7358","7303"
"04.10.2023 01:00 - 04.10.2023 01:15","7298","7371"
"04.10.2023 01:15 - 04.10.2023 01:30","7264","7312"
"04.10.2023 01:30 - 04.10.2023 01:45","7247","7345"
"04.10.2023 01:45 - 04.10.2023 02:00","7233","7246"
"04.10.2023 02:00 - 04.10.2023 02:15","7227","7267"
"04.10.2023 02:15 - 04.10.2023 02:30","7223","7259"
"04.10.2023 02:30 - 04.10.2023 02:45","7227","7268"
"04.10.2023 02:45 - 04.10.2023 03:00","7229","7198"
"04.10.2023 03:00 - 04.10.2023 03:15","7224","7258"
"04.10.2023 03:15 - 04.10.2023 03:30","7245","7209"
"04.10.2023 03:30 - 04.10.2023 03:45","7288","7215"
"04.10.2023 03:45 - 04.10.2023 04:00","7334","7192"
"04.10.2023 04:00 - 04.10.2023 04:15","7378","7408"
"04.10.2023 04:15 - 04.10.2023 04:30","7462","7447"
"04.10.2023 04:30 - 04.10.2023 04:45","7566","7561"
"04.10.2023 04:45 - 04.10.2023 05:00","7723","7656"
"04.10.2023 05:00 - 04.10.2023 05:15","7969","7951"
"04.10.2023 05:15 - 04.10.2023 05:30","8130","8047"
"04.10.2023 05:30 - 04.10.2023 05:45","8241","8154"
"04.10.2023 05:45 - 04.10.2023 06:00","8339","8308"
"04.10.2023 06:00 - 04.10.2023 06:15","8412","8367"
"04.10.2023 06:15 - 04.10.2023 06:30","8476","8301"
"04.10.2023 06:30 - 04.10.2023 06:45","8531","8321"
"04.10.2023 06:45 - 04.10.2023 07:00","8559","8381"
"04.10.2023 07:00 - 04.10.2023 07:15","8550","8445"
"04.10.2023 07:15 - 04.10.2023 07:30","8561","8502"
"04.10.2023 07:30 - 04.10.2023 07:45","8582","8514"
"04.10.2023 07:45 - 04.10.2023 08:00","8599","8638"
"04.10.2023 08:00 - 04.10.2023 08:15","8614","8587"
"04.10.2023 08:15 - 04.10.2023 08:30","8628","8665"
"04.10.2023 08:30 - 04.10.2023 08:45","8640","8615"
"04.10.2023 08:45 - 04.10.2023 09:00","8649","8660"
"04.10.2023 09:00 - 04.10.2023 09:15","8654","8650"
"04.10.2023 09:15 - 04.10.2023 09:30","8661","8606"
"04.10.2023 09:30 - 04.10.2023 09:45","8668","8583"
"04.10.2023 09:45 - 04.10.2023 10:00","8677","8567"
"04.10.2023 10:00 - 04.10.2023 10:15","8692","8582"
"04.10.2023 10:15 - 04.10.2023 10:30","8697","8589"
"04.10.2023 10:30 - 04.10.2023 10:45","8695","8545"
"04.10.2023 10:45 - 04.10.2023 11:00","8688","8531"
"04.10.2023 11:00 - 04.10.2023 11:15","8676","8445"
"04.10.2023 11:15 - 04.10.2023 11:30","8662","8477"
"04.10.2023 11:30 - 04.10.2023 11:45","8646","8460"
"04.10.2023 11:45 - 04.10.2023 12:00","8624","8473"
"04.10.2023 12:00 - 04.10.2023 12:15","8594","8411"
"04.10.2023 12:15 - 04.10.2023 12:30","8568","8524"
"04.10.2023 12:30 - 04.10.2023 12:45","8545","8443"
"04.10.2023 12:45 - 04.10.2023 13:00","8518","8378"
"04.10.2023 13:00 - 04.10.2023 13:15","8488","8405"
"04.10.2023 13:15 - 04.10.2023 13:30","8463","8512"
"04.10.2023 13:30 - 04.10.2023 13:45","8443","8496"
"04.10.2023 13:45 - 04.10.2023 14:00","8422","8499"
"04.10.2023 14:00 - 04.10.2023 14:15","8400","8513"
"04.10.2023 14:15 - 04.10.2023 14:30","8386","8474"
"04.10.2023 14:30 - 04.10.2023 14:45","8377","8390"
"04.10.2023 14:45 - 04.10.2023 15:00","8372","8437"
"04.10.2023 15:00 - 04.10.2023 15:15","8373","8405"
"04.10.2023 15:15 - 04.10.2023 15:30","8375","8400"
"04.10.2023 15:30 - 04.10.2023 15:45","8380","8449"
"04.10.2023 15:45 - 04.10.2023 16:00","8388","8479"
"04.10.2023 16:00 - 04.10.2023 16:15","8397","8446"
"04.10.2023 16:15 - 04.10.2023 16:30","8412","8354"
"04.10.2023 16:30 - 04.10.2023 16:45","8432","8387"
"04.10.2023 16:45 - 04.10.2023 17:00","8455","8430"
"04.10.2023 17:00 - 04.10.2023 17:15","8480","8476"
"04.10.2023 17:15 - 04.10.2023 17:30","8513","8468"
"04.10.2023 17:30 - 04.10.2023 17:45","8547","8478"
"04.10.2023 17:45 - 04.10.2023 18:00","8605","8633"
"04.10.2023 18:00 - 04.10.2023 18:15","8703","8682"
"04.10.2023 18:15 - 04.10.2023 18:30","8748","8750"
"04.10.2023 18:30 - 04.10.2023 18:45","8758","8707"
"04.10.2023 18:45 - 04.10.2023 19:00","8756","8780"
"04.10.2023 19:00 - 04.10.2023 19:15","8735","8877"
"04.10.2023 19:15 - 04.10.2023 19:30","8697","8857"
"04.10.2023 19:30 - 04.10.2023 19:45","8653","8779"
"04.10.2023 19:45 - 04.10.2023 20:00","8563","8784"
"04.10.2023 20:00 - 04.10.2023 20:15","8397","8787"
"04.10.2023 20:15 - 04.10.2023 20:30","8311","8760"
"04.10.2023 20:30 - 04.10.2023 20:45","8266","8597"
"04.10.2023 20:45 - 04.10.2023 21:00","8259","8479"
"04.10.2023 21:00 - 04.10.2023 21:15","8325","8506"
"04.10.2023 21:15 - 04.10.2023 21:30","8325","8589"
"04.10.2023 21:30 - 04.10.2023 21:45","8287","8586"
"04.10.2023 21:45 - 04.10.2023 22:00","8239","8535"
"04.10.2023 22:00 - 04.10.2023 22:15","8168","8429"
"04.10.2023 22:15 - 04.10.2023 22:30","8099","8225"
"04.10.2023 22:30 - 04.10.2023 22:45","8036","8166"
"04.10.2023 22:45 - 04.10.2023 23:00","7944","7993"
"04.10.2023 23:00 - 04.10.2023 23:15","7802","8005"
"04.10.2023 23:15 - 04.10.2023 23:30","7724","7964"
"04.10.2023 23:30 - 04.10.2023 23:45","7688","7829"
"04.10.2023 23:45 - 05.10.2023 00:00","7667","7735"
"05.10.2023 00:00 - 05.10.2023 00:15","7648","7724"
"05.10.2023 00:15 - 05.10.2023 00:30","7641","7714"
"05.10.2023 00:30 - 05.10.2023 00:45","7628","7670"
"05.10.2023 00:45 - 05.10.2023 01:00","7600","7554"
"05.10.2023 01:00 - 05.10.2023 01:15","7550","7593"
"05.10.2023 01:15 - 05.10.2023 01:30","7518","7576"
"05.10.2023 01:30 - 05.10.2023 01:45","7495","7572"
"05.10.2023 01:45 - 05.10.2023 02:00","7471","7506"
"05.10.2023 02:00 - 05.10.2023 02:15","7444","7519"
"05.10.2023 02:15 - 05.10.2023 02:30","7427","7586"
"05.10.2023 02:30 - 05.10.2023 02:45","7420","7536"
"05.10.2023 02:45 - 05.10.2023 03:00","7408","7494"
"05.10.2023 03:00 - 05.10.2023 03:15","7383","7517"
"05.10.2023 03:15 - 05.10.2023 03:30","7394","7479"
"05.10.2023 03:30 - 05.10.2023 03:45","7431","7553"
"05.10.2023 03:45 - 05.10.2023 04:00","7483","7556"
"05.10.2023 04:00 - 05.10.2023 04:15","7554","7632"
"05.10.2023 04:15 - 05.10.2023 04:30","7641","7756"
"05.10.2023 04:30 - 05.10.2023 04:45","7735","7809"
"05.10.2023 04:45 - 05.10.2023 05:00","7873","7964"
"05.10.2023 05:00 - 05.10.2023 05:15","8081","8186"
"05.10.2023 05:15 - 05.10.2023 05:30","8218","8426"
"05.10.2023 05:30 - 05.10.2023 05:45","8312","8592"
"05.10.2023 05:45 - 05.10.2023 06:00","8388","8817"
"05.10.2023 06:00 - 05.10.2023 06:15","8429","8890"
"05.10.2023 06:15 - 05.10.2023 06:30","8479","8904"
"05.10.2023 06:30 - 05.10.2023 06:45","8531","8929"
"05.10.2023 06:45 - 05.10.2023 07:00","8570","9062"
"05.10.2023 07:00 - 05.10.2023 07:15","8598","9026"
"05.10.2023 07:15 - 05.10.2023 07:30","8625","9096"
"05.10.2023 07:30 - 05.10.2023 07:45","8649","9139"
"05.10.2023 07:45 - 05.10.2023 08:00","8665","9100"
"05.10.2023 08:00 - 05.10.2023 08:15","8674","9109"
"05.10.2023 08:15 - 05.10.2023 08:30","8682","9147"
"05.10.2023 08:30 - 05.10.2023 08:45","8689","9082"
"05.10.2023 08:45 - 05.10.2023 09:00","8689","9051"
"05.10.2023 09:00 - 05.10.2023 09:15","8679","8978"
"05.10.2023 09:15 - 05.10.2023 09:30","8677","9086"
"05.10.2023 09:30 - 05.10.2023 09:45","8678","9045"
"05.10.2023 09:45 - 05.10.2023 10:00","8684","9032"
"05.10.2023 10:00 - 05.10.2023 10:15","8702","9093"
"05.10.2023 10:15 - 05.10.2023 10:30","8704","9075"
"05.10.2023 10:30 - 05.10.2023 10:45","8696","9094"
"05.10.2023 10:45 - 05.10.2023 11:00","8682","9046"
"05.10.2023 11:00 - 05.10.2023 11:15","8656","9069"
"05.10.2023 11:15 - 05.10.2023 11:30","8636","9147"
"05.10.2023 11:30 - 05.10.2023 11:45","8618","9091"
"05.10.2023 11:45 - 05.10.2023 12:00","8596","9044"
"05.10.2023 12:00 - 05.10.2023 12:15","8569","9156"
"05.10.2023 12:15 - 05.10.2023 12:30","8549","9114"
"05.10.2023 12:30 - 05.10.2023 12:45","8532","9102"
"05.10.2023 12:45 - 05.10.2023 13:00","8516","8973"
"05.10.2023 13:00 - 05.10.2023 13:15","8502","9062"
"05.10.2023 13:15 - 05.10.2023 13:30","8490","9004"
"05.10.2023 13:30 - 05.10.2023 13:45","8480","8995"
"05.10.2023 13:45 - 05.10.2023 14:00","8472","8978"
"05.10.2023 14:00 - 05.10.2023 14:15","8465","9019"
"05.10.2023 14:15 - 05.10.2023 14:30","8461","9020"
"05.10.2023 14:30 - 05.10.2023 14:45","8459","8925"
"05.10.2023 14:45 - 05.10.2023 15:00","8459","8917"
"05.10.2023 15:00 - 05.10.2023 15:15","8461","8960"
"05.10.2023 15:15 - 05.10.2023 15:30","8465","8964"
"05.10.2023 15:30 - 05.10.2023 15:45","8471","8977"
"05.10.2023 15:45 - 05.10.2023 16:00","8476","8976"
"05.10.2023 16:00 - 05.10.2023 16:15","8477","8980"
"05.10.2023 16:15 - 05.10.2023 16:30","8490","8970"
"05.10.2023 16:30 - 05.10.2023 16:45","8511","8908"
"05.10.2023 16:45 - 05.10.2023 17:00","8540","8880"
"05.10.2023 17:00 - 05.10.2023 17:15","8578","8986"
"05.10.2023 17:15 - 05.10.2023 17:30","8617","9005"
"05.10.2023 17:30 - 05.10.2023 17:45","8653","9063"
"05.10.2023 17:45 - 05.10.2023 18:00","8709","9182"
"05.10.2023 18:00 - 05.10.2023 18:15","8800","9322"
"05.10.2023 18:15 - 05.10.2023 18:30","8844","9459"
"05.10.2023 18:30 - 05.10.2023 18:45","8856","9495"
"05.10.2023 18:45 - 05.10.2023 19:00","8855","9469"
"05.10.2023 19:00 - 05.10.2023 19:15","8834","9397"
"05.10.2023 19:15 - 05.10.2023 19:30","8802","9450"
"05.10.2023 19:30 - 05.10.2023 19:45","8765","9448"
"05.10.2023 19:45 - 05.10.2023 20:00","8687","9337"
"05.10.2023 20:00 - 05.10.2023 20:15","8542","9185"
"05.10.2023 20:15 - 05.10.2023 20:30","8469","9072"
"05.10.2023 20:30 - 05.10.2023 20:45","8433","8943"
"05.10.2023 20:45 - 05.10.2023 21:00","8436","8791"
"05.10.2023 21:00 - 05.10.2023 21:15","8514","8882"
"05.10.2023 21:15 - 05.10.2023 21:30","8520","9035"
"05.10.2023 21:30 - 05.10.2023 21:45","8485","8988"
"05.10.2023 21:45 - 05.10.2023 22:00","8436","8893"
"05.10.2023 22:00 - 05.10.2023 22:15","8355","8838"
"05.10.2023 22:15 - 05.10.2023 22:30","8283","8813"
"05.10.2023 22:30 - 05.10.2023 22:45","8219","8687"
"05.10.2023 22:45 - 05.10.2023 23:00","8125","8511"
"05.10.2023 23:00 - 05.10.2023 23:15","7983","8403"
"05.10.2023 23:15 - 05.10.2023 23:30","7905","8348"
"05.10.2023 23:30 - 05.10.2023 23:45","7868","8262"
"05.10.2023 23:45 - 06.10.2023 00:00","7847","8223"
"06.10.2023 00:00 - 06.10.2023 00:15","8019","8246"
"06.10.2023 00:15 - 06.10.2023 00:30","8012","8180"
"06.10.2023 00:30 - 06.10.2023 00:45","8001","8152"
"06.10.2023 00:45 - 06.10.2023 01:00","7976","8061"
"06.10.2023 01:00 - 06.10.2023 01:15","7930","8110"
"06.10.2023 01:15 - 06.10.2023 01:30","7901","8067"
