"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2023 08:30 - 01.01.2023 08:45","36634","37057"
"01.01.2023 08:45 - 01.01.2023 09:00","37194","37486"
"01.01.2023 09:00 - 01.01.2023 09:15","38345","38084"
"01.01.2023 09:15 - 01.01.2023 09:30","38952","38985"
"01.01.2023 09:30 - 01.01.2023 09:45","39397","39657"
"01.01.2023 09:45 - 01.01.2023 10:00","39815","40180"
"01.01.2023 10:00 - 01.01.2023 10:15","40691","39906"
"01.01.2023 10:15 - 01.01.2023 10:30","40901","40588"
"01.01.2023 10:30 - 01.01.2023 10:45","41440","41436"
"01.01.2023 10:45 - 01.01.2023 11:00","41671","42092"
"01.01.2023 11:00 - 01.01.2023 11:15","42462","42613"
"01.01.2023 11:15 - 01.01.2023 11:30","43183","43615"
"01.01.2023 11:30 - 01.01.2023 11:45","43412","44245"
"01.01.2023 11:45 - 01.01.2023 12:00","43363","44339"
"01.01.2023 12:00 - 01.01.2023 12:15","43422","44354"
"01.01.2023 12:15 - 01.01.2023 12:30","43417","44454"
"01.01.2023 12:30 - 01.01.2023 12:45","43269","44198"
"01.01.2023 12:45 - 01.01.2023 13:00","42902","43817"
"01.01.2023 13:00 - 01.01.2023 13:15","42731","43944"
"01.01.2023 13:15 - 01.01.2023 13:30","42491","43727"
"01.01.2023 13:30 - 01.01.2023 13:45","42626","43542"
"01.01.2023 13:45 - 01.01.2023 14:00","42603","43274"
"01.01.2023 14:00 - 01.01.2023 14:15","42313","43237"
"01.01.2023 14:15 - 01.01.2023 14:30","42217","43122"
"01.01.2023 14:30 - 01.01.2023 14:45","42298","43365"
"01.01.2023 14:45 - 01.01.2023 15:00","42441","43202"
"01.01.2023 15:00 - 01.01.2023 15:15","42963","43651"
"01.01.2023 15:15 - 01.01.2023 15:30","42870","43514"
"01.01.2023 15:30 - 01.01.2023 15:45","43269","43749"
"01.01.2023 15:45 - 01.01.2023 16:00","43565","43853"
"01.01.2023 16:00 - 01.01.2023 16:15","43969","44618"
"01.01.2023 16:15 - 01.01.2023 16:30","44386","45219"
"01.01.2023 16:30 - 01.01.2023 16:45","45239","45939"
"01.01.2023 16:45 - 01.01.2023 17:00","46387","46899"
"01.01.2023 17:00 - 01.01.2023 17:15","47623","48159"
"01.01.2023 17:15 - 01.01.2023 17:30","48142","48566"
"01.01.2023 17:30 - 01.01.2023 17:45","48022","48976"
"01.01.2023 17:45 - 01.01.2023 18:00","48325","49227"
"01.01.2023 18:00 - 01.01.2023 18:15","48646","49294"
"01.01.2023 18:15 - 01.01.2023 18:30","48973","49107"
"01.01.2023 18:30 - 01.01.2023 18:45","48983","48789"
"01.01.2023 18:45 - 01.01.2023 19:00","48843","48338"
"01.01.2023 19:00 - 01.01.2023 19:15","48817","48287"
"01.01.2023 19:15 - 01.01.2023 19:30","48352","47738"
"01.01.2023 19:30 - 01.01.2023 19:45","47964","47283"
"01.01.2023 19:45 - 01.01.2023 20:00","47394","46566"
"01.01.2023 20:00 - 01.01.2023 20:15","46413","46039"
"01.01.2023 20:15 - 01.01.2023 20:30","45882","45292"
"01.01.2023 20:30 - 01.01.2023 20:45","45574","44477"
"01.01.2023 20:45 - 01.01.2023 21:00","45045","43726"
"01.01.2023 21:00 - 01.01.2023 21:15","44808","43705"
"01.01.2023 21:15 - 01.01.2023 21:30","44258","43318"
"01.01.2023 21:30 - 01.01.2023 21:45","44397","43023"
"01.01.2023 21:45 - 01.01.2023 22:00","44199","42845"
"01.01.2023 22:00 - 01.01.2023 22:15","44766","43251"
"01.01.2023 22:15 - 01.01.2023 22:30","44439","42684"
"01.01.2023 22:30 - 01.01.2023 22:45","43809","42039"
"01.01.2023 22:45 - 01.01.2023 23:00","43372","41138"
"01.01.2023 23:00 - 01.01.2023 23:15","42775","40478"
"01.01.2023 23:15 - 01.01.2023 23:30","42134","39445"
"01.01.2023 23:30 - 01.01.2023 23:45","41619","38589"
"01.01.2023 23:45 - 02.01.2023 00:00","40833","37859"
"02.01.2023 00:00 - 02.01.2023 00:15","44484","37490"
"02.01.2023 00:15 - 02.01.2023 00:30","44199","37187"
"02.01.2023 00:30 - 02.01.2023 00:45","43765","36487"
"02.01.2023 00:45 - 02.01.2023 01:00","43418","35995"
"02.01.2023 01:00 - 02.01.2023 01:15","42857","35662"
"02.01.2023 01:15 - 02.01.2023 01:30","42484","35290"
"02.01.2023 01:30 - 02.01.2023 01:45","42037","35284"
"02.01.2023 01:45 - 02.01.2023 02:00","41877","35459"
"02.01.2023 02:00 - 02.01.2023 02:15","41769","35379"
"02.01.2023 02:15 - 02.01.2023 02:30","41763","35058"
"02.01.2023 02:30 - 02.01.2023 02:45","41505","35207"
"02.01.2023 02:45 - 02.01.2023 03:00","41635","35493"
"02.01.2023 03:00 - 02.01.2023 03:15","41768","35797"
"02.01.2023 03:15 - 02.01.2023 03:30","41867","35864"
"02.01.2023 03:30 - 02.01.2023 03:45","42020","36090"
"02.01.2023 03:45 - 02.01.2023 04:00","42322","36483"
"02.01.2023 04:00 - 02.01.2023 04:15","43006","36949"
"02.01.2023 04:15 - 02.01.2023 04:30","43325","37469"
"02.01.2023 04:30 - 02.01.2023 04:45","43801","38064"
"02.01.2023 04:45 - 02.01.2023 05:00","44316","38702"
"02.01.2023 05:00 - 02.01.2023 05:15","45117","39500"
"02.01.2023 05:15 - 02.01.2023 05:30","45624","40208"
"02.01.2023 05:30 - 02.01.2023 05:45","46890","41184"
"02.01.2023 05:45 - 02.01.2023 06:00","48363","42704"
"02.01.2023 06:00 - 02.01.2023 06:15","50005","45004"
"02.01.2023 06:15 - 02.01.2023 06:30","51562","46449"
"02.01.2023 06:30 - 02.01.2023 06:45","52939","47896"
"02.01.2023 06:45 - 02.01.2023 07:00","54329","48929"
"02.01.2023 07:00 - 02.01.2023 07:15","55674","50417"
"02.01.2023 07:15 - 02.01.2023 07:30","56619","51654"
"02.01.2023 07:30 - 02.01.2023 07:45","57517","53045"
"02.01.2023 07:45 - 02.01.2023 08:00","58252","54153"
"02.01.2023 08:00 - 02.01.2023 08:15","59050","55554"
"02.01.2023 08:15 - 02.01.2023 08:30","59678","56030"
"02.01.2023 08:30 - 02.01.2023 08:45","60008","56611"
"02.01.2023 08:45 - 02.01.2023 09:00","60344","56729"
"02.01.2023 09:00 - 02.01.2023 09:15","60895","57175"
"02.01.2023 09:15 - 02.01.2023 09:30","61349","57007"
"02.01.2023 09:30 - 02.01.2023 09:45","61858","57516"
"02.01.2023 09:45 - 02.01.2023 10:00","62133","58081"
"02.01.2023 10:00 - 02.01.2023 10:15","62425","58577"
"02.01.2023 10:15 - 02.01.2023 10:30","62712","59015"
"02.01.2023 10:30 - 02.01.2023 10:45","62927","59500"
"02.01.2023 10:45 - 02.01.2023 11:00","62984","59872"
"02.01.2023 11:00 - 02.01.2023 11:15","63567","59798"
"02.01.2023 11:15 - 02.01.2023 11:30","63769","60549"
"02.01.2023 11:30 - 02.01.2023 11:45","64033","60847"
"02.01.2023 11:45 - 02.01.2023 12:00","63991","61424"
"02.01.2023 12:00 - 02.01.2023 12:15","64075","61727"
"02.01.2023 12:15 - 02.01.2023 12:30","64033","61523"
"02.01.2023 12:30 - 02.01.2023 12:45","64116","61681"
"02.01.2023 12:45 - 02.01.2023 13:00","64010","61356"
"02.01.2023 13:00 - 02.01.2023 13:15","64034","60952"
"02.01.2023 13:15 - 02.01.2023 13:30","63892","60535"
"02.01.2023 13:30 - 02.01.2023 13:45","63546","60409"
"02.01.2023 13:45 - 02.01.2023 14:00","63343","59896"
"02.01.2023 14:00 - 02.01.2023 14:15","63126","59333"
"02.01.2023 14:15 - 02.01.2023 14:30","62737","59111"
"02.01.2023 14:30 - 02.01.2023 14:45","62560","59234"
"02.01.2023 14:45 - 02.01.2023 15:00","62294","59075"
"02.01.2023 15:00 - 02.01.2023 15:15","62427","59491"
"02.01.2023 15:15 - 02.01.2023 15:30","62362","59025"
"02.01.2023 15:30 - 02.01.2023 15:45","62150","58738"
"02.01.2023 15:45 - 02.01.2023 16:00","62070","58802"
"02.01.2023 16:00 - 02.01.2023 16:15","61986","59180"
"02.01.2023 16:15 - 02.01.2023 16:30","62113","59672"
"02.01.2023 16:30 - 02.01.2023 16:45","62552","60000"
"02.01.2023 16:45 - 02.01.2023 17:00","62936","60690"
"02.01.2023 17:00 - 02.01.2023 17:15","63422","61245"
"02.01.2023 17:15 - 02.01.2023 17:30","63816","61133"
"02.01.2023 17:30 - 02.01.2023 17:45","64149","61026"
"02.01.2023 17:45 - 02.01.2023 18:00","64269","60972"
"02.01.2023 18:00 - 02.01.2023 18:15","64214","61074"
"02.01.2023 18:15 - 02.01.2023 18:30","64061","60739"
"02.01.2023 18:30 - 02.01.2023 18:45","63885","60420"
"02.01.2023 18:45 - 02.01.2023 19:00","63648","60368"
"02.01.2023 19:00 - 02.01.2023 19:15","63077","60153"
"02.01.2023 19:15 - 02.01.2023 19:30","62771","60004"
"02.01.2023 19:30 - 02.01.2023 19:45","62254","59389"
"02.01.2023 19:45 - 02.01.2023 20:00","61625","58790"
"02.01.2023 20:00 - 02.01.2023 20:15","60752","57686"
"02.01.2023 20:15 - 02.01.2023 20:30","59983","56414"
"02.01.2023 20:30 - 02.01.2023 20:45","59229","55338"
"02.01.2023 20:45 - 02.01.2023 21:00","58614","54566"
"02.01.2023 21:00 - 02.01.2023 21:15","58005","54223"
"02.01.2023 21:15 - 02.01.2023 21:30","57183","53528"
"02.01.2023 21:30 - 02.01.2023 21:45","56508","52817"
"02.01.2023 21:45 - 02.01.2023 22:00","55828","52049"
"02.01.2023 22:00 - 02.01.2023 22:15","55706","51375"
"02.01.2023 22:15 - 02.01.2023 22:30","55022","50686"
"02.01.2023 22:30 - 02.01.2023 22:45","54126","49804"
"02.01.2023 22:45 - 02.01.2023 23:00","53162","48893"
"02.01.2023 23:00 - 02.01.2023 23:15","52454","48111"
"02.01.2023 23:15 - 02.01.2023 23:30","51768","47507"
"02.01.2023 23:30 - 02.01.2023 23:45","51189","46740"
"02.01.2023 23:45 - 03.01.2023 00:00","50574","46056"
"03.01.2023 00:00 - 03.01.2023 00:15","46815","45210"
"03.01.2023 00:15 - 03.01.2023 00:30","46503","44448"
"03.01.2023 00:30 - 03.01.2023 00:45","46009","43906"
"03.01.2023 00:45 - 03.01.2023 01:00","45548","43389"
"03.01.2023 01:00 - 03.01.2023 01:15","45163","42845"
"03.01.2023 01:15 - 03.01.2023 01:30","44914","42345"
"03.01.2023 01:30 - 03.01.2023 01:45","44550","42214"
"03.01.2023 01:45 - 03.01.2023 02:00","44283","42130"
"03.01.2023 02:00 - 03.01.2023 02:15","43921","41868"
"03.01.2023 02:15 - 03.01.2023 02:30","43958","41673"
"03.01.2023 02:30 - 03.01.2023 02:45","43832","41904"
"03.01.2023 02:45 - 03.01.2023 03:00","43854","41821"
"03.01.2023 03:00 - 03.01.2023 03:15","43788","41779"
"03.01.2023 03:15 - 03.01.2023 03:30","43819","41632"
"03.01.2023 03:30 - 03.01.2023 03:45","44018","41884"
"03.01.2023 03:45 - 03.01.2023 04:00","44101","42104"
"03.01.2023 04:00 - 03.01.2023 04:15","44854","42732"
"03.01.2023 04:15 - 03.01.2023 04:30","45493","43195"
"03.01.2023 04:30 - 03.01.2023 04:45","45827","43849"
"03.01.2023 04:45 - 03.01.2023 05:00","46377","44100"
"03.01.2023 05:00 - 03.01.2023 05:15","47363","44875"
"03.01.2023 05:15 - 03.01.2023 05:30","47856","45402"
"03.01.2023 05:30 - 03.01.2023 05:45","48697","45985"
"03.01.2023 05:45 - 03.01.2023 06:00","49779","47196"
"03.01.2023 06:00 - 03.01.2023 06:15","51668","49119"
"03.01.2023 06:15 - 03.01.2023 06:30","53246","50234"
"03.01.2023 06:30 - 03.01.2023 06:45","54570","51428"
"03.01.2023 06:45 - 03.01.2023 07:00","55966","52638"
"03.01.2023 07:00 - 03.01.2023 07:15","57182","54149"
"03.01.2023 07:15 - 03.01.2023 07:30","59415","55580"
"03.01.2023 07:30 - 03.01.2023 07:45","60328","56522"
"03.01.2023 07:45 - 03.01.2023 08:00","61063","57321"
"03.01.2023 08:00 - 03.01.2023 08:15","61916","57903"
"03.01.2023 08:15 - 03.01.2023 08:30","62615","58224"
"03.01.2023 08:30 - 03.01.2023 08:45","62989","58608"
"03.01.2023 08:45 - 03.01.2023 09:00","63361","58722"
"03.01.2023 09:00 - 03.01.2023 09:15","63893","58828"
"03.01.2023 09:15 - 03.01.2023 09:30","64130","59457"
"03.01.2023 09:30 - 03.01.2023 09:45","64457","59619"
"03.01.2023 09:45 - 03.01.2023 10:00","64610","59549"
"03.01.2023 10:00 - 03.01.2023 10:15","64800","59726"
"03.01.2023 10:15 - 03.01.2023 10:30","65101","59982"
"03.01.2023 10:30 - 03.01.2023 10:45","65342","60149"
"03.01.2023 10:45 - 03.01.2023 11:00","65498","60372"
"03.01.2023 11:00 - 03.01.2023 11:15","65939","60449"
"03.01.2023 11:15 - 03.01.2023 11:30","66235","60874"
"03.01.2023 11:30 - 03.01.2023 11:45","66539","61224"
"03.01.2023 11:45 - 03.01.2023 12:00","66597","61312"
"03.01.2023 12:00 - 03.01.2023 12:15","66599","60950"
"03.01.2023 12:15 - 03.01.2023 12:30","66465","60775"
"03.01.2023 12:30 - 03.01.2023 12:45","66462","60689"
"03.01.2023 12:45 - 03.01.2023 13:00","66248","60357"
"03.01.2023 13:00 - 03.01.2023 13:15","66267","59796"
"03.01.2023 13:15 - 03.01.2023 13:30","65966","59286"
"03.01.2023 13:30 - 03.01.2023 13:45","65604","58939"
"03.01.2023 13:45 - 03.01.2023 14:00","65240","58851"
"03.01.2023 14:00 - 03.01.2023 14:15","65210","58629"
"03.01.2023 14:15 - 03.01.2023 14:30","64787","58455"
"03.01.2023 14:30 - 03.01.2023 14:45","64437","58277"
"03.01.2023 14:45 - 03.01.2023 15:00","64027","58273"
"03.01.2023 15:00 - 03.01.2023 15:15","64118","58361"
"03.01.2023 15:15 - 03.01.2023 15:30","64010","58010"
"03.01.2023 15:30 - 03.01.2023 15:45","63812","58047"
"03.01.2023 15:45 - 03.01.2023 16:00","63735","57855"
"03.01.2023 16:00 - 03.01.2023 16:15","63777","58541"
"03.01.2023 16:15 - 03.01.2023 16:30","63871","58922"
"03.01.2023 16:30 - 03.01.2023 16:45","64244","59601"
"03.01.2023 16:45 - 03.01.2023 17:00","64507","60232"
"03.01.2023 17:00 - 03.01.2023 17:15","64806","61256"
"03.01.2023 17:15 - 03.01.2023 17:30","65061","61775"
"03.01.2023 17:30 - 03.01.2023 17:45","65351","62346"
"03.01.2023 17:45 - 03.01.2023 18:00","65382","62281"
"03.01.2023 18:00 - 03.01.2023 18:15","65240","61674"
"03.01.2023 18:15 - 03.01.2023 18:30","65069","61557"
"03.01.2023 18:30 - 03.01.2023 18:45","64912","61659"
"03.01.2023 18:45 - 03.01.2023 19:00","64772","61292"
"03.01.2023 19:00 - 03.01.2023 19:15","64239","60841"
"03.01.2023 19:15 - 03.01.2023 19:30","63938","60004"
"03.01.2023 19:30 - 03.01.2023 19:45","63490","59423"
"03.01.2023 19:45 - 03.01.2023 20:00","62863","58705"
"03.01.2023 20:00 - 03.01.2023 20:15","61989","57912"
"03.01.2023 20:15 - 03.01.2023 20:30","61206","56963"
"03.01.2023 20:30 - 03.01.2023 20:45","60494","56194"
"03.01.2023 20:45 - 03.01.2023 21:00","59985","55362"
"03.01.2023 21:00 - 03.01.2023 21:15","59314","54564"
"03.01.2023 21:15 - 03.01.2023 21:30","58469","53886"
"03.01.2023 21:30 - 03.01.2023 21:45","57783","53405"
"03.01.2023 21:45 - 03.01.2023 22:00","56936","52821"
"03.01.2023 22:00 - 03.01.2023 22:15","56677","52691"
"03.01.2023 22:15 - 03.01.2023 22:30","56027","52016"
"03.01.2023 22:30 - 03.01.2023 22:45","55150","51014"
"03.01.2023 22:45 - 03.01.2023 23:00","54267","50160"
"03.01.2023 23:00 - 03.01.2023 23:15","53478","49437"
"03.01.2023 23:15 - 03.01.2023 23:30","52734","48448"
"03.01.2023 23:30 - 03.01.2023 23:45","52171","48143"
"03.01.2023 23:45 - 04.01.2023 00:00","51552","47380"
"04.01.2023 00:00 - 04.01.2023 00:15","48911","46934"
"04.01.2023 00:15 - 04.01.2023 00:30","48476","46603"
"04.01.2023 00:30 - 04.01.2023 00:45","47938","45632"
"04.01.2023 00:45 - 04.01.2023 01:00","47489","45489"
"04.01.2023 01:00 - 04.01.2023 01:15","47211","44965"
"04.01.2023 01:15 - 04.01.2023 01:30","46902","44705"
"04.01.2023 01:30 - 04.01.2023 01:45","46699","44697"
"04.01.2023 01:45 - 04.01.2023 02:00","46443","44600"
"04.01.2023 02:00 - 04.01.2023 02:15","46221","44254"
"04.01.2023 02:15 - 04.01.2023 02:30","46204","44204"
"04.01.2023 02:30 - 04.01.2023 02:45","46145","44304"
"04.01.2023 02:45 - 04.01.2023 03:00","46239","44277"
"04.01.2023 03:00 - 04.01.2023 03:15","46312","44526"
"04.01.2023 03:15 - 04.01.2023 03:30","46470","44972"
"04.01.2023 03:30 - 04.01.2023 03:45","46595","45369"
"04.01.2023 03:45 - 04.01.2023 04:00","46757","45732"
"04.01.2023 04:00 - 04.01.2023 04:15","47312","46369"
"04.01.2023 04:15 - 04.01.2023 04:30","47645","46693"
"04.01.2023 04:30 - 04.01.2023 04:45","48132","47065"
"04.01.2023 04:45 - 04.01.2023 05:00","48593","47573"
"04.01.2023 05:00 - 04.01.2023 05:15","49438","48747"
"04.01.2023 05:15 - 04.01.2023 05:30","49934","48993"
"04.01.2023 05:30 - 04.01.2023 05:45","50653","49940"
"04.01.2023 05:45 - 04.01.2023 06:00","51634","51394"
"04.01.2023 06:00 - 04.01.2023 06:15","53416","53996"
"04.01.2023 06:15 - 04.01.2023 06:30","54776","55232"
"04.01.2023 06:30 - 04.01.2023 06:45","56009","56209"
"04.01.2023 06:45 - 04.01.2023 07:00","57210","57370"
"04.01.2023 07:00 - 04.01.2023 07:15","58937","58519"
"04.01.2023 07:15 - 04.01.2023 07:30","60444","59735"
"04.01.2023 07:30 - 04.01.2023 07:45","61159","60548"
"04.01.2023 07:45 - 04.01.2023 08:00","62192","61536"
"04.01.2023 08:00 - 04.01.2023 08:15","62934","62602"
"04.01.2023 08:15 - 04.01.2023 08:30","63424","63133"
"04.01.2023 08:30 - 04.01.2023 08:45","63816","63476"
"04.01.2023 08:45 - 04.01.2023 09:00","63995","63377"
"04.01.2023 09:00 - 04.01.2023 09:15","64400","63411"
"04.01.2023 09:15 - 04.01.2023 09:30","64736","63918"
"04.01.2023 09:30 - 04.01.2023 09:45","65306","64522"
"04.01.2023 09:45 - 04.01.2023 10:00","65555","64877"
"04.01.2023 10:00 - 04.01.2023 10:15","65994","65077"
"04.01.2023 10:15 - 04.01.2023 10:30","66056","65364"
"04.01.2023 10:30 - 04.01.2023 10:45","66252","65769"
"04.01.2023 10:45 - 04.01.2023 11:00","66443","66021"
"04.01.2023 11:00 - 04.01.2023 11:15","66769","66468"
"04.01.2023 11:15 - 04.01.2023 11:30","67179","66705"
"04.01.2023 11:30 - 04.01.2023 11:45","67654","67064"
"04.01.2023 11:45 - 04.01.2023 12:00","67735","67331"
"04.01.2023 12:00 - 04.01.2023 12:15","67806","67319"
"04.01.2023 12:15 - 04.01.2023 12:30","67795","67239"
"04.01.2023 12:30 - 04.01.2023 12:45","67757","67151"
"04.01.2023 12:45 - 04.01.2023 13:00","67697","66682"
"04.01.2023 13:00 - 04.01.2023 13:15","67470","66450"
"04.01.2023 13:15 - 04.01.2023 13:30","67047","66428"
"04.01.2023 13:30 - 04.01.2023 13:45","66656","65872"
"04.01.2023 13:45 - 04.01.2023 14:00","66141","64988"
"04.01.2023 14:00 - 04.01.2023 14:15","65772","64842"
"04.01.2023 14:15 - 04.01.2023 14:30","65464","64960"
"04.01.2023 14:30 - 04.01.2023 14:45","65163","65136"
"04.01.2023 14:45 - 04.01.2023 15:00","65059","65095"
"04.01.2023 15:00 - 04.01.2023 15:15","64956","64615"
"04.01.2023 15:15 - 04.01.2023 15:30","64689","64489"
"04.01.2023 15:30 - 04.01.2023 15:45","64546","64358"
"04.01.2023 15:45 - 04.01.2023 16:00","64511","64199"
"04.01.2023 16:00 - 04.01.2023 16:15","64649","64044"
"04.01.2023 16:15 - 04.01.2023 16:30","64428","64293"
"04.01.2023 16:30 - 04.01.2023 16:45","64670","64827"
"04.01.2023 16:45 - 04.01.2023 17:00","65277","65314"
"04.01.2023 17:00 - 04.01.2023 17:15","66059","66037"
"04.01.2023 17:15 - 04.01.2023 17:30","66423","66620"
"04.01.2023 17:30 - 04.01.2023 17:45","66587","66802"
"04.01.2023 17:45 - 04.01.2023 18:00","66555","66967"
"04.01.2023 18:00 - 04.01.2023 18:15","66221","66763"
"04.01.2023 18:15 - 04.01.2023 18:30","66230","66401"
"04.01.2023 18:30 - 04.01.2023 18:45","66080","66090"
"04.01.2023 18:45 - 04.01.2023 19:00","66021","65338"
"04.01.2023 19:00 - 04.01.2023 19:15","65651","65140"
"04.01.2023 19:15 - 04.01.2023 19:30","64964","64254"
"04.01.2023 19:30 - 04.01.2023 19:45","64394","63639"
"04.01.2023 19:45 - 04.01.2023 20:00","63646","62993"
"04.01.2023 20:00 - 04.01.2023 20:15","62539","62019"
"04.01.2023 20:15 - 04.01.2023 20:30","61633","60883"
"04.01.2023 20:30 - 04.01.2023 20:45","60751","59760"
"04.01.2023 20:45 - 04.01.2023 21:00","59946","58790"
"04.01.2023 21:00 - 04.01.2023 21:15","59389","58345"
"04.01.2023 21:15 - 04.01.2023 21:30","58662","57616"
"04.01.2023 21:30 - 04.01.2023 21:45","57787","56799"
"04.01.2023 21:45 - 04.01.2023 22:00","56940","56209"
"04.01.2023 22:00 - 04.01.2023 22:15","56776","55507"
"04.01.2023 22:15 - 04.01.2023 22:30","56239","55009"
"04.01.2023 22:30 - 04.01.2023 22:45","55339","54359"
"04.01.2023 22:45 - 04.01.2023 23:00","54438","53462"
"04.01.2023 23:00 - 04.01.2023 23:15","53410","52531"
"04.01.2023 23:15 - 04.01.2023 23:30","52597","51907"
"04.01.2023 23:30 - 04.01.2023 23:45","51617","51318"
"04.01.2023 23:45 - 05.01.2023 00:00","50946","49986"
"05.01.2023 00:00 - 05.01.2023 00:15","51079","47677"
"05.01.2023 00:15 - 05.01.2023 00:30","50494","46962"
"05.01.2023 00:30 - 05.01.2023 00:45","49940","46370"
"05.01.2023 00:45 - 05.01.2023 01:00","49622","45705"
"05.01.2023 01:00 - 05.01.2023 01:15","49099","45090"
"05.01.2023 01:15 - 05.01.2023 01:30","48833","44801"
"05.01.2023 01:30 - 05.01.2023 01:45","48426","44324"
"05.01.2023 01:45 - 05.01.2023 02:00","48234","44221"
"05.01.2023 02:00 - 05.01.2023 02:15","48062","44523"
"05.01.2023 02:15 - 05.01.2023 02:30","48159","44464"
"05.01.2023 02:30 - 05.01.2023 02:45","47898","44801"
"05.01.2023 02:45 - 05.01.2023 03:00","47907","44852"
"05.01.2023 03:00 - 05.01.2023 03:15","47784","44993"
"05.01.2023 03:15 - 05.01.2023 03:30","48035","44940"
"05.01.2023 03:30 - 05.01.2023 03:45","48385","45019"
"05.01.2023 03:45 - 05.01.2023 04:00","48676","45223"
"05.01.2023 04:00 - 05.01.2023 04:15","49184","45696"
"05.01.2023 04:15 - 05.01.2023 04:30","49675","45881"
"05.01.2023 04:30 - 05.01.2023 04:45","50181","46278"
"05.01.2023 04:45 - 05.01.2023 05:00","50724","46837"
"05.01.2023 05:00 - 05.01.2023 05:15","51726","47370"
"05.01.2023 05:15 - 05.01.2023 05:30","52368","47771"
"05.01.2023 05:30 - 05.01.2023 05:45","53336","48378"
"05.01.2023 05:45 - 05.01.2023 06:00","54640","49572"
"05.01.2023 06:00 - 05.01.2023 06:15","56774","51293"
"05.01.2023 06:15 - 05.01.2023 06:30","58362","52466"
"05.01.2023 06:30 - 05.01.2023 06:45","59368","53684"
"05.01.2023 06:45 - 05.01.2023 07:00","60607","55005"
"05.01.2023 07:00 - 05.01.2023 07:15","62019","57660"
"05.01.2023 07:15 - 05.01.2023 07:30","61214","58649"
"05.01.2023 07:30 - 05.01.2023 07:45","61838","59626"
"05.01.2023 07:45 - 05.01.2023 08:00","62601","60465"
"05.01.2023 08:00 - 05.01.2023 08:15","63502","61521"
"05.01.2023 08:15 - 05.01.2023 08:30","64014","61260"
"05.01.2023 08:30 - 05.01.2023 08:45","64544","61298"
"05.01.2023 08:45 - 05.01.2023 09:00","64808","61620"
"05.01.2023 09:00 - 05.01.2023 09:15","65114","61981"
"05.01.2023 09:15 - 05.01.2023 09:30","65645","62168"
"05.01.2023 09:30 - 05.01.2023 09:45","65977","62089"
"05.01.2023 09:45 - 05.01.2023 10:00","66283","62220"
"05.01.2023 10:00 - 05.01.2023 10:15","66477","62361"
"05.01.2023 10:15 - 05.01.2023 10:30","66655","62554"
"05.01.2023 10:30 - 05.01.2023 10:45","66902","62399"
"05.01.2023 10:45 - 05.01.2023 11:00","67053","62787"
"05.01.2023 11:00 - 05.01.2023 11:15","67131","63318"
"05.01.2023 11:15 - 05.01.2023 11:30","67607","63793"
"05.01.2023 11:30 - 05.01.2023 11:45","68006","64341"
"05.01.2023 11:45 - 05.01.2023 12:00","68031","64354"
"05.01.2023 12:00 - 05.01.2023 12:15","67890","64389"
