"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"10.05.2023 06:30 - 10.05.2023 06:45","6924","6759"
"10.05.2023 06:45 - 10.05.2023 07:00","7072","6868"
"10.05.2023 07:00 - 10.05.2023 07:15","7252","7043"
"10.05.2023 07:15 - 10.05.2023 07:30","7336","7184"
"10.05.2023 07:30 - 10.05.2023 07:45","7400","7256"
"10.05.2023 07:45 - 10.05.2023 08:00","7432","7301"
"10.05.2023 08:00 - 10.05.2023 08:15","7492","7421"
"10.05.2023 08:15 - 10.05.2023 08:30","7448","7446"
"10.05.2023 08:30 - 10.05.2023 08:45","7420","7416"
"10.05.2023 08:45 - 10.05.2023 09:00","7364","7432"
"10.05.2023 09:00 - 10.05.2023 09:15","7268","7380"
"10.05.2023 09:15 - 10.05.2023 09:30","7220","7405"
"10.05.2023 09:30 - 10.05.2023 09:45","7184","7489"
"10.05.2023 09:45 - 10.05.2023 10:00","7120","7527"
"10.05.2023 10:00 - 10.05.2023 10:15","7080","7481"
"10.05.2023 10:15 - 10.05.2023 10:30","7024","7498"
"10.05.2023 10:30 - 10.05.2023 10:45","6984","7562"
"10.05.2023 10:45 - 10.05.2023 11:00","6964","7554"
"10.05.2023 11:00 - 10.05.2023 11:15","6940","7639"
"10.05.2023 11:15 - 10.05.2023 11:30","6912","7632"
"10.05.2023 11:30 - 10.05.2023 11:45","6888","7608"
"10.05.2023 11:45 - 10.05.2023 12:00","6808","7547"
"10.05.2023 12:00 - 10.05.2023 12:15","6716","7462"
"10.05.2023 12:15 - 10.05.2023 12:30","6624","7399"
"10.05.2023 12:30 - 10.05.2023 12:45","6564","7395"
"10.05.2023 12:45 - 10.05.2023 13:00","6536","7374"
"10.05.2023 13:00 - 10.05.2023 13:15","6572","7396"
"10.05.2023 13:15 - 10.05.2023 13:30","6536","7383"
"10.05.2023 13:30 - 10.05.2023 13:45","6492","7300"
"10.05.2023 13:45 - 10.05.2023 14:00","6448","7236"
"10.05.2023 14:00 - 10.05.2023 14:15","6432","7258"
"10.05.2023 14:15 - 10.05.2023 14:30","6436","7215"
"10.05.2023 14:30 - 10.05.2023 14:45","6400","7261"
"10.05.2023 14:45 - 10.05.2023 15:00","6424","7234"
"10.05.2023 15:00 - 10.05.2023 15:15","6432","7263"
"10.05.2023 15:15 - 10.05.2023 15:30","6400","7266"
"10.05.2023 15:30 - 10.05.2023 15:45","6396","7262"
"10.05.2023 15:45 - 10.05.2023 16:00","6424","7238"
"10.05.2023 16:00 - 10.05.2023 16:15","6432","7198"
"10.05.2023 16:15 - 10.05.2023 16:30","6448","7190"
"10.05.2023 16:30 - 10.05.2023 16:45","6484","7198"
"10.05.2023 16:45 - 10.05.2023 17:00","6532","7184"
"10.05.2023 17:00 - 10.05.2023 17:15","6576","7244"
"10.05.2023 17:15 - 10.05.2023 17:30","6680","7230"
"10.05.2023 17:30 - 10.05.2023 17:45","6768","7227"
"10.05.2023 17:45 - 10.05.2023 18:00","6836","7284"
"10.05.2023 18:00 - 10.05.2023 18:15","6868","7260"
"10.05.2023 18:15 - 10.05.2023 18:30","6944","7264"
"10.05.2023 18:30 - 10.05.2023 18:45","7008","7303"
"10.05.2023 18:45 - 10.05.2023 19:00","7068","7342"
"10.05.2023 19:00 - 10.05.2023 19:15","7100","7305"
"10.05.2023 19:15 - 10.05.2023 19:30","7100","7252"
"10.05.2023 19:30 - 10.05.2023 19:45","7088","7238"
"10.05.2023 19:45 - 10.05.2023 20:00","7072","7198"
"10.05.2023 20:00 - 10.05.2023 20:15","7052","7162"
"10.05.2023 20:15 - 10.05.2023 20:30","7028","7088"
"10.05.2023 20:30 - 10.05.2023 20:45","6996","6986"
"10.05.2023 20:45 - 10.05.2023 21:00","6908","6925"
"10.05.2023 21:00 - 10.05.2023 21:15","6812","6815"
"10.05.2023 21:15 - 10.05.2023 21:30","6704","6672"
"10.05.2023 21:30 - 10.05.2023 21:45","6564","6536"
"10.05.2023 21:45 - 10.05.2023 22:00","6428","6375"
"10.05.2023 22:00 - 10.05.2023 22:15","6500","6436"
"10.05.2023 22:15 - 10.05.2023 22:30","6400","6350"
"10.05.2023 22:30 - 10.05.2023 22:45","6240","6239"
"10.05.2023 22:45 - 10.05.2023 23:00","6120","6128"
"10.05.2023 23:00 - 10.05.2023 23:15","6024","5963"
"10.05.2023 23:15 - 10.05.2023 23:30","5876","5825"
"10.05.2023 23:30 - 10.05.2023 23:45","5760","5715"
"10.05.2023 23:45 - 11.05.2023 00:00","5660","5629"
"11.05.2023 00:00 - 11.05.2023 00:15","5628","5646"
"11.05.2023 00:15 - 11.05.2023 00:30","5544","5522"
"11.05.2023 00:30 - 11.05.2023 00:45","5452","5415"
"11.05.2023 00:45 - 11.05.2023 01:00","5368","5367"
"11.05.2023 01:00 - 11.05.2023 01:15","5344","5336"
"11.05.2023 01:15 - 11.05.2023 01:30","5280","5230"
"11.05.2023 01:30 - 11.05.2023 01:45","5216","5181"
"11.05.2023 01:45 - 11.05.2023 02:00","5152","5114"
"11.05.2023 02:00 - 11.05.2023 02:15","5208","5156"
"11.05.2023 02:15 - 11.05.2023 02:30","5160","5114"
"11.05.2023 02:30 - 11.05.2023 02:45","5108","5054"
"11.05.2023 02:45 - 11.05.2023 03:00","5084","4999"
"11.05.2023 03:00 - 11.05.2023 03:15","5084","4999"
"11.05.2023 03:15 - 11.05.2023 03:30","5068","5010"
"11.05.2023 03:30 - 11.05.2023 03:45","5060","5018"
"11.05.2023 03:45 - 11.05.2023 04:00","5048","5013"
"11.05.2023 04:00 - 11.05.2023 04:15","5100","5050"
"11.05.2023 04:15 - 11.05.2023 04:30","5152","5077"
"11.05.2023 04:30 - 11.05.2023 04:45","5224","5162"
"11.05.2023 04:45 - 11.05.2023 05:00","5340","5236"
"11.05.2023 05:00 - 11.05.2023 05:15","5556","5511"
"11.05.2023 05:15 - 11.05.2023 05:30","5716","5640"
"11.05.2023 05:30 - 11.05.2023 05:45","5900","5810"
"11.05.2023 05:45 - 11.05.2023 06:00","6128","5998"
"11.05.2023 06:00 - 11.05.2023 06:15","6500","6469"
"11.05.2023 06:15 - 11.05.2023 06:30","6744","6735"
"11.05.2023 06:30 - 11.05.2023 06:45","6924","6934"
"11.05.2023 06:45 - 11.05.2023 07:00","7072","7062"
"11.05.2023 07:00 - 11.05.2023 07:15","7252","7266"
"11.05.2023 07:15 - 11.05.2023 07:30","7336","7362"
"11.05.2023 07:30 - 11.05.2023 07:45","7400","7434"
"11.05.2023 07:45 - 11.05.2023 08:00","7432","7537"
"11.05.2023 08:00 - 11.05.2023 08:15","7492","7639"
"11.05.2023 08:15 - 11.05.2023 08:30","7448","7672"
"11.05.2023 08:30 - 11.05.2023 08:45","7420","7714"
"11.05.2023 08:45 - 11.05.2023 09:00","7364","7704"
"11.05.2023 09:00 - 11.05.2023 09:15","7268","7637"
"11.05.2023 09:15 - 11.05.2023 09:30","7220","7696"
"11.05.2023 09:30 - 11.05.2023 09:45","7184","7729"
"11.05.2023 09:45 - 11.05.2023 10:00","7120","7730"
"11.05.2023 10:00 - 11.05.2023 10:15","7080","7727"
"11.05.2023 10:15 - 11.05.2023 10:30","7024","7764"
"11.05.2023 10:30 - 11.05.2023 10:45","6984","7770"
"11.05.2023 10:45 - 11.05.2023 11:00","6964","7806"
"11.05.2023 11:00 - 11.05.2023 11:15","6940","7881"
"11.05.2023 11:15 - 11.05.2023 11:30","6912","7950"
"11.05.2023 11:30 - 11.05.2023 11:45","6888","7949"
"11.05.2023 11:45 - 11.05.2023 12:00","6808","7954"
"11.05.2023 12:00 - 11.05.2023 12:15","6716","7945"
"11.05.2023 12:15 - 11.05.2023 12:30","6624","7824"
"11.05.2023 12:30 - 11.05.2023 12:45","6564","7823"
"11.05.2023 12:45 - 11.05.2023 13:00","6536","7877"
"11.05.2023 13:00 - 11.05.2023 13:15","6572","7921"
"11.05.2023 13:15 - 11.05.2023 13:30","6536","7902"
"11.05.2023 13:30 - 11.05.2023 13:45","6492","7880"
"11.05.2023 13:45 - 11.05.2023 14:00","6448","7839"
"11.05.2023 14:00 - 11.05.2023 14:15","6432","7795"
"11.05.2023 14:15 - 11.05.2023 14:30","6436","7805"
"11.05.2023 14:30 - 11.05.2023 14:45","6400","7786"
"11.05.2023 14:45 - 11.05.2023 15:00","6424","7748"
"11.05.2023 15:00 - 11.05.2023 15:15","6432","7716"
"11.05.2023 15:15 - 11.05.2023 15:30","6400","7672"
"11.05.2023 15:30 - 11.05.2023 15:45","6396","7689"
"11.05.2023 15:45 - 11.05.2023 16:00","6424","7687"
"11.05.2023 16:00 - 11.05.2023 16:15","6432","7649"
"11.05.2023 16:15 - 11.05.2023 16:30","6448","7616"
"11.05.2023 16:30 - 11.05.2023 16:45","6484","7564"
"11.05.2023 16:45 - 11.05.2023 17:00","6532","7560"
"11.05.2023 17:00 - 11.05.2023 17:15","6576","7534"
"11.05.2023 17:15 - 11.05.2023 17:30","6680","7542"
"11.05.2023 17:30 - 11.05.2023 17:45","6768","7563"
"11.05.2023 17:45 - 11.05.2023 18:00","6836","7556"
"11.05.2023 18:00 - 11.05.2023 18:15","6868","7513"
"11.05.2023 18:15 - 11.05.2023 18:30","6944","7480"
"11.05.2023 18:30 - 11.05.2023 18:45","7008","7510"
"11.05.2023 18:45 - 11.05.2023 19:00","7068","7503"
"11.05.2023 19:00 - 11.05.2023 19:15","7100","7438"
"11.05.2023 19:15 - 11.05.2023 19:30","7100","7374"
"11.05.2023 19:30 - 11.05.2023 19:45","7088","7341"
"11.05.2023 19:45 - 11.05.2023 20:00","7072","7240"
"11.05.2023 20:00 - 11.05.2023 20:15","7052","7166"
"11.05.2023 20:15 - 11.05.2023 20:30","7028","7099"
"11.05.2023 20:30 - 11.05.2023 20:45","6996","7065"
"11.05.2023 20:45 - 11.05.2023 21:00","6908","6954"
"11.05.2023 21:00 - 11.05.2023 21:15","6812","6840"
"11.05.2023 21:15 - 11.05.2023 21:30","6704","6714"
"11.05.2023 21:30 - 11.05.2023 21:45","6564","6586"
"11.05.2023 21:45 - 11.05.2023 22:00","6428","6435"
"11.05.2023 22:00 - 11.05.2023 22:15","6500","6542"
"11.05.2023 22:15 - 11.05.2023 22:30","6400","6463"
"11.05.2023 22:30 - 11.05.2023 22:45","6240","6287"
"11.05.2023 22:45 - 11.05.2023 23:00","6120","6155"
"11.05.2023 23:00 - 11.05.2023 23:15","6024","6022"
"11.05.2023 23:15 - 11.05.2023 23:30","5876","5888"
"11.05.2023 23:30 - 11.05.2023 23:45","5760","5758"
"11.05.2023 23:45 - 12.05.2023 00:00","5660","5698"
"12.05.2023 00:00 - 12.05.2023 00:15","5716","5723"
"12.05.2023 00:15 - 12.05.2023 00:30","5628","5601"
"12.05.2023 00:30 - 12.05.2023 00:45","5544","5493"
"12.05.2023 00:45 - 12.05.2023 01:00","5460","5394"
"12.05.2023 01:00 - 12.05.2023 01:15","5452","5317"
"12.05.2023 01:15 - 12.05.2023 01:30","5396","5266"
"12.05.2023 01:30 - 12.05.2023 01:45","5332","5230"
"12.05.2023 01:45 - 12.05.2023 02:00","5272","5138"
"12.05.2023 02:00 - 12.05.2023 02:15","5404","5179"
"12.05.2023 02:15 - 12.05.2023 02:30","5360","5131"
"12.05.2023 02:30 - 12.05.2023 02:45","5312","5119"
"12.05.2023 02:45 - 12.05.2023 03:00","5280","5051"
"12.05.2023 03:00 - 12.05.2023 03:15","5272","5046"
"12.05.2023 03:15 - 12.05.2023 03:30","5256","5011"
"12.05.2023 03:30 - 12.05.2023 03:45","5248","5033"
"12.05.2023 03:45 - 12.05.2023 04:00","5260","5001"
"12.05.2023 04:00 - 12.05.2023 04:15","5300","5094"
"12.05.2023 04:15 - 12.05.2023 04:30","5360","5106"
"12.05.2023 04:30 - 12.05.2023 04:45","5428","5174"
"12.05.2023 04:45 - 12.05.2023 05:00","5544","5280"
"12.05.2023 05:00 - 12.05.2023 05:15","5656","5526"
"12.05.2023 05:15 - 12.05.2023 05:30","5828","5700"
"12.05.2023 05:30 - 12.05.2023 05:45","6024","5850"
"12.05.2023 05:45 - 12.05.2023 06:00","6244","6085"
"12.05.2023 06:00 - 12.05.2023 06:15","6584","6532"
"12.05.2023 06:15 - 12.05.2023 06:30","6820","6740"
"12.05.2023 06:30 - 12.05.2023 06:45","6976","6922"
"12.05.2023 06:45 - 12.05.2023 07:00","7104","7124"
"12.05.2023 07:00 - 12.05.2023 07:15","7256","7296"
"12.05.2023 07:15 - 12.05.2023 07:30","7328","7406"
"12.05.2023 07:30 - 12.05.2023 07:45","7384","7512"
"12.05.2023 07:45 - 12.05.2023 08:00","7404","7559"
"12.05.2023 08:00 - 12.05.2023 08:15","7428","7708"
"12.05.2023 08:15 - 12.05.2023 08:30","7388","7735"
"12.05.2023 08:30 - 12.05.2023 08:45","7344","7768"
"12.05.2023 08:45 - 12.05.2023 09:00","7288","7832"
"12.05.2023 09:00 - 12.05.2023 09:15","7180","7812"
"12.05.2023 09:15 - 12.05.2023 09:30","7124","7877"
"12.05.2023 09:30 - 12.05.2023 09:45","7068","7918"
"12.05.2023 09:45 - 12.05.2023 10:00","6988","7885"
"12.05.2023 10:00 - 12.05.2023 10:15","6940","7878"
"12.05.2023 10:15 - 12.05.2023 10:30","6880","7876"
"12.05.2023 10:30 - 12.05.2023 10:45","6824","7904"
"12.05.2023 10:45 - 12.05.2023 11:00","6792","7977"
"12.05.2023 11:00 - 12.05.2023 11:15","6752","7928"
"12.05.2023 11:15 - 12.05.2023 11:30","6704","7968"
"12.05.2023 11:30 - 12.05.2023 11:45","6656","7962"
"12.05.2023 11:45 - 12.05.2023 12:00","6584","7894"
"12.05.2023 12:00 - 12.05.2023 12:15","6544","7844"
"12.05.2023 12:15 - 12.05.2023 12:30","6444","7722"
"12.05.2023 12:30 - 12.05.2023 12:45","6372","7600"
"12.05.2023 12:45 - 12.05.2023 13:00","6312","7559"
"12.05.2023 13:00 - 12.05.2023 13:15","6372","7508"
"12.05.2023 13:15 - 12.05.2023 13:30","6328","7450"
"12.05.2023 13:30 - 12.05.2023 13:45","6296","7362"
"12.05.2023 13:45 - 12.05.2023 14:00","6240","7284"
"12.05.2023 14:00 - 12.05.2023 14:15","6244","7280"
"12.05.2023 14:15 - 12.05.2023 14:30","6256","7254"
"12.05.2023 14:30 - 12.05.2023 14:45","6236","7212"
"12.05.2023 14:45 - 12.05.2023 15:00","6240","7162"
"12.05.2023 15:00 - 12.05.2023 15:15","6264","7132"
"12.05.2023 15:15 - 12.05.2023 15:30","6280","7131"
"12.05.2023 15:30 - 12.05.2023 15:45","6308","7090"
"12.05.2023 15:45 - 12.05.2023 16:00","6364","7088"
"12.05.2023 16:00 - 12.05.2023 16:15","6368","7100"
"12.05.2023 16:15 - 12.05.2023 16:30","6388","7052"
"12.05.2023 16:30 - 12.05.2023 16:45","6424","7050"
"12.05.2023 16:45 - 12.05.2023 17:00","6504","7058"
"12.05.2023 17:00 - 12.05.2023 17:15","6452","7124"
"12.05.2023 17:15 - 12.05.2023 17:30","6552","7152"
"12.05.2023 17:30 - 12.05.2023 17:45","6644","7180"
"12.05.2023 17:45 - 12.05.2023 18:00","6716","7162"
"12.05.2023 18:00 - 12.05.2023 18:15","6752","7151"
"12.05.2023 18:15 - 12.05.2023 18:30","6820","7126"
"12.05.2023 18:30 - 12.05.2023 18:45","6876","7075"
"12.05.2023 18:45 - 12.05.2023 19:00","6924","7071"
"12.05.2023 19:00 - 12.05.2023 19:15","6940","7073"
"12.05.2023 19:15 - 12.05.2023 19:30","6948","6998"
"12.05.2023 19:30 - 12.05.2023 19:45","6948","6995"
"12.05.2023 19:45 - 12.05.2023 20:00","6928","6941"
"12.05.2023 20:00 - 12.05.2023 20:15","6908","6918"
"12.05.2023 20:15 - 12.05.2023 20:30","6876","6833"
"12.05.2023 20:30 - 12.05.2023 20:45","6820","6795"
"12.05.2023 20:45 - 12.05.2023 21:00","6724","6768"
"12.05.2023 21:00 - 12.05.2023 21:15","6608","6605"
"12.05.2023 21:15 - 12.05.2023 21:30","6492","6448"
"12.05.2023 21:30 - 12.05.2023 21:45","6360","6324"
"12.05.2023 21:45 - 12.05.2023 22:00","6236","6229"
"12.05.2023 22:00 - 12.05.2023 22:15","6356","6313"
"12.05.2023 22:15 - 12.05.2023 22:30","6268","6257"
"12.05.2023 22:30 - 12.05.2023 22:45","6124","6123"
"12.05.2023 22:45 - 12.05.2023 23:00","6016","5970"
"12.05.2023 23:00 - 12.05.2023 23:15","5936","5872"
"12.05.2023 23:15 - 12.05.2023 23:30","5792","5766"
"12.05.2023 23:30 - 12.05.2023 23:45","5684","5634"
"12.05.2023 23:45 - 13.05.2023 00:00","5584","5526"
"13.05.2023 00:00 - 13.05.2023 00:15","5464","5570"
"13.05.2023 00:15 - 13.05.2023 00:30","5364","5479"
"13.05.2023 00:30 - 13.05.2023 00:45","5256","5386"
"13.05.2023 00:45 - 13.05.2023 01:00","5160","5301"
"13.05.2023 01:00 - 13.05.2023 01:15","5124","5201"
"13.05.2023 01:15 - 13.05.2023 01:30","5052","5114"
"13.05.2023 01:30 - 13.05.2023 01:45","4984","4997"
"13.05.2023 01:45 - 13.05.2023 02:00","4924","4977"
"13.05.2023 02:00 - 13.05.2023 02:15","4976","5005"
"13.05.2023 02:15 - 13.05.2023 02:30","4920","4944"
"13.05.2023 02:30 - 13.05.2023 02:45","4864","4888"
"13.05.2023 02:45 - 13.05.2023 03:00","4820","4835"
"13.05.2023 03:00 - 13.05.2023 03:15","4796","4791"
"13.05.2023 03:15 - 13.05.2023 03:30","4760","4785"
"13.05.2023 03:30 - 13.05.2023 03:45","4740","4798"
"13.05.2023 03:45 - 13.05.2023 04:00","4724","4783"
"13.05.2023 04:00 - 13.05.2023 04:15","4744","4798"
"13.05.2023 04:15 - 13.05.2023 04:30","4752","4794"
"13.05.2023 04:30 - 13.05.2023 04:45","4780","4817"
"13.05.2023 04:45 - 13.05.2023 05:00","4808","4817"
"13.05.2023 05:00 - 13.05.2023 05:15","4892","4952"
"13.05.2023 05:15 - 13.05.2023 05:30","4948","4971"
"13.05.2023 05:30 - 13.05.2023 05:45","5020","5070"
"13.05.2023 05:45 - 13.05.2023 06:00","5104","5106"
"13.05.2023 06:00 - 13.05.2023 06:15","5200","5199"
"13.05.2023 06:15 - 13.05.2023 06:30","5288","5271"
"13.05.2023 06:30 - 13.05.2023 06:45","5352","5325"
"13.05.2023 06:45 - 13.05.2023 07:00","5416","5412"
"13.05.2023 07:00 - 13.05.2023 07:15","5496","5478"
"13.05.2023 07:15 - 13.05.2023 07:30","5556","5557"
"13.05.2023 07:30 - 13.05.2023 07:45","5624","5675"
"13.05.2023 07:45 - 13.05.2023 08:00","5684","5759"
"13.05.2023 08:00 - 13.05.2023 08:15","5748","5877"
"13.05.2023 08:15 - 13.05.2023 08:30","5776","5971"
"13.05.2023 08:30 - 13.05.2023 08:45","5812","6052"
"13.05.2023 08:45 - 13.05.2023 09:00","5852","6137"
"13.05.2023 09:00 - 13.05.2023 09:15","5872","6246"
"13.05.2023 09:15 - 13.05.2023 09:30","5864","6322"
"13.05.2023 09:30 - 13.05.2023 09:45","5844","6377"
"13.05.2023 09:45 - 13.05.2023 10:00","5820","6402"
"13.05.2023 10:00 - 13.05.2023 10:15","5796","6445"
"13.05.2023 10:15 - 13.05.2023 10:30","5772","6472"
"13.05.2023 10:30 - 13.05.2023 10:45","5772","6460"
"13.05.2023 10:45 - 13.05.2023 11:00","5752","6481"
"13.05.2023 11:00 - 13.05.2023 11:15","5736","6498"
"13.05.2023 11:15 - 13.05.2023 11:30","5732","6508"
"13.05.2023 11:30 - 13.05.2023 11:45","5720","6508"
"13.05.2023 11:45 - 13.05.2023 12:00","5680","6465"
"13.05.2023 12:00 - 13.05.2023 12:15","5624","6380"
"13.05.2023 12:15 - 13.05.2023 12:30","5520","6303"
"13.05.2023 12:30 - 13.05.2023 12:45","5440","6245"
"13.05.2023 12:45 - 13.05.2023 13:00","5352","6183"
"13.05.2023 13:00 - 13.05.2023 13:15","5292","6172"
"13.05.2023 13:15 - 13.05.2023 13:30","5236","6126"
"13.05.2023 13:30 - 13.05.2023 13:45","5156","6052"
"13.05.2023 13:45 - 13.05.2023 14:00","5092","5953"
"13.05.2023 14:00 - 13.05.2023 14:15","5068","5960"
"13.05.2023 14:15 - 13.05.2023 14:30","5048","5948"
"13.05.2023 14:30 - 13.05.2023 14:45","5036","5942"
"13.05.2023 14:45 - 13.05.2023 15:00","5032","5967"
"13.05.2023 15:00 - 13.05.2023 15:15","5052","5966"
"13.05.2023 15:15 - 13.05.2023 15:30","5048","5916"
"13.05.2023 15:30 - 13.05.2023 15:45","5080","5962"
"13.05.2023 15:45 - 13.05.2023 16:00","5116","5968"
"13.05.2023 16:00 - 13.05.2023 16:15","5172","5931"
"13.05.2023 16:15 - 13.05.2023 16:30","5200","5855"
"13.05.2023 16:30 - 13.05.2023 16:45","5280","5862"
"13.05.2023 16:45 - 13.05.2023 17:00","5376","5888"
"13.05.2023 17:00 - 13.05.2023 17:15","5440","5956"
"13.05.2023 17:15 - 13.05.2023 17:30","5512","5984"
"13.05.2023 17:30 - 13.05.2023 17:45","5592","6000"
"13.05.2023 17:45 - 13.05.2023 18:00","5680","6031"
"13.05.2023 18:00 - 13.05.2023 18:15","5736","6014"
"13.05.2023 18:15 - 13.05.2023 18:30","5768","5953"
"13.05.2023 18:30 - 13.05.2023 18:45","5804","5943"
"13.05.2023 18:45 - 13.05.2023 19:00","5856","5952"
"13.05.2023 19:00 - 13.05.2023 19:15","5892","5959"
"13.05.2023 19:15 - 13.05.2023 19:30","5896","5940"
"13.05.2023 19:30 - 13.05.2023 19:45","5904","5974"
"13.05.2023 19:45 - 13.05.2023 20:00","5924","5963"
"13.05.2023 20:00 - 13.05.2023 20:15","5932","5986"
"13.05.2023 20:15 - 13.05.2023 20:30","5916","5950"
"13.05.2023 20:30 - 13.05.2023 20:45","5892","5937"
"13.05.2023 20:45 - 13.05.2023 21:00","5820","5878"
"13.05.2023 21:00 - 13.05.2023 21:15","5752","5806"
"13.05.2023 21:15 - 13.05.2023 21:30","5660","5733"
"13.05.2023 21:30 - 13.05.2023 21:45","5576","5636"
"13.05.2023 21:45 - 13.05.2023 22:00","5508","5556"
"13.05.2023 22:00 - 13.05.2023 22:15","5644","5688"
"13.05.2023 22:15 - 13.05.2023 22:30","5568","5651"
"13.05.2023 22:30 - 13.05.2023 22:45","5436","5523"
"13.05.2023 22:45 - 13.05.2023 23:00","5328","5412"
"13.05.2023 23:00 - 13.05.2023 23:15","5272","5342"
"13.05.2023 23:15 - 13.05.2023 23:30","5144","5218"
"13.05.2023 23:30 - 13.05.2023 23:45","5028","5102"
"13.05.2023 23:45 - 14.05.2023 00:00","4944","5018"
"14.05.2023 00:00 - 14.05.2023 00:15","4992","5043"
"14.05.2023 00:15 - 14.05.2023 00:30","4900","4924"
"14.05.2023 00:30 - 14.05.2023 00:45","4804","4810"
"14.05.2023 00:45 - 14.05.2023 01:00","4712","4742"
"14.05.2023 01:00 - 14.05.2023 01:15","4676","4680"
"14.05.2023 01:15 - 14.05.2023 01:30","4596","4620"
"14.05.2023 01:30 - 14.05.2023 01:45","4536","4581"
"14.05.2023 01:45 - 14.05.2023 02:00","4480","4530"
"14.05.2023 02:00 - 14.05.2023 02:15","4564","4616"
"14.05.2023 02:15 - 14.05.2023 02:30","4508","4567"
"14.05.2023 02:30 - 14.05.2023 02:45","4452","4475"
"14.05.2023 02:45 - 14.05.2023 03:00","4404","4454"
"14.05.2023 03:00 - 14.05.2023 03:15","4388","4447"
"14.05.2023 03:15 - 14.05.2023 03:30","4352","4408"
"14.05.2023 03:30 - 14.05.2023 03:45","4336","4386"
"14.05.2023 03:45 - 14.05.2023 04:00","4324","4349"
"14.05.2023 04:00 - 14.05.2023 04:15","4336","4384"
"14.05.2023 04:15 - 14.05.2023 04:30","4336","4356"
"14.05.2023 04:30 - 14.05.2023 04:45","4352","4384"
"14.05.2023 04:45 - 14.05.2023 05:00","4368","4397"
"14.05.2023 05:00 - 14.05.2023 05:15","4432","4469"
"14.05.2023 05:15 - 14.05.2023 05:30","4456","4459"
"14.05.2023 05:30 - 14.05.2023 05:45","4500","4472"
"14.05.2023 05:45 - 14.05.2023 06:00","4520","4529"
"14.05.2023 06:00 - 14.05.2023 06:15","4580","4636"
"14.05.2023 06:15 - 14.05.2023 06:30","4620","4670"
"14.05.2023 06:30 - 14.05.2023 06:45","4664","4683"
"14.05.2023 06:45 - 14.05.2023 07:00","4696","4744"
"14.05.2023 07:00 - 14.05.2023 07:15","4776","4852"
"14.05.2023 07:15 - 14.05.2023 07:30","4828","4904"
"14.05.2023 07:30 - 14.05.2023 07:45","4868","4992"
"14.05.2023 07:45 - 14.05.2023 08:00","4904","5074"
"14.05.2023 08:00 - 14.05.2023 08:15","4968","5212"
"14.05.2023 08:15 - 14.05.2023 08:30","4992","5282"
"14.05.2023 08:30 - 14.05.2023 08:45","5032","5382"
"14.05.2023 08:45 - 14.05.2023 09:00","5048","5474"
"14.05.2023 09:00 - 14.05.2023 09:15","5104","5638"
"14.05.2023 09:15 - 14.05.2023 09:30","5108","5705"
"14.05.2023 09:30 - 14.05.2023 09:45","5108","5781"
"14.05.2023 09:45 - 14.05.2023 10:00","5112","5863"
"14.05.2023 10:00 - 14.05.2023 10:15","5136","5984"
"14.05.2023 10:15 - 14.05.2023 10:30","5132","6024"
"14.05.2023 10:30 - 14.05.2023 10:45","5128","6075"
"14.05.2023 10:45 - 14.05.2023 11:00","5148","6120"
"14.05.2023 11:00 - 14.05.2023 11:15","5208","6154"
"14.05.2023 11:15 - 14.05.2023 11:30","5224","6212"
"14.05.2023 11:30 - 14.05.2023 11:45","5200","6262"
"14.05.2023 11:45 - 14.05.2023 12:00","5140","6266"
"14.05.2023 12:00 - 14.05.2023 12:15","5108","6230"
"14.05.2023 12:15 - 14.05.2023 12:30","5020","6122"
"14.05.2023 12:30 - 14.05.2023 12:45","4952","6086"
"14.05.2023 12:45 - 14.05.2023 13:00","4876","6054"
"14.05.2023 13:00 - 14.05.2023 13:15","4876","6051"
"14.05.2023 13:15 - 14.05.2023 13:30","4812","5980"
"14.05.2023 13:30 - 14.05.2023 13:45","4760","5922"
"14.05.2023 13:45 - 14.05.2023 14:00","4700","5939"
"14.05.2023 14:00 - 14.05.2023 14:15","4644","5893"
"14.05.2023 14:15 - 14.05.2023 14:30","4616","5903"
"14.05.2023 14:30 - 14.05.2023 14:45","4576","5848"
"14.05.2023 14:45 - 14.05.2023 15:00","4556","5804"
"14.05.2023 15:00 - 14.05.2023 15:15","4564","5808"
"14.05.2023 15:15 - 14.05.2023 15:30","4560","5780"
"14.05.2023 15:30 - 14.05.2023 15:45","4588","5752"
"14.05.2023 15:45 - 14.05.2023 16:00","4632","5760"
"14.05.2023 16:00 - 14.05.2023 16:15","4672","5805"
"14.05.2023 16:15 - 14.05.2023 16:30","4736","5780"
"14.05.2023 16:30 - 14.05.2023 16:45","4808","5760"
"14.05.2023 16:45 - 14.05.2023 17:00","4900","5758"
"14.05.2023 17:00 - 14.05.2023 17:15","4892","5786"
"14.05.2023 17:15 - 14.05.2023 17:30","5024","5776"
"14.05.2023 17:30 - 14.05.2023 17:45","5136","5772"
"14.05.2023 17:45 - 14.05.2023 18:00","5248","5811"
"14.05.2023 18:00 - 14.05.2023 18:15","5336","5894"
"14.05.2023 18:15 - 14.05.2023 18:30","5432","5898"
"14.05.2023 18:30 - 14.05.2023 18:45","5524","5902"
"14.05.2023 18:45 - 14.05.2023 19:00","5616","5937"
"14.05.2023 19:00 - 14.05.2023 19:15","5692","5971"
