"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"03.01.2023 05:00 - 03.01.2023 05:15","5272","5686"
"03.01.2023 05:15 - 03.01.2023 05:30","5412","5835"
"03.01.2023 05:30 - 03.01.2023 05:45","5568","6010"
"03.01.2023 05:45 - 03.01.2023 06:00","5752","6156"
"03.01.2023 06:00 - 03.01.2023 06:15","5956","6414"
"03.01.2023 06:15 - 03.01.2023 06:30","6160","6628"
"03.01.2023 06:30 - 03.01.2023 06:45","6328","6787"
"03.01.2023 06:45 - 03.01.2023 07:00","6484","6935"
"03.01.2023 07:00 - 03.01.2023 07:15","6700","7210"
"03.01.2023 07:15 - 03.01.2023 07:30","6844","7388"
"03.01.2023 07:30 - 03.01.2023 07:45","6952","7540"
"03.01.2023 07:45 - 03.01.2023 08:00","7032","7643"
"03.01.2023 08:00 - 03.01.2023 08:15","7104","7754"
"03.01.2023 08:15 - 03.01.2023 08:30","7164","7852"
"03.01.2023 08:30 - 03.01.2023 08:45","7220","7944"
"03.01.2023 08:45 - 03.01.2023 09:00","7256","8000"
"03.01.2023 09:00 - 03.01.2023 09:15","7260","8051"
"03.01.2023 09:15 - 03.01.2023 09:30","7296","8097"
"03.01.2023 09:30 - 03.01.2023 09:45","7324","8145"
"03.01.2023 09:45 - 03.01.2023 10:00","7336","8184"
"03.01.2023 10:00 - 03.01.2023 10:15","7332","8220"
"03.01.2023 10:15 - 03.01.2023 10:30","7344","8254"
"03.01.2023 10:30 - 03.01.2023 10:45","7364","8238"
"03.01.2023 10:45 - 03.01.2023 11:00","7368","8312"
"03.01.2023 11:00 - 03.01.2023 11:15","7376","8368"
"03.01.2023 11:15 - 03.01.2023 11:30","7408","8446"
"03.01.2023 11:30 - 03.01.2023 11:45","7412","8460"
"03.01.2023 11:45 - 03.01.2023 12:00","7380","8416"
"03.01.2023 12:00 - 03.01.2023 12:15","7328","8458"
"03.01.2023 12:15 - 03.01.2023 12:30","7240","8367"
"03.01.2023 12:30 - 03.01.2023 12:45","7184","8334"
"03.01.2023 12:45 - 03.01.2023 13:00","7152","8255"
"03.01.2023 13:00 - 03.01.2023 13:15","7180","8288"
"03.01.2023 13:15 - 03.01.2023 13:30","7140","8230"
"03.01.2023 13:30 - 03.01.2023 13:45","7092","8181"
"03.01.2023 13:45 - 03.01.2023 14:00","7052","8108"
"03.01.2023 14:00 - 03.01.2023 14:15","7028","8092"
"03.01.2023 14:15 - 03.01.2023 14:30","7008","8084"
"03.01.2023 14:30 - 03.01.2023 14:45","7004","8048"
"03.01.2023 14:45 - 03.01.2023 15:00","6992","8018"
"03.01.2023 15:00 - 03.01.2023 15:15","7008","8077"
"03.01.2023 15:15 - 03.01.2023 15:30","7024","8062"
"03.01.2023 15:30 - 03.01.2023 15:45","7048","8094"
"03.01.2023 15:45 - 03.01.2023 16:00","7088","8105"
"03.01.2023 16:00 - 03.01.2023 16:15","7152","8099"
"03.01.2023 16:15 - 03.01.2023 16:30","7212","8133"
"03.01.2023 16:30 - 03.01.2023 16:45","7296","8214"
"03.01.2023 16:45 - 03.01.2023 17:00","7360","8272"
"03.01.2023 17:00 - 03.01.2023 17:15","7392","8328"
"03.01.2023 17:15 - 03.01.2023 17:30","7432","8323"
"03.01.2023 17:30 - 03.01.2023 17:45","7460","8291"
"03.01.2023 17:45 - 03.01.2023 18:00","7456","8273"
"03.01.2023 18:00 - 03.01.2023 18:15","7432","8249"
"03.01.2023 18:15 - 03.01.2023 18:30","7384","8173"
"03.01.2023 18:30 - 03.01.2023 18:45","7348","8093"
"03.01.2023 18:45 - 03.01.2023 19:00","7288","8028"
"03.01.2023 19:00 - 03.01.2023 19:15","7200","7923"
