"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"21.09.2022 00:30 - 21.09.2022 00:45","144","151","n/e","n/e","5480","6292"
"21.09.2022 00:45 - 21.09.2022 01:00","125","131","n/e","n/e","5448","6206"
"21.09.2022 01:00 - 21.09.2022 01:15","96","70","n/e","n/e","5425","6129"
"21.09.2022 01:15 - 21.09.2022 01:30","88","71","n/e","n/e","5386","6062"
"21.09.2022 01:30 - 21.09.2022 01:45","89","75","n/e","n/e","5339","5992"
"21.09.2022 01:45 - 21.09.2022 02:00","96","82","n/e","n/e","5286","5918"
"21.09.2022 02:00 - 21.09.2022 02:15","120","106","n/e","n/e","5241","5793"
"21.09.2022 02:15 - 21.09.2022 02:30","120","101","n/e","n/e","5171","5705"
"21.09.2022 02:30 - 21.09.2022 02:45","108","92","n/e","n/e","5094","5617"
"21.09.2022 02:45 - 21.09.2022 03:00","86","80","n/e","n/e","5011","5526"
"21.09.2022 03:00 - 21.09.2022 03:15","58","9","n/e","n/e","4927","5600"
"21.09.2022 03:15 - 21.09.2022 03:30","41","7","n/e","n/e","4839","5506"
"21.09.2022 03:30 - 21.09.2022 03:45","33","6","n/e","n/e","4753","5419"
"21.09.2022 03:45 - 21.09.2022 04:00","31","6","n/e","n/e","4670","5336"
"21.09.2022 04:00 - 21.09.2022 04:15","34","0","n/e","n/e","4578","5097"
"21.09.2022 04:15 - 21.09.2022 04:30","35","0","n/e","n/e","4511","5038"
"21.09.2022 04:30 - 21.09.2022 04:45","33","0","n/e","n/e","4455","4993"
"21.09.2022 04:45 - 21.09.2022 05:00","28","0","n/e","n/e","4409","4956"
"21.09.2022 05:00 - 21.09.2022 05:15","22","0","n/e","n/e","4358","4978"
"21.09.2022 05:15 - 21.09.2022 05:30","16","0","n/e","n/e","4330","4935"
"21.09.2022 05:30 - 21.09.2022 05:45","11","0","n/e","n/e","4310","4905"
"21.09.2022 05:45 - 21.09.2022 06:00","8","0","n/e","n/e","4296","4883"
"21.09.2022 06:00 - 21.09.2022 06:15","5","0","n/e","n/e","4284","4809"
"21.09.2022 06:15 - 21.09.2022 06:30","5","0","n/e","n/e","4278","4788"
"21.09.2022 06:30 - 21.09.2022 06:45","7","0","n/e","n/e","4274","4772"
"21.09.2022 06:45 - 21.09.2022 07:00","9","0","n/e","n/e","4264","4753"
"21.09.2022 07:00 - 21.09.2022 07:15","14","0","n/e","n/e","4289","4933"
"21.09.2022 07:15 - 21.09.2022 07:30","17","0","n/e","n/e","4241","4887"
"21.09.2022 07:30 - 21.09.2022 07:45","22","3","n/e","n/e","4165","4831"
"21.09.2022 07:45 - 21.09.2022 08:00","29","9","n/e","n/e","4066","4757"
"21.09.2022 08:00 - 21.09.2022 08:15","456","348","n/e","n/e","3968","4759"
"21.09.2022 08:15 - 21.09.2022 08:30","798","725","n/e","n/e","3846","4667"
"21.09.2022 08:30 - 21.09.2022 08:45","1273","1193","n/e","n/e","3725","4558"
"21.09.2022 08:45 - 21.09.2022 09:00","1854","1731","n/e","n/e","3601","4429"
"21.09.2022 09:00 - 21.09.2022 09:15","3149","2973","n/e","n/e","3498","4430"
"21.09.2022 09:15 - 21.09.2022 09:30","3997","3677","n/e","n/e","3359","4291"
"21.09.2022 09:30 - 21.09.2022 09:45","4830","4373","n/e","n/e","3211","4154"
"21.09.2022 09:45 - 21.09.2022 10:00","5612","5043","n/e","n/e","3058","4013"
"21.09.2022 10:00 - 21.09.2022 10:15","6837","6003","n/e","n/e","2893","3975"
"21.09.2022 10:15 - 21.09.2022 10:30","7494","6654","n/e","n/e","2760","3825"
"21.09.2022 10:30 - 21.09.2022 10:45","8014","7233","n/e","n/e","2646","3674"
"21.09.2022 10:45 - 21.09.2022 11:00","8421","7741","n/e","n/e","2549","3523"
"21.09.2022 11:00 - 21.09.2022 11:15","8901","8321","n/e","n/e","2456","3091"
"21.09.2022 11:15 - 21.09.2022 11:30","9203","8697","n/e","n/e","2381","3003"
"21.09.2022 11:30 - 21.09.2022 11:45","9485","9004","n/e","n/e","2310","2925"
"21.09.2022 11:45 - 21.09.2022 12:00","9746","9249","n/e","n/e","2244","2852"
"21.09.2022 12:00 - 21.09.2022 12:15","10074","8659","n/e","n/e","2175","2706"
"21.09.2022 12:15 - 21.09.2022 12:30","10260","8893","n/e","n/e","2119","2631"
"21.09.2022 12:30 - 21.09.2022 12:45","10395","9084","n/e","n/e","2069","2564"
"21.09.2022 12:45 - 21.09.2022 13:00","10486","9234","n/e","n/e","2027","2507"
"21.09.2022 13:00 - 21.09.2022 13:15","10590","8965","n/e","n/e","1973","2527"
"21.09.2022 13:15 - 21.09.2022 13:30","10618","9074","n/e","n/e","1951","2487"
"21.09.2022 13:30 - 21.09.2022 13:45","10629","9153","n/e","n/e","1941","2459"
"21.09.2022 13:45 - 21.09.2022 14:00","10624","9203","n/e","n/e","1941","2441"
"21.09.2022 14:00 - 21.09.2022 14:15","10630","8918","n/e","n/e","1940","2518"
"21.09.2022 14:15 - 21.09.2022 14:30","10596","8950","n/e","n/e","1952","2491"
"21.09.2022 14:30 - 21.09.2022 14:45","10549","8956","n/e","n/e","1967","2469"
"21.09.2022 14:45 - 21.09.2022 15:00","10489","8938","n/e","n/e","1987","2456"
"21.09.2022 15:00 - 21.09.2022 15:15","10445","9077","n/e","n/e","1996","2673"
"21.09.2022 15:15 - 21.09.2022 15:30","10360","8999","n/e","n/e","2031","2657"
"21.09.2022 15:30 - 21.09.2022 15:45","10260","8890","n/e","n/e","2077","2651"
"21.09.2022 15:45 - 21.09.2022 16:00","10140","8762","n/e","n/e","2132","2659"
"21.09.2022 16:00 - 21.09.2022 16:15","10079","8597","n/e","n/e","2186","2839"
"21.09.2022 16:15 - 21.09.2022 16:30","9890","8589","n/e","n/e","2255","2854"
"21.09.2022 16:30 - 21.09.2022 16:45","9656","8551","n/e","n/e","2330","2889"
"21.09.2022 16:45 - 21.09.2022 17:00","9370","8447","n/e","n/e","2409","2945"
"21.09.2022 17:00 - 21.09.2022 17:15","9195","8708","n/e","n/e","2487","2985"
"21.09.2022 17:15 - 21.09.2022 17:30","8778","8275","n/e","n/e","2579","3083"
"21.09.2022 17:30 - 21.09.2022 17:45","8289","7714","n/e","n/e","2677","3200"
"21.09.2022 17:45 - 21.09.2022 18:00","7715","7041","n/e","n/e","2785","3335"
"21.09.2022 18:00 - 21.09.2022 18:15","7397","6883","n/e","n/e","2892","2863"
"21.09.2022 18:15 - 21.09.2022 18:30","6579","5918","n/e","n/e","3019","3012"
"21.09.2022 18:30 - 21.09.2022 18:45","5649","4898","n/e","n/e","3157","3154"
"21.09.2022 18:45 - 21.09.2022 19:00","4655","3878","n/e","n/e","3300","3291"
"21.09.2022 19:00 - 21.09.2022 19:15","3880","3060","n/e","n/e","3473","3022"
"21.09.2022 19:15 - 21.09.2022 19:30","2891","2233","n/e","n/e","3608","3192"
"21.09.2022 19:30 - 21.09.2022 19:45","2028","1548","n/e","n/e","3729","3358"
"21.09.2022 19:45 - 21.09.2022 20:00","1313","1002","n/e","n/e","3838","3518"
"21.09.2022 20:00 - 21.09.2022 20:15","608","470","n/e","n/e","3953","3452"
"21.09.2022 20:15 - 21.09.2022 20:30","347","293","n/e","n/e","4050","3602"
"21.09.2022 20:30 - 21.09.2022 20:45","244","208","n/e","n/e","4145","3747"
"21.09.2022 20:45 - 21.09.2022 21:00","211","181","n/e","n/e","4236","3886"
"21.09.2022 21:00 - 21.09.2022 21:15","188","173","n/e","n/e","4343","4045"
"21.09.2022 21:15 - 21.09.2022 21:30","168","148","n/e","n/e","4424","4173"
"21.09.2022 21:30 - 21.09.2022 21:45","149","129","n/e","n/e","4495","4292"
"21.09.2022 21:45 - 21.09.2022 22:00","132","114","n/e","n/e","4552","4396"
"21.09.2022 22:00 - 21.09.2022 22:15","113","98","n/e","n/e","4641","4479"
"21.09.2022 22:15 - 21.09.2022 22:30","100","85","n/e","n/e","4655","4535"
"21.09.2022 22:30 - 21.09.2022 22:45","91","72","n/e","n/e","4642","4565"
"21.09.2022 22:45 - 21.09.2022 23:00","84","59","n/e","n/e","4603","4567"
"21.09.2022 23:00 - 21.09.2022 23:15","85","98","n/e","n/e","4573","4984"
"21.09.2022 23:15 - 21.09.2022 23:30","74","87","n/e","n/e","4500","4919"
"21.09.2022 23:30 - 21.09.2022 23:45","59","74","n/e","n/e","4417","4830"
"21.09.2022 23:45 - 22.09.2022 00:00","42","62","n/e","n/e","4325","4721"
"22.09.2022 00:00 - 22.09.2022 00:15","47","72","n/e","n/e","4328","4520"
"22.09.2022 00:15 - 22.09.2022 00:30","29","67","n/e","n/e","4205","4401"
"22.09.2022 00:30 - 22.09.2022 00:45","19","63","n/e","n/e","4086","4273"
"22.09.2022 00:45 - 22.09.2022 01:00","16","59","n/e","n/e","3971","4139"
"22.09.2022 01:00 - 22.09.2022 01:15","16","40","n/e","n/e","3864","4029"
"22.09.2022 01:15 - 22.09.2022 01:30","19","37","n/e","n/e","3752","3896"
"22.09.2022 01:30 - 22.09.2022 01:45","20","35","n/e","n/e","3638","3759"
"22.09.2022 01:45 - 22.09.2022 02:00","20","33","n/e","n/e","3525","3620"
"22.09.2022 02:00 - 22.09.2022 02:15","19","48","n/e","n/e","3414","3845"
"22.09.2022 02:15 - 22.09.2022 02:30","19","49","n/e","n/e","3303","3699"
"22.09.2022 02:30 - 22.09.2022 02:45","18","50","n/e","n/e","3194","3562"
"22.09.2022 02:45 - 22.09.2022 03:00","18","51","n/e","n/e","3089","3432"
"22.09.2022 03:00 - 22.09.2022 03:15","18","27","n/e","n/e","2985","3452"
"22.09.2022 03:15 - 22.09.2022 03:30","18","26","n/e","n/e","2887","3331"
"22.09.2022 03:30 - 22.09.2022 03:45","17","25","n/e","n/e","2792","3214"
"22.09.2022 03:45 - 22.09.2022 04:00","17","24","n/e","n/e","2703","3103"
"22.09.2022 04:00 - 22.09.2022 04:15","16","18","n/e","n/e","2612","3131"
"22.09.2022 04:15 - 22.09.2022 04:30","16","18","n/e","n/e","2533","3030"
"22.09.2022 04:30 - 22.09.2022 04:45","16","17","n/e","n/e","2460","2937"
"22.09.2022 04:45 - 22.09.2022 05:00","16","17","n/e","n/e","2391","2851"
"22.09.2022 05:00 - 22.09.2022 05:15","16","17","n/e","n/e","2324","2952"
"22.09.2022 05:15 - 22.09.2022 05:30","17","18","n/e","n/e","2262","2853"
"22.09.2022 05:30 - 22.09.2022 05:45","17","19","n/e","n/e","2203","2761"
"22.09.2022 05:45 - 22.09.2022 06:00","17","20","n/e","n/e","2148","2673"
"22.09.2022 06:00 - 22.09.2022 06:15","17","23","n/e","n/e","2086","2412"
"22.09.2022 06:15 - 22.09.2022 06:30","17","20","n/e","n/e","2048","2348"
"22.09.2022 06:30 - 22.09.2022 06:45","17","18","n/e","n/e","2020","2288"
"22.09.2022 06:45 - 22.09.2022 07:00","17","16","n/e","n/e","1992","2227"
"22.09.2022 07:00 - 22.09.2022 07:15","16","11","n/e","n/e","2006","2023"
"22.09.2022 07:15 - 22.09.2022 07:30","17","15","n/e","n/e","1941","1962"
"22.09.2022 07:30 - 22.09.2022 07:45","20","22","n/e","n/e","1843","1898"
"22.09.2022 07:45 - 22.09.2022 08:00","25","31","n/e","n/e","1722","1827"
"22.09.2022 08:00 - 22.09.2022 08:15","462","455","n/e","n/e","1595","1684"
"22.09.2022 08:15 - 22.09.2022 08:30","805","837","n/e","n/e","1466","1594"
"22.09.2022 08:30 - 22.09.2022 08:45","1280","1326","n/e","n/e","1351","1499"
"22.09.2022 08:45 - 22.09.2022 09:00","1880","1925","n/e","n/e","1249","1399"
"22.09.2022 09:00 - 22.09.2022 09:15","3223","3231","n/e","n/e","1162","1277"
"22.09.2022 09:15 - 22.09.2022 09:30","4117","4140","n/e","n/e","1070","1181"
"22.09.2022 09:30 - 22.09.2022 09:45","5012","5067","n/e","n/e","978","1085"
"22.09.2022 09:45 - 22.09.2022 10:00","5869","5970","n/e","n/e","890","992"
"22.09.2022 10:00 - 22.09.2022 10:15","7282","7301","n/e","n/e","794","927"
"22.09.2022 10:15 - 22.09.2022 10:30","8069","8072","n/e","n/e","731","854"
"22.09.2022 10:30 - 22.09.2022 10:45","8719","8736","n/e","n/e","684","791"
"22.09.2022 10:45 - 22.09.2022 11:00","9246","9302","n/e","n/e","652","738"
"22.09.2022 11:00 - 22.09.2022 11:15","9904","10057","n/e","n/e","623","661"
"22.09.2022 11:15 - 22.09.2022 11:30","10275","10470","n/e","n/e","606","637"
"22.09.2022 11:30 - 22.09.2022 11:45","10589","10812","n/e","n/e","592","622"
"22.09.2022 11:45 - 22.09.2022 12:00","10850","11087","n/e","n/e","581","613"
"22.09.2022 12:00 - 22.09.2022 12:15","11169","11725","n/e","n/e","561","572"
"22.09.2022 12:15 - 22.09.2022 12:30","11332","11867","n/e","n/e","560","566"
"22.09.2022 12:30 - 22.09.2022 12:45","11448","11971","n/e","n/e","565","564"
"22.09.2022 12:45 - 22.09.2022 13:00","11522","12042","n/e","n/e","578","569"
"22.09.2022 13:00 - 22.09.2022 13:15","11608","12307","n/e","n/e","585","564"
"22.09.2022 13:15 - 22.09.2022 13:30","11627","12338","n/e","n/e","613","584"
"22.09.2022 13:30 - 22.09.2022 13:45","11630","12356","n/e","n/e","650","615"
"22.09.2022 13:45 - 22.09.2022 14:00","11620","12362","n/e","n/e","692","654"
"22.09.2022 14:00 - 22.09.2022 14:15","11618","12668","n/e","n/e","742","755"
"22.09.2022 14:15 - 22.09.2022 14:30","11589","12642","n/e","n/e","791","805"
"22.09.2022 14:30 - 22.09.2022 14:45","11554","12591","n/e","n/e","840","853"
"22.09.2022 14:45 - 22.09.2022 15:00","11506","12513","n/e","n/e","891","901"
"22.09.2022 15:00 - 22.09.2022 15:15","11494","12589","n/e","n/e","944","857"
"22.09.2022 15:15 - 22.09.2022 15:30","11402","12462","n/e","n/e","1002","923"
"22.09.2022 15:30 - 22.09.2022 15:45","11279","12303","n/e","n/e","1065","988"
"22.09.2022 15:45 - 22.09.2022 16:00","11129","12117","n/e","n/e","1131","1055"
"22.09.2022 16:00 - 22.09.2022 16:15","11009","11682","n/e","n/e","1214","1130"
"22.09.2022 16:15 - 22.09.2022 16:30","10813","11512","n/e","n/e","1273","1196"
"22.09.2022 16:30 - 22.09.2022 16:45","10598","11320","n/e","n/e","1324","1262"
"22.09.2022 16:45 - 22.09.2022 17:00","10345","11087","n/e","n/e","1369","1329"
"22.09.2022 17:00 - 22.09.2022 17:15","10241","10748","n/e","n/e","1412","1469"
"22.09.2022 17:15 - 22.09.2022 17:30","9842","10407","n/e","n/e","1454","1531"
"22.09.2022 17:30 - 22.09.2022 17:45","9343","9969","n/e","n/e","1499","1596"
"22.09.2022 17:45 - 22.09.2022 18:00","8726","9405","n/e","n/e","1548","1666"
"22.09.2022 18:00 - 22.09.2022 18:15","8441","9607","n/e","n/e","1597","1682"
"22.09.2022 18:15 - 22.09.2022 18:30","7483","8446","n/e","n/e","1657","1744"
"22.09.2022 18:30 - 22.09.2022 18:45","6368","7149","n/e","n/e","1722","1803"
"22.09.2022 18:45 - 22.09.2022 19:00","5172","5805","n/e","n/e","1789","1862"
"22.09.2022 19:00 - 22.09.2022 19:15","4191","4731","n/e","n/e","1876","1739"
"22.09.2022 19:15 - 22.09.2022 19:30","3072","3594","n/e","n/e","1931","1815"
"22.09.2022 19:30 - 22.09.2022 19:45","2154","2605","n/e","n/e","1973","1891"
"22.09.2022 19:45 - 22.09.2022 20:00","1442","1780","n/e","n/e","2007","1967"
"22.09.2022 20:00 - 22.09.2022 20:15","790","923","n/e","n/e","2033","1893"
"22.09.2022 20:15 - 22.09.2022 20:30","537","630","n/e","n/e","2062","1966"
"22.09.2022 20:30 - 22.09.2022 20:45","416","462","n/e","n/e","2097","2042"
"22.09.2022 20:45 - 22.09.2022 21:00","360","418","n/e","n/e","2138","2123"
"22.09.2022 21:00 - 22.09.2022 21:15","312","393","n/e","n/e","2176","2253"
"22.09.2022 21:15 - 22.09.2022 21:30","293","366","n/e","n/e","2230","2309"
"22.09.2022 21:30 - 22.09.2022 21:45","281","348","n/e","n/e","2290","2358"
"22.09.2022 21:45 - 22.09.2022 22:00","273","337","n/e","n/e","2349","2398"
"22.09.2022 22:00 - 22.09.2022 22:15","267","308","n/e","n/e","2435","2476"
"22.09.2022 22:15 - 22.09.2022 22:30","265","309","n/e","n/e","2473","2503"
"22.09.2022 22:30 - 22.09.2022 22:45","264","314","n/e","n/e","2490","2522"
"22.09.2022 22:45 - 22.09.2022 23:00","262","318","n/e","n/e","2491","2532"
"22.09.2022 23:00 - 22.09.2022 23:15","264","316","n/e","n/e","2486","2449"
"22.09.2022 23:15 - 22.09.2022 23:30","260","306","n/e","n/e","2474","2449"
"22.09.2022 23:30 - 22.09.2022 23:45","254","293","n/e","n/e","2463","2442"
"22.09.2022 23:45 - 23.09.2022 00:00","246","277","n/e","n/e","2456","2428"
"23.09.2022 00:00 - 23.09.2022 00:15","252","288","n/e","n/e","2709","2252"
"23.09.2022 00:15 - 23.09.2022 00:30","227","270","n/e","n/e","2709","2232"
"23.09.2022 00:30 - 23.09.2022 00:45","206","252","n/e","n/e","2712","2207"
"23.09.2022 00:45 - 23.09.2022 01:00","190","236","n/e","n/e","2716","2181"
"23.09.2022 01:00 - 23.09.2022 01:15","175","146","n/e","n/e","2727","2268"
"23.09.2022 01:15 - 23.09.2022 01:30","166","136","n/e","n/e","2725","2262"
"23.09.2022 01:30 - 23.09.2022 01:45","157","128","n/e","n/e","2718","2262"
"23.09.2022 01:45 - 23.09.2022 02:00","151","123","n/e","n/e","2705","2265"
"23.09.2022 02:00 - 23.09.2022 02:15","141","93","n/e","n/e","2693","2441"
"23.09.2022 02:15 - 23.09.2022 02:30","142","102","n/e","n/e","2674","2444"
"23.09.2022 02:30 - 23.09.2022 02:45","148","115","n/e","n/e","2655","2443"
"23.09.2022 02:45 - 23.09.2022 03:00","154","127","n/e","n/e","2636","2440"
"23.09.2022 03:00 - 23.09.2022 03:15","174","24","n/e","n/e","2611","2415"
"23.09.2022 03:15 - 23.09.2022 03:30","169","22","n/e","n/e","2598","2413"
"23.09.2022 03:30 - 23.09.2022 03:45","152","21","n/e","n/e","2591","2408"
"23.09.2022 03:45 - 23.09.2022 04:00","128","19","n/e","n/e","2588","2403"
"23.09.2022 04:00 - 23.09.2022 04:15","95","10","n/e","n/e","2583","2461"
"23.09.2022 04:15 - 23.09.2022 04:30","77","9","n/e","n/e","2587","2464"
"23.09.2022 04:30 - 23.09.2022 04:45","68","8","n/e","n/e","2594","2466"
"23.09.2022 04:45 - 23.09.2022 05:00","65","8","n/e","n/e","2602","2468"
"23.09.2022 05:00 - 23.09.2022 05:15","68","5","n/e","n/e","2613","2533"
"23.09.2022 05:15 - 23.09.2022 05:30","70","8","n/e","n/e","2620","2529"
"23.09.2022 05:30 - 23.09.2022 05:45","69","10","n/e","n/e","2625","2521"
"23.09.2022 05:45 - 23.09.2022 06:00","66","12","n/e","n/e","2625","2514"
"23.09.2022 06:00 - 23.09.2022 06:15","63","12","n/e","n/e","2635","2662"
"23.09.2022 06:15 - 23.09.2022 06:30","57","11","n/e","n/e","2622","2667"
"23.09.2022 06:30 - 23.09.2022 06:45","52","9","n/e","n/e","2601","2672"
"23.09.2022 06:45 - 23.09.2022 07:00","47","8","n/e","n/e","2573","2673"
"23.09.2022 07:00 - 23.09.2022 07:15","40","5","n/e","n/e","2547","2674"
"23.09.2022 07:15 - 23.09.2022 07:30","40","8","n/e","n/e","2507","2667"
"23.09.2022 07:30 - 23.09.2022 07:45","45","13","n/e","n/e","2464","2654"
"23.09.2022 07:45 - 23.09.2022 08:00","53","18","n/e","n/e","2421","2636"
"23.09.2022 08:00 - 23.09.2022 08:15","532","419","n/e","n/e","2368","2558"
"23.09.2022 08:15 - 23.09.2022 08:30","880","760","n/e","n/e","2336","2539"
"23.09.2022 08:30 - 23.09.2022 08:45","1345","1204","n/e","n/e","2313","2515"
"23.09.2022 08:45 - 23.09.2022 09:00","1919","1750","n/e","n/e","2295","2487"
"23.09.2022 09:00 - 23.09.2022 09:15","3102","2848","n/e","n/e","2287","2553"
"23.09.2022 09:15 - 23.09.2022 09:30","3984","3769","n/e","n/e","2264","2511"
"23.09.2022 09:30 - 23.09.2022 09:45","4916","4736","n/e","n/e","2233","2469"
"23.09.2022 09:45 - 23.09.2022 10:00","5848","5689","n/e","n/e","2200","2432"
"23.09.2022 10:00 - 23.09.2022 10:15","7387","7104","n/e","n/e","2144","2215"
"23.09.2022 10:15 - 23.09.2022 10:30","8240","7844","n/e","n/e","2127","2201"
"23.09.2022 10:30 - 23.09.2022 10:45","8923","8476","n/e","n/e","2129","2201"
"23.09.2022 10:45 - 23.09.2022 11:00","9451","9012","n/e","n/e","2147","2214"
"23.09.2022 11:00 - 23.09.2022 11:15","10114","10057","n/e","n/e","2157","1867"
"23.09.2022 11:15 - 23.09.2022 11:30","10444","10420","n/e","n/e","2202","1934"
"23.09.2022 11:30 - 23.09.2022 11:45","10707","10701","n/e","n/e","2258","2013"
"23.09.2022 11:45 - 23.09.2022 12:00","10915","10914","n/e","n/e","2324","2101"
"23.09.2022 12:00 - 23.09.2022 12:15","11152","11102","n/e","n/e","2386","2091"
"23.09.2022 12:15 - 23.09.2022 12:30","11282","11247","n/e","n/e","2471","2204"
"23.09.2022 12:30 - 23.09.2022 12:45","11383","11367","n/e","n/e","2564","2325"
"23.09.2022 12:45 - 23.09.2022 13:00","11451","11455","n/e","n/e","2662","2453"
"23.09.2022 13:00 - 23.09.2022 13:15","11580","11967","n/e","n/e","2779","2599"
"23.09.2022 13:15 - 23.09.2022 13:30","11550","11924","n/e","n/e","2871","2730"
"23.09.2022 13:30 - 23.09.2022 13:45","11461","11842","n/e","n/e","2953","2859"
"23.09.2022 13:45 - 23.09.2022 14:00","11330","11736","n/e","n/e","3026","2984"
"23.09.2022 14:00 - 23.09.2022 14:15","11173","11920","n/e","n/e","3103","2727"
"23.09.2022 14:15 - 23.09.2022 14:30","11019","11788","n/e","n/e","3166","2836"
"23.09.2022 14:30 - 23.09.2022 14:45","10879","11665","n/e","n/e","3226","2948"
"23.09.2022 14:45 - 23.09.2022 15:00","10750","11557","n/e","n/e","3285","3062"
"23.09.2022 15:00 - 23.09.2022 15:15","10643","11604","n/e","n/e","3346","3383"
"23.09.2022 15:15 - 23.09.2022 15:30","10511","11463","n/e","n/e","3402","3465"
"23.09.2022 15:30 - 23.09.2022 15:45","10367","11317","n/e","n/e","3457","3544"
"23.09.2022 15:45 - 23.09.2022 16:00","10208","11164","n/e","n/e","3512","3624"
"23.09.2022 16:00 - 23.09.2022 16:15","10080","11187","n/e","n/e","3566","3884"
"23.09.2022 16:15 - 23.09.2022 16:30","9888","10941","n/e","n/e","3622","3978"
"23.09.2022 16:30 - 23.09.2022 16:45","9676","10652","n/e","n/e","3680","4072"
"23.09.2022 16:45 - 23.09.2022 17:00","9435","10316","n/e","n/e","3739","4164"
"23.09.2022 17:00 - 23.09.2022 17:15","9299","10170","n/e","n/e","3798","4372"
"23.09.2022 17:15 - 23.09.2022 17:30","8956","9721","n/e","n/e","3862","4444"
"23.09.2022 17:30 - 23.09.2022 17:45","8543","9180","n/e","n/e","3929","4510"
"23.09.2022 17:45 - 23.09.2022 18:00","8040","8532","n/e","n/e","3999","4577"
"23.09.2022 18:00 - 23.09.2022 18:15","7825","8260","n/e","n/e","4071","4345"
"23.09.2022 18:15 - 23.09.2022 18:30","7024","7222","n/e","n/e","4146","4445"
"23.09.2022 18:30 - 23.09.2022 18:45","6069","6095","n/e","n/e","4222","4544"
"23.09.2022 18:45 - 23.09.2022 19:00","5023","4945","n/e","n/e","4296","4640"
"23.09.2022 19:00 - 23.09.2022 19:15","4192","4216","n/e","n/e","4386","4537"
"23.09.2022 19:15 - 23.09.2022 19:30","3148","3177","n/e","n/e","4443","4630"
"23.09.2022 19:30 - 23.09.2022 19:45","2253","2282","n/e","n/e","4486","4726"
"23.09.2022 19:45 - 23.09.2022 20:00","1525","1541","n/e","n/e","4524","4820"
"23.09.2022 20:00 - 23.09.2022 20:15","793","856","n/e","n/e","4538","5119"
"23.09.2022 20:15 - 23.09.2022 20:30","557","600","n/e","n/e","4591","5195"
"23.09.2022 20:30 - 23.09.2022 20:45","459","479","n/e","n/e","4664","5265"
"23.09.2022 20:45 - 23.09.2022 21:00","414","431","n/e","n/e","4752","5329"
"23.09.2022 21:00 - 23.09.2022 21:15","385","403","n/e","n/e","4850","5398"
"23.09.2022 21:15 - 23.09.2022 21:30","358","373","n/e","n/e","4952","5415"
"23.09.2022 21:30 - 23.09.2022 21:45","328","349","n/e","n/e","5053","5433"
"23.09.2022 21:45 - 23.09.2022 22:00","295","331","n/e","n/e","5147","5449"
"23.09.2022 22:00 - 23.09.2022 22:15","264","336","n/e","n/e","5269","6571"
"23.09.2022 22:15 - 23.09.2022 22:30","232","332","n/e","n/e","5332","6500"
"23.09.2022 22:30 - 23.09.2022 22:45","204","329","n/e","n/e","5372","6414"
"23.09.2022 22:45 - 23.09.2022 23:00","179","324","n/e","n/e","5394","6315"
"23.09.2022 23:00 - 23.09.2022 23:15","155","347","n/e","n/e","5414","6689"
"23.09.2022 23:15 - 23.09.2022 23:30","139","323","n/e","n/e","5417","6564"
"23.09.2022 23:30 - 23.09.2022 23:45","126","293","n/e","n/e","5418","6438"
"23.09.2022 23:45 - 24.09.2022 00:00","117","261","n/e","n/e","5416","6315"
"24.09.2022 00:00 - 24.09.2022 00:15","158","262","n/e","n/e","5058","6657"
"24.09.2022 00:15 - 24.09.2022 00:30","129","230","n/e","n/e","5002","6538"
"24.09.2022 00:30 - 24.09.2022 00:45","106","195","n/e","n/e","4958","6432"
"24.09.2022 00:45 - 24.09.2022 01:00","90","159","n/e","n/e","4924","6327"
"24.09.2022 01:00 - 24.09.2022 01:15","77","262","n/e","n/e","4896","6280"
"24.09.2022 01:15 - 24.09.2022 01:30","69","225","n/e","n/e","4866","6186"
"24.09.2022 01:30 - 24.09.2022 01:45","61","180","n/e","n/e","4832","6105"
"24.09.2022 01:45 - 24.09.2022 02:00","56","132","n/e","n/e","4796","6033"
"24.09.2022 02:00 - 24.09.2022 02:15","47","65","n/e","n/e","4752","6329"
"24.09.2022 02:15 - 24.09.2022 02:30","50","57","n/e","n/e","4722","6226"
"24.09.2022 02:30 - 24.09.2022 02:45","57","50","n/e","n/e","4699","6131"
"24.09.2022 02:45 - 24.09.2022 03:00","66","44","n/e","n/e","4683","6044"
"24.09.2022 03:00 - 24.09.2022 03:15","88","55","n/e","n/e","4658","5928"
"24.09.2022 03:15 - 24.09.2022 03:30","90","44","n/e","n/e","4661","5865"
"24.09.2022 03:30 - 24.09.2022 03:45","83","36","n/e","n/e","4672","5810"
"24.09.2022 03:45 - 24.09.2022 04:00","68","30","n/e","n/e","4689","5765"
"24.09.2022 04:00 - 24.09.2022 04:15","49","12","n/e","n/e","4715","5379"
"24.09.2022 04:15 - 24.09.2022 04:30","35","11","n/e","n/e","4730","5373"
"24.09.2022 04:30 - 24.09.2022 04:45","27","11","n/e","n/e","4740","5390"
"24.09.2022 04:45 - 24.09.2022 05:00","24","11","n/e","n/e","4746","5422"
"24.09.2022 05:00 - 24.09.2022 05:15","22","11","n/e","n/e","4742","5474"
"24.09.2022 05:15 - 24.09.2022 05:30","23","10","n/e","n/e","4757","5504"
