"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Spain (ES)","Generation - Solar  [MW] Current / Spain (ES)","Generation - Wind Offshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Offshore  [MW] Current / Spain (ES)","Generation - Wind Onshore  [MW] Day Ahead/ Spain (ES)","Generation - Wind Onshore  [MW] Current / Spain (ES)"
"07.01.2022 16:00 - 07.01.2022 17:00","6198","6464","n/e","n/e","9506","9218"
"07.01.2022 17:00 - 07.01.2022 18:00","2779","2942","n/e","n/e","8950","8731"
"07.01.2022 18:00 - 07.01.2022 19:00","247","283","n/e","n/e","8626","8758"
"07.01.2022 19:00 - 07.01.2022 20:00","52","71","n/e","n/e","8413","8720"
"07.01.2022 20:00 - 07.01.2022 21:00","36","56","n/e","n/e","8304","8278"
"07.01.2022 21:00 - 07.01.2022 22:00","29","31","n/e","n/e","8125","7674"
"07.01.2022 22:00 - 07.01.2022 23:00","24","32","n/e","n/e","7949","7421"
"07.01.2022 23:00 - 08.01.2022 00:00","18","14","n/e","n/e","7838","7417"
"08.01.2022 00:00 - 08.01.2022 01:00","17","13","n/e","n/e","7441","7419"
"08.01.2022 01:00 - 08.01.2022 02:00","9","11","n/e","n/e","7637","7334"
"08.01.2022 02:00 - 08.01.2022 03:00","16","7","n/e","n/e","7859","7727"
"08.01.2022 03:00 - 08.01.2022 04:00","13","13","n/e","n/e","8092","7805"
"08.01.2022 04:00 - 08.01.2022 05:00","14","10","n/e","n/e","8350","8262"
"08.01.2022 05:00 - 08.01.2022 06:00","13","6","n/e","n/e","8621","8926"
"08.01.2022 06:00 - 08.01.2022 07:00","12","2","n/e","n/e","8890","9328"
"08.01.2022 07:00 - 08.01.2022 08:00","10","1","n/e","n/e","9036","9189"
"08.01.2022 08:00 - 08.01.2022 09:00","127","101","n/e","n/e","9208","9343"
"08.01.2022 09:00 - 08.01.2022 10:00","2816","2320","n/e","n/e","9409","9127"
"08.01.2022 10:00 - 08.01.2022 11:00","5973","5304","n/e","n/e","9268","8634"
"08.01.2022 11:00 - 08.01.2022 12:00","7659","7023","n/e","n/e","9127","8582"
"08.01.2022 12:00 - 08.01.2022 13:00","8423","7400","n/e","n/e","9013","9284"
"08.01.2022 13:00 - 08.01.2022 14:00","8506","7519","n/e","n/e","9610","10096"
"08.01.2022 14:00 - 08.01.2022 15:00","8354","7224","n/e","n/e","10230","11248"
"08.01.2022 15:00 - 08.01.2022 16:00","7758","6577","n/e","n/e","10813","11973"
"08.01.2022 16:00 - 08.01.2022 17:00","5974","4477","n/e","n/e","11559","12058"
"08.01.2022 17:00 - 08.01.2022 18:00","2698","1649","n/e","n/e","12303","12285"
"08.01.2022 18:00 - 08.01.2022 19:00","223","85","n/e","n/e","13000","12897"
"08.01.2022 19:00 - 08.01.2022 20:00","43","4","n/e","n/e","13433","14053"
"08.01.2022 20:00 - 08.01.2022 21:00","28","16","n/e","n/e","13801","14348"
