"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Austria (AT)","Generation - Solar  [MW] Current / Austria (AT)","Generation - Wind Offshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Offshore  [MW] Current / Austria (AT)","Generation - Wind Onshore  [MW] Day Ahead/ Austria (AT)","Generation - Wind Onshore  [MW] Current / Austria (AT)"
"02.01.2022 14:15 - 02.01.2022 14:30","108","248","n/e","n/e","132","152"
"02.01.2022 14:30 - 02.01.2022 14:45","100","220","n/e","n/e","136","148"
"02.01.2022 14:45 - 02.01.2022 15:00","88","184","n/e","n/e","140","148"
"02.01.2022 15:00 - 02.01.2022 15:15","80","148","n/e","n/e","144","152"
"02.01.2022 15:15 - 02.01.2022 15:30","76","116","n/e","n/e","148","164"
"02.01.2022 15:30 - 02.01.2022 15:45","68","84","n/e","n/e","156","168"
"02.01.2022 15:45 - 02.01.2022 16:00","68","60","n/e","n/e","164","180"
"02.01.2022 16:00 - 02.01.2022 16:15","52","40","n/e","n/e","176","192"
"02.01.2022 16:15 - 02.01.2022 16:30","8","4","n/e","n/e","188","208"
"02.01.2022 16:30 - 02.01.2022 16:45","0","0","n/e","n/e","200","224"
"02.01.2022 16:45 - 02.01.2022 17:00","0","0","n/e","n/e","216","240"
"02.01.2022 17:00 - 02.01.2022 17:15","0","0","n/e","n/e","236","264"
"02.01.2022 17:15 - 02.01.2022 17:30","0","0","n/e","n/e","260","292"
"02.01.2022 17:30 - 02.01.2022 17:45","0","0","n/e","n/e","288","328"
"02.01.2022 17:45 - 02.01.2022 18:00","0","0","n/e","n/e","312","356"
"02.01.2022 18:00 - 02.01.2022 18:15","0","0","n/e","n/e","340","392"
"02.01.2022 18:15 - 02.01.2022 18:30","0","0","n/e","n/e","372","432"
"02.01.2022 18:30 - 02.01.2022 18:45","0","0","n/e","n/e","404","476"
"02.01.2022 18:45 - 02.01.2022 19:00","0","0","n/e","n/e","436","520"
"02.01.2022 19:00 - 02.01.2022 19:15","0","0","n/e","n/e","468","556"
"02.01.2022 19:15 - 02.01.2022 19:30","0","0","n/e","n/e","504","588"
"02.01.2022 19:30 - 02.01.2022 19:45","0","0","n/e","n/e","540","624"
"02.01.2022 19:45 - 02.01.2022 20:00","0","0","n/e","n/e","576","660"
"02.01.2022 20:00 - 02.01.2022 20:15","0","0","n/e","n/e","608","692"
"02.01.2022 20:15 - 02.01.2022 20:30","0","0","n/e","n/e","636","716"
"02.01.2022 20:30 - 02.01.2022 20:45","0","0","n/e","n/e","668","776"
"02.01.2022 20:45 - 02.01.2022 21:00","0","0","n/e","n/e","696","808"
"02.01.2022 21:00 - 02.01.2022 21:15","0","0","n/e","n/e","736","840"
"02.01.2022 21:15 - 02.01.2022 21:30","0","0","n/e","n/e","780","880"
"02.01.2022 21:30 - 02.01.2022 21:45","0","0","n/e","n/e","820","920"
"02.01.2022 21:45 - 02.01.2022 22:00","0","0","n/e","n/e","864","960"
"02.01.2022 22:00 - 02.01.2022 22:15","0","0","n/e","n/e","904","996"
"02.01.2022 22:15 - 02.01.2022 22:30","0","0","n/e","n/e","944","1028"
"02.01.2022 22:30 - 02.01.2022 22:45","0","0","n/e","n/e","980","1060"
"02.01.2022 22:45 - 02.01.2022 23:00","0","0","n/e","n/e","1016","1088"
"02.01.2022 23:00 - 02.01.2022 23:15","0","0","n/e","n/e","1044","1124"
"02.01.2022 23:15 - 02.01.2022 23:30","0","0","n/e","n/e","1060","1168"
"02.01.2022 23:30 - 02.01.2022 23:45","0","0","n/e","n/e","1076","1208"
"02.01.2022 23:45 - 03.01.2022 00:00","0","0","n/e","n/e","1096","1248"
"03.01.2022 00:00 - 03.01.2022 00:15","0","0","n/e","n/e","1460","1140"
"03.01.2022 00:15 - 03.01.2022 00:30","0","0","n/e","n/e","1480","1148"
"03.01.2022 00:30 - 03.01.2022 00:45","0","0","n/e","n/e","1496","1164"
"03.01.2022 00:45 - 03.01.2022 01:00","0","0","n/e","n/e","1516","1212"
"03.01.2022 01:00 - 03.01.2022 01:15","0","0","n/e","n/e","1524","1248"
"03.01.2022 01:15 - 03.01.2022 01:30","0","0","n/e","n/e","1524","1280"
