"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Romania (RO)","Generation - Solar  [MW] Current / Romania (RO)","Generation - Wind Offshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Offshore  [MW] Current / Romania (RO)","Generation - Wind Onshore  [MW] Day Ahead/ Romania (RO)","Generation - Wind Onshore  [MW] Current / Romania (RO)"
"03.01.2022 23:45 - 04.01.2022 00:00","0","0","n/e","n/e","1279","1391"
"04.01.2022 00:00 - 04.01.2022 00:15","0","0","n/e","n/e","1529","1610"
"04.01.2022 00:15 - 04.01.2022 00:30","0","0","n/e","n/e","1529","1610"
"04.01.2022 00:30 - 04.01.2022 00:45","0","0","n/e","n/e","1529","1610"
"04.01.2022 00:45 - 04.01.2022 01:00","0","0","n/e","n/e","1528","1609"
"04.01.2022 01:00 - 04.01.2022 01:15","0","0","n/e","n/e","1519","1605"
"04.01.2022 01:15 - 04.01.2022 01:30","0","0","n/e","n/e","1519","1605"
"04.01.2022 01:30 - 04.01.2022 01:45","0","0","n/e","n/e","1520","1606"
"04.01.2022 01:45 - 04.01.2022 02:00","0","0","n/e","n/e","1520","1606"
"04.01.2022 02:00 - 04.01.2022 02:15","0","0","n/e","n/e","1472","1497"
"04.01.2022 02:15 - 04.01.2022 02:30","0","0","n/e","n/e","1472","1497"
"04.01.2022 02:30 - 04.01.2022 02:45","0","0","n/e","n/e","1472","1497"
"04.01.2022 02:45 - 04.01.2022 03:00","0","0","n/e","n/e","1472","1497"
"04.01.2022 03:00 - 04.01.2022 03:15","0","0","n/e","n/e","1374","1409"
"04.01.2022 03:15 - 04.01.2022 03:30","0","0","n/e","n/e","1374","1409"
"04.01.2022 03:30 - 04.01.2022 03:45","0","0","n/e","n/e","1373","1409"
"04.01.2022 03:45 - 04.01.2022 04:00","0","0","n/e","n/e","1373","1408"
"04.01.2022 04:00 - 04.01.2022 04:15","0","0","n/e","n/e","1202","1216"
"04.01.2022 04:15 - 04.01.2022 04:30","0","0","n/e","n/e","1202","1215"
