"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Netherlands (NL)","Generation - Solar  [MW] Current / Netherlands (NL)","Generation - Wind Offshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Offshore  [MW] Current / Netherlands (NL)","Generation - Wind Onshore  [MW] Day Ahead/ Netherlands (NL)","Generation - Wind Onshore  [MW] Current / Netherlands (NL)"
"02.01.2022 11:45 - 02.01.2022 12:00","808","n/e","1428","n/e","4167","n/e"
"02.01.2022 12:00 - 02.01.2022 12:15","868","n/e","1432","n/e","4261","n/e"
"02.01.2022 12:15 - 02.01.2022 12:30","905","n/e","1435","n/e","4329","n/e"
"02.01.2022 12:30 - 02.01.2022 12:45","943","n/e","1436","n/e","4372","n/e"
"02.01.2022 12:45 - 02.01.2022 13:00","981","n/e","1437","n/e","4414","n/e"
"02.01.2022 13:00 - 02.01.2022 13:15","1021","n/e","1438","n/e","4456","n/e"
"02.01.2022 13:15 - 02.01.2022 13:30","1156","n/e","1438","n/e","4483","n/e"
"02.01.2022 13:30 - 02.01.2022 13:45","1293","n/e","1437","n/e","4495","n/e"
"02.01.2022 13:45 - 02.01.2022 14:00","1428","n/e","1436","n/e","4505","n/e"
"02.01.2022 14:00 - 02.01.2022 14:15","1564","n/e","1435","n/e","4516","n/e"
"02.01.2022 14:15 - 02.01.2022 14:30","1504","n/e","1433","n/e","4510","n/e"
"02.01.2022 14:30 - 02.01.2022 14:45","1445","n/e","1429","n/e","4484","n/e"
"02.01.2022 14:45 - 02.01.2022 15:00","1385","n/e","1425","n/e","4460","n/e"
"02.01.2022 15:00 - 02.01.2022 15:15","1325","n/e","1421","n/e","4434","n/e"
"02.01.2022 15:15 - 02.01.2022 15:30","1231","n/e","1418","n/e","4374","n/e"
"02.01.2022 15:30 - 02.01.2022 15:45","1134","n/e","1415","n/e","4276","n/e"
"02.01.2022 15:45 - 02.01.2022 16:00","1036","n/e","1412","n/e","4178","n/e"
"02.01.2022 16:00 - 02.01.2022 16:15","939","n/e","1409","n/e","4081","n/e"
"02.01.2022 16:15 - 02.01.2022 16:30","724","n/e","1409","n/e","4012","n/e"
"02.01.2022 16:30 - 02.01.2022 16:45","509","n/e","1413","n/e","3969","n/e"
"02.01.2022 16:45 - 02.01.2022 17:00","292","n/e","1416","n/e","3927","n/e"
"02.01.2022 17:00 - 02.01.2022 17:15","78","n/e","1419","n/e","3886","n/e"
"02.01.2022 17:15 - 02.01.2022 17:30","57","n/e","1420","n/e","3845","n/e"
"02.01.2022 17:30 - 02.01.2022 17:45","39","n/e","1419","n/e","3804","n/e"
"02.01.2022 17:45 - 02.01.2022 18:00","18","n/e","1418","n/e","3762","n/e"
"02.01.2022 18:00 - 02.01.2022 18:15","0","n/e","1417","n/e","3721","n/e"
"02.01.2022 18:15 - 02.01.2022 18:30","0","n/e","1415","n/e","3671","n/e"
"02.01.2022 18:30 - 02.01.2022 18:45","0","n/e","1414","n/e","3617","n/e"
"02.01.2022 18:45 - 02.01.2022 19:00","0","n/e","1413","n/e","3559","n/e"
"02.01.2022 19:00 - 02.01.2022 19:15","0","n/e","1412","n/e","3502","n/e"
"02.01.2022 19:15 - 02.01.2022 19:30","0","n/e","1411","n/e","3465","n/e"
"02.01.2022 19:30 - 02.01.2022 19:45","0","n/e","1410","n/e","3442","n/e"
"02.01.2022 19:45 - 02.01.2022 20:00","0","n/e","1409","n/e","3420","n/e"
"02.01.2022 20:00 - 02.01.2022 20:15","0","n/e","1408","n/e","3399","n/e"
"02.01.2022 20:15 - 02.01.2022 20:30","0","n/e","1408","n/e","3393","n/e"
"02.01.2022 20:30 - 02.01.2022 20:45","0","n/e","1409","n/e","3401","n/e"
"02.01.2022 20:45 - 02.01.2022 21:00","0","n/e","1410","n/e","3412","n/e"
"02.01.2022 21:00 - 02.01.2022 21:15","0","n/e","1412","n/e","3418","n/e"
"02.01.2022 21:15 - 02.01.2022 21:30","0","n/e","1413","n/e","3414","n/e"
"02.01.2022 21:30 - 02.01.2022 21:45","0","n/e","1414","n/e","3399","n/e"
"02.01.2022 21:45 - 02.01.2022 22:00","0","n/e","1415","n/e","3385","n/e"
"02.01.2022 22:00 - 02.01.2022 22:15","0","n/e","1416","n/e","3367","n/e"
"02.01.2022 22:15 - 02.01.2022 22:30","0","n/e","1415","n/e","3425","n/e"
"02.01.2022 22:30 - 02.01.2022 22:45","0","n/e","1413","n/e","3555","n/e"
"02.01.2022 22:45 - 02.01.2022 23:00","0","n/e","1410","n/e","3687","n/e"
"02.01.2022 23:00 - 02.01.2022 23:15","0","n/e","1407","n/e","3815","n/e"
"02.01.2022 23:15 - 02.01.2022 23:30","0","n/e","1408","n/e","3906","n/e"
"02.01.2022 23:30 - 02.01.2022 23:45","0","n/e","1414","n/e","3946","n/e"
"02.01.2022 23:45 - 03.01.2022 00:00","0","n/e","1420","n/e","3989","n/e"
"03.01.2022 00:00 - 03.01.2022 00:15","0","n/e","1429","n/e","4398","n/e"
"03.01.2022 00:15 - 03.01.2022 00:30","0","n/e","1430","n/e","4395","n/e"
"03.01.2022 00:30 - 03.01.2022 00:45","0","n/e","1429","n/e","4362","n/e"
"03.01.2022 00:45 - 03.01.2022 01:00","0","n/e","1428","n/e","4332","n/e"
"03.01.2022 01:00 - 03.01.2022 01:15","0","n/e","1428","n/e","4301","n/e"
"03.01.2022 01:15 - 03.01.2022 01:30","0","n/e","1428","n/e","4295","n/e"
