"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Italy (IT)","Generation - Solar  [MW] Current / Italy (IT)","Generation - Wind Offshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Offshore  [MW] Current / Italy (IT)","Generation - Wind Onshore  [MW] Day Ahead/ Italy (IT)","Generation - Wind Onshore  [MW] Current / Italy (IT)"
"05.01.2022 01:00 - 05.01.2022 02:00","0","0","n/e","n/e","4080","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","0","0","n/e","n/e","4128","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","0","0","n/e","n/e","4214","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","0","0","n/e","n/e","4219","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","0","0","n/e","n/e","4196","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","0","0","n/e","n/e","4157","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","48","48","n/e","n/e","4133","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","916","916","n/e","n/e","4049","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","2457","2457","n/e","n/e","3805","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","3780","3781","n/e","n/e","3560","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","4520","4521","n/e","n/e","3610","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","4675","4676","n/e","n/e","3753","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","4294","4292","n/e","n/e","3858","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","3304","3303","n/e","n/e","3895","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","1774","1773","n/e","n/e","3843","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","307","307","n/e","n/e","3892","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","0","0","n/e","n/e","3998","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","0","0","n/e","n/e","4248","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","0","0","n/e","n/e","4518","n/e"
