"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Luxembourg (LU)","Generation - Solar  [MW] Current / Luxembourg (LU)","Generation - Wind Offshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Offshore  [MW] Current / Luxembourg (LU)","Generation - Wind Onshore  [MW] Day Ahead/ Luxembourg (LU)","Generation - Wind Onshore  [MW] Current / Luxembourg (LU)"
"02.01.2022 21:00 - 02.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 22:00 - 02.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"02.01.2022 23:00 - 03.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 00:00 - 03.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 01:00 - 03.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 02:00 - 03.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 03:00 - 03.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 04:00 - 03.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 05:00 - 03.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 06:00 - 03.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 07:00 - 03.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 08:00 - 03.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 09:00 - 03.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 10:00 - 03.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 11:00 - 03.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 12:00 - 03.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 13:00 - 03.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 14:00 - 03.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 15:00 - 03.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 16:00 - 03.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 17:00 - 03.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 18:00 - 03.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 19:00 - 03.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 20:00 - 03.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 21:00 - 03.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 22:00 - 03.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"03.01.2022 23:00 - 04.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 00:00 - 04.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 01:00 - 04.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 02:00 - 04.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 03:00 - 04.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 04:00 - 04.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 05:00 - 04.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 06:00 - 04.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 07:00 - 04.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 08:00 - 04.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 09:00 - 04.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 10:00 - 04.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 11:00 - 04.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 12:00 - 04.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 13:00 - 04.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 14:00 - 04.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 15:00 - 04.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 16:00 - 04.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 17:00 - 04.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 18:00 - 04.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 19:00 - 04.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 20:00 - 04.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 21:00 - 04.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 22:00 - 04.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"04.01.2022 23:00 - 05.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 00:00 - 05.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 01:00 - 05.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 02:00 - 05.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 03:00 - 05.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 04:00 - 05.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 05:00 - 05.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 06:00 - 05.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 07:00 - 05.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 08:00 - 05.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 09:00 - 05.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 10:00 - 05.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 11:00 - 05.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 12:00 - 05.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 13:00 - 05.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 14:00 - 05.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 15:00 - 05.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 16:00 - 05.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 17:00 - 05.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 18:00 - 05.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 19:00 - 05.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 20:00 - 05.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 21:00 - 05.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 22:00 - 05.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"05.01.2022 23:00 - 06.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 00:00 - 06.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 01:00 - 06.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 02:00 - 06.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 03:00 - 06.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 04:00 - 06.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 05:00 - 06.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 06:00 - 06.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 07:00 - 06.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 08:00 - 06.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 09:00 - 06.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 10:00 - 06.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 11:00 - 06.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 12:00 - 06.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 13:00 - 06.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 14:00 - 06.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 15:00 - 06.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 16:00 - 06.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 17:00 - 06.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 18:00 - 06.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 19:00 - 06.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 20:00 - 06.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 21:00 - 06.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 22:00 - 06.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"06.01.2022 23:00 - 07.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 00:00 - 07.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 01:00 - 07.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 02:00 - 07.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 03:00 - 07.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 04:00 - 07.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 05:00 - 07.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 06:00 - 07.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 07:00 - 07.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 18:00 - 08.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 19:00 - 08.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 20:00 - 08.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 21:00 - 08.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 22:00 - 08.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"08.01.2022 23:00 - 09.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 00:00 - 09.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 01:00 - 09.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 02:00 - 09.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 03:00 - 09.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 04:00 - 09.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 05:00 - 09.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 06:00 - 09.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 07:00 - 09.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 08:00 - 09.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 09:00 - 09.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 10:00 - 09.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 11:00 - 09.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 12:00 - 09.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 13:00 - 09.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 14:00 - 09.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 15:00 - 09.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 16:00 - 09.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 17:00 - 09.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 18:00 - 09.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 19:00 - 09.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 20:00 - 09.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 21:00 - 09.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 22:00 - 09.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"09.01.2022 23:00 - 10.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 00:00 - 10.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 01:00 - 10.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 02:00 - 10.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 03:00 - 10.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 04:00 - 10.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 05:00 - 10.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 06:00 - 10.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 07:00 - 10.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 08:00 - 10.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 09:00 - 10.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 10:00 - 10.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 11:00 - 10.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 12:00 - 10.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 13:00 - 10.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 14:00 - 10.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 15:00 - 10.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 16:00 - 10.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 17:00 - 10.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 18:00 - 10.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 19:00 - 10.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 20:00 - 10.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 21:00 - 10.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 22:00 - 10.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"10.01.2022 23:00 - 11.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 00:00 - 11.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 01:00 - 11.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 02:00 - 11.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 03:00 - 11.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 04:00 - 11.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 05:00 - 11.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 06:00 - 11.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 07:00 - 11.01.2022 08:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 08:00 - 11.01.2022 09:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 09:00 - 11.01.2022 10:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 10:00 - 11.01.2022 11:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 11:00 - 11.01.2022 12:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 12:00 - 11.01.2022 13:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 13:00 - 11.01.2022 14:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 14:00 - 11.01.2022 15:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 15:00 - 11.01.2022 16:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 16:00 - 11.01.2022 17:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 17:00 - 11.01.2022 18:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 18:00 - 11.01.2022 19:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 19:00 - 11.01.2022 20:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 20:00 - 11.01.2022 21:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 21:00 - 11.01.2022 22:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 22:00 - 11.01.2022 23:00","n/e","n/e","n/e","n/e","n/e","n/e"
"11.01.2022 23:00 - 12.01.2022 00:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 00:00 - 12.01.2022 01:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 01:00 - 12.01.2022 02:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 02:00 - 12.01.2022 03:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 03:00 - 12.01.2022 04:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 04:00 - 12.01.2022 05:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 05:00 - 12.01.2022 06:00","n/e","n/e","n/e","n/e","n/e","n/e"
"12.01.2022 06:00 - 12.01.2022 07:00","n/e","n/e","n/e","n/e","n/e","n/e"
