"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"02.01.2022 08:15 - 02.01.2022 08:30","84","53","5175","5253","19860","21113"
"02.01.2022 08:30 - 02.01.2022 08:45","376","268","5136","5263","20118","21851"
"02.01.2022 08:45 - 02.01.2022 09:00","660","484","5098","5291","20374","21922"
"02.01.2022 09:00 - 02.01.2022 09:15","1023","845","5060","5429","20668","22241"
"02.01.2022 09:15 - 02.01.2022 09:30","1443","1288","5066","5575","20958","22550"
"02.01.2022 09:30 - 02.01.2022 09:45","1901","1721","5069","5552","21291","23243"
"02.01.2022 09:45 - 02.01.2022 10:00","2390","2069","5059","5427","21620","23220"
"02.01.2022 10:00 - 02.01.2022 10:15","2816","2444","5060","5269","21928","23345"
"02.01.2022 10:15 - 02.01.2022 10:30","3230","2820","5125","5149","22206","23840"
"02.01.2022 10:30 - 02.01.2022 10:45","3621","3154","5176","5218","22448","24141"
"02.01.2022 10:45 - 02.01.2022 11:00","3976","3459","5219","5301","22668","24717"
"02.01.2022 11:00 - 02.01.2022 11:15","4294","3766","5248","5367","22886","24918"
"02.01.2022 11:15 - 02.01.2022 11:30","4588","4053","5310","5421","23396","25731"
"02.01.2022 11:30 - 02.01.2022 11:45","4788","4279","5362","5530","23908","26309"
"02.01.2022 11:45 - 02.01.2022 12:00","4899","4422","5413","5742","24391","26729"
"02.01.2022 12:00 - 02.01.2022 12:15","4970","4552","5453","5892","24815","27474"
"02.01.2022 12:15 - 02.01.2022 12:30","5004","4679","5481","5995","25351","27984"
"02.01.2022 12:30 - 02.01.2022 12:45","4940","4571","5507","6082","25883","28362"
"02.01.2022 12:45 - 02.01.2022 13:00","4789","4382","5531","6203","26429","28797"
"02.01.2022 13:00 - 02.01.2022 13:15","4620","4108","5557","6286","27033","29319"
"02.01.2022 13:15 - 02.01.2022 13:30","4432","3965","5583","6101","27646","29436"
"02.01.2022 13:30 - 02.01.2022 13:45","4205","3682","5607","6028","28201","30153"
"02.01.2022 13:45 - 02.01.2022 14:00","3911","3371","5631","6096","28739","30361"
"02.01.2022 14:00 - 02.01.2022 14:15","3615","3062","5652","6304","29242","30476"
"02.01.2022 14:15 - 02.01.2022 14:30","3302","2776","5621","6403","29832","31013"
"02.01.2022 14:30 - 02.01.2022 14:45","2898","2404","5659","6446","30451","31277"
"02.01.2022 14:45 - 02.01.2022 15:00","2446","1858","5697","6273","31036","31643"
"02.01.2022 15:00 - 02.01.2022 15:15","1962","1463","5726","6198","31572","31880"
"02.01.2022 15:15 - 02.01.2022 15:30","1498","1080","5738","6141","32014","32059"
"02.01.2022 15:30 - 02.01.2022 15:45","1050","747","5744","6130","32440","33382"
"02.01.2022 15:45 - 02.01.2022 16:00","657","465","5748","6159","32824","33142"
"02.01.2022 16:00 - 02.01.2022 16:15","358","251","5750","6255","33174","33637"
"02.01.2022 16:15 - 02.01.2022 16:30","152","104","5808","6329","33418","33388"
"02.01.2022 16:30 - 02.01.2022 16:45","33","1","5863","6348","33650","33658"
"02.01.2022 16:45 - 02.01.2022 17:00","9","0","5910","6352","33888","33725"
"02.01.2022 17:00 - 02.01.2022 17:15","0","0","5957","6332","34099","34203"
"02.01.2022 17:15 - 02.01.2022 17:30","0","0","5998","6370","34211","34419"
"02.01.2022 17:30 - 02.01.2022 17:45","0","0","6035","6412","34314","34678"
