"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Germany (DE)","Generation - Solar  [MW] Current / Germany (DE)","Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Offshore  [MW] Current / Germany (DE)","Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)","Generation - Wind Onshore  [MW] Current / Germany (DE)"
"28.07.2022 16:30 - 28.07.2022 16:45","21756","22798","88","100","974","1618"
"28.07.2022 16:45 - 28.07.2022 17:00","20310","21336","88","112","1017","1647"
"28.07.2022 17:00 - 28.07.2022 17:15","18779","19791","91","138","1063","1723"
"28.07.2022 17:15 - 28.07.2022 17:30","17144","18065","94","147","1160","1871"
"28.07.2022 17:30 - 28.07.2022 17:45","15443","16292","100","166","1256","1983"
"28.07.2022 17:45 - 28.07.2022 18:00","13718","14531","105","182","1357","2104"
"28.07.2022 18:00 - 28.07.2022 18:15","11970","12754","115","188","1463","2262"
"28.07.2022 18:15 - 28.07.2022 18:30","10221","10818","116","199","1697","2505"
"28.07.2022 18:30 - 28.07.2022 18:45","8500","9005","128","215","1925","2674"
"28.07.2022 18:45 - 28.07.2022 19:00","6902","7375","134","217","2223","2971"
"28.07.2022 19:00 - 28.07.2022 19:15","5459","5953","138","232","2539","3274"
"28.07.2022 19:15 - 28.07.2022 19:30","4187","4579","144","244","2921","3635"
"28.07.2022 19:30 - 28.07.2022 19:45","3107","3399","151","246","3410","4082"
"28.07.2022 19:45 - 28.07.2022 20:00","2242","2499","158","253","3901","4515"
"28.07.2022 20:00 - 28.07.2022 20:15","1573","1772","161","250","4429","5006"
"28.07.2022 20:15 - 28.07.2022 20:30","1050","1194","169","258","5101","5642"
"28.07.2022 20:30 - 28.07.2022 20:45","636","723","175","256","5878","6343"
"28.07.2022 20:45 - 28.07.2022 21:00","344","376","177","269","6714","7008"
"28.07.2022 21:00 - 28.07.2022 21:15","177","182","184","285","7476","7662"
"28.07.2022 21:15 - 28.07.2022 21:30","76","64","196","294","8186","8338"
"28.07.2022 21:30 - 28.07.2022 21:45","0","0","205","321","8894","9223"
"28.07.2022 21:45 - 28.07.2022 22:00","0","0","217","343","9501","9913"
"28.07.2022 22:00 - 28.07.2022 22:15","0","0","233","361","9974","10494"
"28.07.2022 22:15 - 28.07.2022 22:30","0","0","252","386","10274","10879"
"28.07.2022 22:30 - 28.07.2022 22:45","0","0","269","402","10570","11233"
"28.07.2022 22:45 - 28.07.2022 23:00","0","0","292","423","10846","11519"
"28.07.2022 23:00 - 28.07.2022 23:15","0","0","312","450","11100","11886"
"28.07.2022 23:15 - 28.07.2022 23:30","0","0","328","473","11128","11923"
"28.07.2022 23:30 - 28.07.2022 23:45","0","0","348","520","11157","11986"
"28.07.2022 23:45 - 29.07.2022 00:00","0","0","366","540","11173","11956"
"29.07.2022 00:00 - 29.07.2022 00:15","0","0","417","545","11099","12971"
"29.07.2022 00:15 - 29.07.2022 00:30","0","0","435","561","10993","12571"
"29.07.2022 00:30 - 29.07.2022 00:45","0","0","455","585","10886","12284"
"29.07.2022 00:45 - 29.07.2022 01:00","0","0","471","598","10771","11899"
"29.07.2022 01:00 - 29.07.2022 01:15","0","0","437","590","10657","11536"
"29.07.2022 01:15 - 29.07.2022 01:30","0","0","453","608","10521","11268"
"29.07.2022 01:30 - 29.07.2022 01:45","0","0","469","634","10390","11040"
"29.07.2022 01:45 - 29.07.2022 02:00","0","0","483","624","10251","10831"
"29.07.2022 02:00 - 29.07.2022 02:15","0","0","496","652","10116","10589"
"29.07.2022 02:15 - 29.07.2022 02:30","0","0","511","659","9961","10351"
"29.07.2022 02:30 - 29.07.2022 02:45","0","0","523","698","9779","9993"
"29.07.2022 02:45 - 29.07.2022 03:00","0","0","535","711","9581","9754"
"29.07.2022 03:00 - 29.07.2022 03:15","0","0","549","693","9405","9573"
"29.07.2022 03:15 - 29.07.2022 03:30","0","0","555","702","9236","9382"
"29.07.2022 03:30 - 29.07.2022 03:45","0","0","564","693","9076","9125"
"29.07.2022 03:45 - 29.07.2022 04:00","0","0","574","700","8922","8922"
"29.07.2022 04:00 - 29.07.2022 04:15","0","0","583","708","8777","8692"
"29.07.2022 04:15 - 29.07.2022 04:30","0","0","584","712","8655","8407"
"29.07.2022 04:30 - 29.07.2022 04:45","0","0","581","709","8534","8203"
"29.07.2022 04:45 - 29.07.2022 05:00","0","0","581","751","8413","7858"
"29.07.2022 05:00 - 29.07.2022 05:15","2","2","576","741","8287","7664"
"29.07.2022 05:15 - 29.07.2022 05:30","5","4","577","729","8107","7405"
"29.07.2022 05:30 - 29.07.2022 05:45","55","44","575","725","7930","7184"
"29.07.2022 05:45 - 29.07.2022 06:00","197","163","571","712","7758","7081"
"29.07.2022 06:00 - 29.07.2022 06:15","458","436","570","718","7623","6990"
"29.07.2022 06:15 - 29.07.2022 06:30","800","791","580","741","7402","6840"
"29.07.2022 06:30 - 29.07.2022 06:45","1262","1211","584","764","7177","6756"
"29.07.2022 06:45 - 29.07.2022 07:00","1905","1841","594","824","6885","6572"
"29.07.2022 07:00 - 29.07.2022 07:15","2733","2725","597","847","6571","6363"
"29.07.2022 07:15 - 29.07.2022 07:30","3729","3786","609","865","6200","5939"
"29.07.2022 07:30 - 29.07.2022 07:45","4863","4891","619","877","5713","5515"
"29.07.2022 07:45 - 29.07.2022 08:00","6131","6054","628","895","5180","4985"
"29.07.2022 08:00 - 29.07.2022 08:15","7506","7359","638","911","4635","4188"
"29.07.2022 08:15 - 29.07.2022 08:30","8991","8835","648","954","4075","3627"
"29.07.2022 08:30 - 29.07.2022 08:45","10573","10331","655","979","3514","3196"
"29.07.2022 08:45 - 29.07.2022 09:00","12196","11868","663","989","3029","2834"
"29.07.2022 09:00 - 29.07.2022 09:15","13755","13437","673","973","2644","2530"
"29.07.2022 09:15 - 29.07.2022 09:30","15286","15076","684","966","2401","2378"
"29.07.2022 09:30 - 29.07.2022 09:45","16770","16675","699","957","2214","2120"
"29.07.2022 09:45 - 29.07.2022 10:00","18180","18089","709","957","2064","2073"
"29.07.2022 10:00 - 29.07.2022 10:15","19502","19788","716","978","1971","2019"
"29.07.2022 10:15 - 29.07.2022 10:30","20735","21189","728","1016","1919","1990"
"29.07.2022 10:30 - 29.07.2022 10:45","21838","22533","738","1033","1889","1992"
"29.07.2022 10:45 - 29.07.2022 11:00","22828","23475","751","1054","1896","1952"
"29.07.2022 11:00 - 29.07.2022 11:15","23639","24503","766","1084","1921","1976"
"29.07.2022 11:15 - 29.07.2022 11:30","24356","25168","787","1085","1963","2007"
"29.07.2022 11:30 - 29.07.2022 11:45","24957","25884","804","1112","2001","2049"
"29.07.2022 11:45 - 29.07.2022 12:00","25424","26590","826","1124","2036","2155"
"29.07.2022 12:00 - 29.07.2022 12:15","25775","26947","845","1156","2066","2229"
"29.07.2022 12:15 - 29.07.2022 12:30","26038","27389","873","1184","2109","2336"
"29.07.2022 12:30 - 29.07.2022 12:45","26128","27641","899","1219","2148","2507"
"29.07.2022 12:45 - 29.07.2022 13:00","26071","27722","929","1250","2190","2653"
"29.07.2022 13:00 - 29.07.2022 13:15","25933","27740","960","1270","2231","2816"
"29.07.2022 13:15 - 29.07.2022 13:30","25697","27148","993","1296","2276","2975"
"29.07.2022 13:30 - 29.07.2022 13:45","25358","26829","1030","1356","2326","3065"
"29.07.2022 13:45 - 29.07.2022 14:00","24932","26511","1066","1362","2383","3102"
"29.07.2022 14:00 - 29.07.2022 14:15","24409","25969","1098","1408","2446","3200"
"29.07.2022 14:15 - 29.07.2022 14:30","23782","25316","1129","1444","2511","3223"
"29.07.2022 14:30 - 29.07.2022 14:45","23064","24462","1159","1472","2570","3148"
"29.07.2022 14:45 - 29.07.2022 15:00","22244","23210","1189","1491","2627","3256"
"29.07.2022 15:00 - 29.07.2022 15:15","21448","22154","1217","1568","2712","3330"
"29.07.2022 15:15 - 29.07.2022 15:30","20598","21076","1238","1568","2815","3386"
"29.07.2022 15:30 - 29.07.2022 15:45","19684","19987","1261","1660","2918","3519"
"29.07.2022 15:45 - 29.07.2022 16:00","18686","18819","1283","1666","3036","3533"
"29.07.2022 16:00 - 29.07.2022 16:15","17652","17685","1303","1715","3145","3603"
"29.07.2022 16:15 - 29.07.2022 16:30","16582","16543","1318","1729","3268","3755"
"29.07.2022 16:30 - 29.07.2022 16:45","15455","15490","1343","1748","3389","3771"
"29.07.2022 16:45 - 29.07.2022 17:00","14269","14269","1361","1783","3509","3845"
"29.07.2022 17:00 - 29.07.2022 17:15","13061","13080","1376","1787","3635","3909"
"29.07.2022 17:15 - 29.07.2022 17:30","11816","11842","1386","1808","3760","4105"
"29.07.2022 17:30 - 29.07.2022 17:45","10548","10548","1400","1833","3882","4290"
"29.07.2022 17:45 - 29.07.2022 18:00","9302","9231","1413","1879","4003","4458"
"29.07.2022 18:00 - 29.07.2022 18:15","8111","7971","1424","1901","4122","4665"
"29.07.2022 18:15 - 29.07.2022 18:30","6972","6738","1434","1903","4256","4888"
"29.07.2022 18:30 - 29.07.2022 18:45","5886","5616","1442","1907","4393","5222"
"29.07.2022 18:45 - 29.07.2022 19:00","4878","4640","1452","1915","4532","5488"
"29.07.2022 19:00 - 29.07.2022 19:15","3933","3739","1466","1948","4676","5695"
"29.07.2022 19:15 - 29.07.2022 19:30","3050","2869","1486","1975","4817","5827"
"29.07.2022 19:30 - 29.07.2022 19:45","2268","2093","1505","1969","4959","6080"
"29.07.2022 19:45 - 29.07.2022 20:00","1635","1476","1528","2000","5093","6350"
"29.07.2022 20:00 - 29.07.2022 20:15","1159","1021","1544","1990","5230","6641"
"29.07.2022 20:15 - 29.07.2022 20:30","782","692","1561","1954","5385","6827"
"29.07.2022 20:30 - 29.07.2022 20:45","501","424","1572","1939","5596","6843"
"29.07.2022 20:45 - 29.07.2022 21:00","292","211","1588","1897","5818","7101"
"29.07.2022 21:00 - 29.07.2022 21:15","159","93","1599","1880","6022","7245"
"29.07.2022 21:15 - 29.07.2022 21:30","31","17","1603","1886","6197","7233"
"29.07.2022 21:30 - 29.07.2022 21:45","0","0","1604","1879","6369","7427"
"29.07.2022 21:45 - 29.07.2022 22:00","0","0","1617","1831","6491","7702"
"29.07.2022 22:00 - 29.07.2022 22:15","0","0","1629","1753","6539","7809"
"29.07.2022 22:15 - 29.07.2022 22:30","0","0","1606","1717","6547","7750"
"29.07.2022 22:30 - 29.07.2022 22:45","0","0","1583","1676","6543","7752"
"29.07.2022 22:45 - 29.07.2022 23:00","0","0","1559","1646","6460","7792"
"29.07.2022 23:00 - 29.07.2022 23:15","0","0","1526","1573","6388","7721"
"29.07.2022 23:15 - 29.07.2022 23:30","0","0","1487","1496","6214","7452"
"29.07.2022 23:30 - 29.07.2022 23:45","0","0","1444","1432","6058","7305"
"29.07.2022 23:45 - 30.07.2022 00:00","0","0","1404","1400","5891","7161"
"30.07.2022 00:00 - 30.07.2022 00:15","0","0","1625","1247","7399","8130"
"30.07.2022 00:15 - 30.07.2022 00:30","0","0","1582","1243","7177","7719"
"30.07.2022 00:30 - 30.07.2022 00:45","0","0","1535","1216","6945","7471"
"30.07.2022 00:45 - 30.07.2022 01:00","0","0","1493","1207","6729","7215"
"30.07.2022 01:00 - 30.07.2022 01:15","0","0","1369","1127","6535","6880"
"30.07.2022 01:15 - 30.07.2022 01:30","0","0","1308","1036","6336","6529"
"30.07.2022 01:30 - 30.07.2022 01:45","0","0","1250","949","6152","6287"
"30.07.2022 01:45 - 30.07.2022 02:00","0","0","1192","879","5981","6059"
"30.07.2022 02:00 - 30.07.2022 02:15","0","0","1131","811","5835","5847"
"30.07.2022 02:15 - 30.07.2022 02:30","0","0","1068","772","5691","5639"
"30.07.2022 02:30 - 30.07.2022 02:45","0","0","1009","725","5512","5415"
"30.07.2022 02:45 - 30.07.2022 03:00","0","0","954","708","5306","5183"
"30.07.2022 03:00 - 30.07.2022 03:15","0","0","891","672","5101","4991"
"30.07.2022 03:15 - 30.07.2022 03:30","0","0","841","651","4903","4799"
"30.07.2022 03:30 - 30.07.2022 03:45","0","0","789","622","4718","4545"
"30.07.2022 03:45 - 30.07.2022 04:00","0","0","736","584","4548","4280"
"30.07.2022 04:00 - 30.07.2022 04:15","0","0","687","562","4403","4137"
"30.07.2022 04:15 - 30.07.2022 04:30","0","0","653","543","4301","4036"
"30.07.2022 04:30 - 30.07.2022 04:45","0","0","620","544","4198","3932"
"30.07.2022 04:45 - 30.07.2022 05:00","0","0","585","526","4103","3843"
"30.07.2022 05:00 - 30.07.2022 05:15","2","2","549","507","4014","3709"
"30.07.2022 05:15 - 30.07.2022 05:30","4","5","530","489","3898","3572"
"30.07.2022 05:30 - 30.07.2022 05:45","37","34","508","492","3775","3445"
"30.07.2022 05:45 - 30.07.2022 06:00","159","119","481","498","3657","3328"
"30.07.2022 06:00 - 30.07.2022 06:15","395","363","459","507","3549","3268"
"30.07.2022 06:15 - 30.07.2022 06:30","723","688","445","493","3435","3212"
"30.07.2022 06:30 - 30.07.2022 06:45","1143","1062","431","464","3310","3252"
"30.07.2022 06:45 - 30.07.2022 07:00","1732","1596","419","458","3159","3163"
"30.07.2022 07:00 - 30.07.2022 07:15","2548","2349","404","429","3005","3060"
"30.07.2022 07:15 - 30.07.2022 07:30","3514","3326","394","405","2813","2902"
"30.07.2022 07:30 - 30.07.2022 07:45","4698","4451","385","393","2587","2770"
"30.07.2022 07:45 - 30.07.2022 08:00","6030","5687","379","422","2357","2612"
"30.07.2022 08:00 - 30.07.2022 08:15","7505","7214","374","421","2142","2416"
"30.07.2022 08:15 - 30.07.2022 08:30","9113","9005","366","424","1940","2229"
"30.07.2022 08:30 - 30.07.2022 08:45","10831","10666","361","419","1747","2056"
"30.07.2022 08:45 - 30.07.2022 09:00","12524","12176","359","406","1596","1882"
"30.07.2022 09:00 - 30.07.2022 09:15","14146","13804","356","409","1499","1771"
"30.07.2022 09:15 - 30.07.2022 09:30","15709","15398","352","408","1471","1687"
"30.07.2022 09:30 - 30.07.2022 09:45","17194","16905","348","392","1467","1563"
"30.07.2022 09:45 - 30.07.2022 10:00","18593","18145","341","372","1486","1485"
"30.07.2022 10:00 - 30.07.2022 10:15","19896","19589","339","360","1544","1427"
"30.07.2022 10:15 - 30.07.2022 10:30","21104","20903","329","351","1632","1457"
"30.07.2022 10:30 - 30.07.2022 10:45","22202","22301","321","340","1723","1472"
"30.07.2022 10:45 - 30.07.2022 11:00","23169","23432","319","330","1833","1593"
"30.07.2022 11:00 - 30.07.2022 11:15","24026","24594","309","324","1939","1644"
"30.07.2022 11:15 - 30.07.2022 11:30","24733","25711","306","324","2038","1765"
"30.07.2022 11:30 - 30.07.2022 11:45","25355","26233","298","327","2126","1904"
"30.07.2022 11:45 - 30.07.2022 12:00","25844","26874","288","329","2210","2028"
"30.07.2022 12:00 - 30.07.2022 12:15","26249","27181","284","325","2291","2098"
"30.07.2022 12:15 - 30.07.2022 12:30","26550","27654","286","336","2360","2185"
"30.07.2022 12:30 - 30.07.2022 12:45","26763","27759","287","332","2428","2258"
"30.07.2022 12:45 - 30.07.2022 13:00","26867","27993","290","336","2494","2341"
"30.07.2022 13:00 - 30.07.2022 13:15","26906","27945","287","344","2554","2463"
"30.07.2022 13:15 - 30.07.2022 13:30","26825","27684","288","370","2608","2707"
"30.07.2022 13:30 - 30.07.2022 13:45","26659","27619","286","372","2659","2784"
"30.07.2022 13:45 - 30.07.2022 14:00","26402","27342","291","376","2714","2915"
"30.07.2022 14:00 - 30.07.2022 14:15","26099","26822","299","359","2774","3003"
"30.07.2022 14:15 - 30.07.2022 14:30","25700","26262","300","358","2828","3126"
"30.07.2022 14:30 - 30.07.2022 14:45","25290","25847","306","373","2873","3302"
"30.07.2022 14:45 - 30.07.2022 15:00","24718","25463","312","375","2912","3416"
"30.07.2022 15:00 - 30.07.2022 15:15","24110","24437","318","378","2953","3460"
"30.07.2022 15:15 - 30.07.2022 15:30","23390","23686","317","415","2991","3571"
"30.07.2022 15:30 - 30.07.2022 15:45","22642","22828","319","421","3030","3727"
"30.07.2022 15:45 - 30.07.2022 16:00","21801","22018","319","410","3073","3809"
"30.07.2022 16:00 - 30.07.2022 16:15","20899","21481","327","415","3112","3895"
"30.07.2022 16:15 - 30.07.2022 16:30","19902","20668","335","450","3178","3932"
"30.07.2022 16:30 - 30.07.2022 16:45","18819","19731","349","459","3242","3917"
"30.07.2022 16:45 - 30.07.2022 17:00","17652","18445","357","478","3303","3954"
"30.07.2022 17:00 - 30.07.2022 17:15","16422","17118","365","494","3362","4040"
"30.07.2022 17:15 - 30.07.2022 17:30","15087","15745","376","514","3407","4052"
"30.07.2022 17:30 - 30.07.2022 17:45","13682","14319","389","540","3448","4060"
"30.07.2022 17:45 - 30.07.2022 18:00","12236","12724","403","561","3484","4115"
"30.07.2022 18:00 - 30.07.2022 18:15","10762","11159","411","564","3517","4177"
"30.07.2022 18:15 - 30.07.2022 18:30","9250","9529","410","563","3535","4228"
"30.07.2022 18:30 - 30.07.2022 18:45","7753","7924","406","563","3539","4217"
"30.07.2022 18:45 - 30.07.2022 19:00","6335","6472","404","539","3545","4291"
"30.07.2022 19:00 - 30.07.2022 19:15","5039","5118","399","515","3538","4398"
"30.07.2022 19:15 - 30.07.2022 19:30","3858","3906","395","513","3515","4323"
"30.07.2022 19:30 - 30.07.2022 19:45","2844","2894","387","506","3479","4205"
"30.07.2022 19:45 - 30.07.2022 20:00","2043","2125","378","501","3411","4046"
"30.07.2022 20:00 - 30.07.2022 20:15","1431","1508","365","502","3302","3811"
"30.07.2022 20:15 - 30.07.2022 20:30","956","1004","354","458","3200","3625"
"30.07.2022 20:30 - 30.07.2022 20:45","585","597","348","410","3152","3518"
"30.07.2022 20:45 - 30.07.2022 21:00","330","295","336","349","3129","3488"
"30.07.2022 21:00 - 30.07.2022 21:15","176","120","327","320","3126","3409"
"30.07.2022 21:15 - 30.07.2022 21:30","3","22","308","262","3129","3373"
"30.07.2022 21:30 - 30.07.2022 21:45","0","0","284","228","3133","3365"
"30.07.2022 21:45 - 30.07.2022 22:00","0","0","263","223","3141","3314"
"30.07.2022 22:00 - 30.07.2022 22:15","0","0","241","233","3131","3098"
"30.07.2022 22:15 - 30.07.2022 22:30","0","0","233","241","3075","2921"
"30.07.2022 22:30 - 30.07.2022 22:45","0","0","224","232","3020","2805"
"30.07.2022 22:45 - 30.07.2022 23:00","0","0","215","246","2961","2721"
"30.07.2022 23:00 - 30.07.2022 23:15","0","0","209","252","2892","2638"
"30.07.2022 23:15 - 30.07.2022 23:30","0","0","213","277","2773","2606"
"30.07.2022 23:30 - 30.07.2022 23:45","0","0","220","302","2657","2497"
"30.07.2022 23:45 - 31.07.2022 00:00","0","0","222","315","2547","2336"
"31.07.2022 00:00 - 31.07.2022 00:15","0","0","299","275","2252","1835"
"31.07.2022 00:15 - 31.07.2022 00:30","0","0","331","284","2126","1720"
"31.07.2022 00:30 - 31.07.2022 00:45","0","0","357","293","2005","1613"
"31.07.2022 00:45 - 31.07.2022 01:00","0","0","388","310","1907","1600"
"31.07.2022 01:00 - 31.07.2022 01:15","0","0","440","347","1811","1680"
"31.07.2022 01:15 - 31.07.2022 01:30","0","0","465","394","1737","1631"
"31.07.2022 01:30 - 31.07.2022 01:45","0","0","493","454","1697","1629"
"31.07.2022 01:45 - 31.07.2022 02:00","0","0","518","493","1672","1631"
"31.07.2022 02:00 - 31.07.2022 02:15","0","0","549","525","1660","1598"
"31.07.2022 02:15 - 31.07.2022 02:30","0","0","584","527","1663","1673"
"31.07.2022 02:30 - 31.07.2022 02:45","0","0","614","511","1664","1708"
"31.07.2022 02:45 - 31.07.2022 03:00","0","0","648","480","1658","1722"
"31.07.2022 03:00 - 31.07.2022 03:15","0","0","681","467","1668","1719"
"31.07.2022 03:15 - 31.07.2022 03:30","0","0","706","498","1686","1723"
"31.07.2022 03:30 - 31.07.2022 03:45","0","0","726","533","1704","1727"
"31.07.2022 03:45 - 31.07.2022 04:00","0","0","748","581","1731","1756"
"31.07.2022 04:00 - 31.07.2022 04:15","0","0","767","634","1761","1783"
"31.07.2022 04:15 - 31.07.2022 04:30","0","0","792","681","1809","1873"
"31.07.2022 04:30 - 31.07.2022 04:45","0","0","810","699","1858","1904"
"31.07.2022 04:45 - 31.07.2022 05:00","0","0","830","733","1904","2051"
"31.07.2022 05:00 - 31.07.2022 05:15","0","0","851","776","1953","2085"
"31.07.2022 05:15 - 31.07.2022 05:30","0","0","861","836","1986","2127"
"31.07.2022 05:30 - 31.07.2022 05:45","40","24","874","933","2016","2213"
"31.07.2022 05:45 - 31.07.2022 06:00","178","120","885","957","2045","2249"
"31.07.2022 06:00 - 31.07.2022 06:15","453","399","886","1002","2073","2345"
"31.07.2022 06:15 - 31.07.2022 06:30","825","807","910","1026","2087","2388"
"31.07.2022 06:30 - 31.07.2022 06:45","1324","1328","928","1054","2100","2491"
"31.07.2022 06:45 - 31.07.2022 07:00","2048","2060","941","1094","2098","2502"
"31.07.2022 07:00 - 31.07.2022 07:15","3006","3063","955","1097","2088","2554"
"31.07.2022 07:15 - 31.07.2022 07:30","4135","4224","954","1116","2064","2456"
"31.07.2022 07:30 - 31.07.2022 07:45","5449","5530","954","1181","2011","2629"
"31.07.2022 07:45 - 31.07.2022 08:00","6910","6961","959","1228","1924","2633"
"31.07.2022 08:00 - 31.07.2022 08:15","8463","8404","963","1277","1828","2442"
"31.07.2022 08:15 - 31.07.2022 08:30","10132","9831","964","1232","1736","2332"
"31.07.2022 08:30 - 31.07.2022 08:45","11852","11294","965","1263","1645","2124"
"31.07.2022 08:45 - 31.07.2022 09:00","13592","12901","964","1258","1577","1979"
"31.07.2022 09:00 - 31.07.2022 09:15","15252","14634","964","1294","1503","1846"
"31.07.2022 09:15 - 31.07.2022 09:30","16859","16328","967","1285","1446","1773"
"31.07.2022 09:30 - 31.07.2022 09:45","18388","17862","968","1286","1398","1657"
"31.07.2022 09:45 - 31.07.2022 10:00","19803","19492","971","1260","1354","1491"
"31.07.2022 10:00 - 31.07.2022 10:15","21085","20891","974","1237","1343","1437"
"31.07.2022 10:15 - 31.07.2022 10:30","22247","22151","959","1242","1397","1530"
"31.07.2022 10:30 - 31.07.2022 10:45","23258","23226","948","1235","1454","1621"
"31.07.2022 10:45 - 31.07.2022 11:00","24110","24480","935","1234","1525","1612"
"31.07.2022 11:00 - 31.07.2022 11:15","24836","25414","920","1240","1608","1738"
"31.07.2022 11:15 - 31.07.2022 11:30","25472","26463","904","1205","1728","1995"
"31.07.2022 11:30 - 31.07.2022 11:45","25950","27300","898","1184","1853","2236"
"31.07.2022 11:45 - 31.07.2022 12:00","26261","27814","892","1156","1977","2433"
"31.07.2022 12:00 - 31.07.2022 12:15","26456","28417","881","1089","2086","2650"
"31.07.2022 12:15 - 31.07.2022 12:30","26554","28659","891","1061","2218","2878"
"31.07.2022 12:30 - 31.07.2022 12:45","26536","28895","892","1065","2350","3048"
"31.07.2022 12:45 - 31.07.2022 13:00","26408","28807","890","1107","2510","3292"
"31.07.2022 13:00 - 31.07.2022 13:15","26186","28668","888","1150","2673","3533"
"31.07.2022 13:15 - 31.07.2022 13:30","25855","28488","888","1135","2854","4055"
"31.07.2022 13:30 - 31.07.2022 13:45","25402","27984","884","1076","3069","4223"
"31.07.2022 13:45 - 31.07.2022 14:00","24840","27618","877","1050","3294","4474"
"31.07.2022 14:00 - 31.07.2022 14:15","24239","26862","873","994","3533","4713"
"31.07.2022 14:15 - 31.07.2022 14:30","23586","26166","852","1036","3746","4855"
"31.07.2022 14:30 - 31.07.2022 14:45","22845","25221","835","1021","3924","4980"
"31.07.2022 14:45 - 31.07.2022 15:00","22015","24691","817","1009","4083","5010"
"31.07.2022 15:00 - 31.07.2022 15:15","21152","23907","796","1008","4217","5140"
"31.07.2022 15:15 - 31.07.2022 15:30","20246","23095","787","1072","4329","5135"
"31.07.2022 15:30 - 31.07.2022 15:45","19309","21995","781","1054","4444","5161"
"31.07.2022 15:45 - 31.07.2022 16:00","18302","20729","769","1028","4552","5186"
"31.07.2022 16:00 - 31.07.2022 16:15","17268","19625","760","950","4659","5195"
"31.07.2022 16:15 - 31.07.2022 16:30","16179","18315","752","935","4726","5442"
"31.07.2022 16:30 - 31.07.2022 16:45","15041","16815","744","896","4776","5571"
"31.07.2022 16:45 - 31.07.2022 17:00","13860","15405","731","843","4791","5580"
"31.07.2022 17:00 - 31.07.2022 17:15","12679","14245","720","830","4811","5604"
"31.07.2022 17:15 - 31.07.2022 17:30","11466","12890","724","813","4790","5633"
"31.07.2022 17:30 - 31.07.2022 17:45","10254","11568","728","843","4767","5718"
"31.07.2022 17:45 - 31.07.2022 18:00","9051","10288","729","845","4761","5644"
"31.07.2022 18:00 - 31.07.2022 18:15","7908","8940","739","816","4747","5585"
"31.07.2022 18:15 - 31.07.2022 18:30","6786","7719","736","772","4705","5586"
"31.07.2022 18:30 - 31.07.2022 18:45","5699","6418","728","755","4659","5619"
"31.07.2022 18:45 - 31.07.2022 19:00","4688","5271","723","730","4588","5577"
"31.07.2022 19:00 - 31.07.2022 19:15","3737","4213","723","721","4525","5552"
"31.07.2022 19:15 - 31.07.2022 19:30","2849","3196","742","678","4458","5413"
"31.07.2022 19:30 - 31.07.2022 19:45","2070","2338","765","656","4369","5319"
"31.07.2022 19:45 - 31.07.2022 20:00","1452","1675","790","661","4285","5145"
"31.07.2022 20:00 - 31.07.2022 20:15","988","1155","814","664","4166","5118"
"31.07.2022 20:15 - 31.07.2022 20:30","645","757","836","699","4075","4911"
"31.07.2022 20:30 - 31.07.2022 20:45","395","442","862","762","4051","4743"
"31.07.2022 20:45 - 31.07.2022 21:00","226","207","887","820","4051","4727"
"31.07.2022 21:00 - 31.07.2022 21:15","125","88","918","891","4084","4688"
"31.07.2022 21:15 - 31.07.2022 21:30","1","1","958","940","4138","4688"
"31.07.2022 21:30 - 31.07.2022 21:45","0","0","992","988","4194","4588"
"31.07.2022 21:45 - 31.07.2022 22:00","0","0","1037","1044","4251","4507"
"31.07.2022 22:00 - 31.07.2022 22:15","0","0","1084","1094","4289","4394"
"31.07.2022 22:15 - 31.07.2022 22:30","0","0","1123","1180","4344","4405"
"31.07.2022 22:30 - 31.07.2022 22:45","0","0","1161","1276","4401","4453"
"31.07.2022 22:45 - 31.07.2022 23:00","0","0","1205","1424","4456","4517"
"31.07.2022 23:00 - 31.07.2022 23:15","0","0","1244","1619","4505","4513"
"31.07.2022 23:15 - 31.07.2022 23:30","0","0","1277","1766","4525","4546"
"31.07.2022 23:30 - 31.07.2022 23:45","0","0","1304","1926","4546","4821"
"31.07.2022 23:45 - 01.08.2022 00:00","0","0","1332","2146","4549","4977"
"01.08.2022 00:00 - 01.08.2022 00:15","0","0","1973","2265","5218","5574"
"01.08.2022 00:15 - 01.08.2022 00:30","0","0","2063","2509","5259","6033"
"01.08.2022 00:30 - 01.08.2022 00:45","0","0","2157","2730","5300","6039"
"01.08.2022 00:45 - 01.08.2022 01:00","0","0","2246","2860","5340","6098"
"01.08.2022 01:00 - 01.08.2022 01:15","0","0","2081","2892","5389","5291"
"01.08.2022 01:15 - 01.08.2022 01:30","0","0","2154","3001","5436","5928"
"01.08.2022 01:30 - 01.08.2022 01:45","0","0","2224","2999","5523","6024"
"01.08.2022 01:45 - 01.08.2022 02:00","0","0","2297","3118","5617","6167"
"01.08.2022 02:00 - 01.08.2022 02:15","0","0","2365","3247","5736","6217"
"01.08.2022 02:15 - 01.08.2022 02:30","0","0","2399","3339","5845","6500"
"01.08.2022 02:30 - 01.08.2022 02:45","0","0","2430","3348","5918","6649"
"01.08.2022 02:45 - 01.08.2022 03:00","0","0","2467","3416","5969","6786"
"01.08.2022 03:00 - 01.08.2022 03:15","0","0","2492","3387","6030","6846"
